"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-09-02,479554,1.8219728,150376,29194,299984,31.3574696,6.0877399,1.0260736721384434,97,1601,10.260736721384433,0.6246469591414046
2020-09-01,470973,1.753237,150376,29152,291445,31.9287942,6.1897391,1.007713407849917,99,1603,10.077134078499169,0.6237483096831619
2020-08-31,462858,5.3659802,150376,29094,283388,32.4885818,6.285729,0.9903502165317266,101,1606,9.903502165317265,0.6225073175741599
2020-08-30,439286,0,150376,29011,259899,34.2319127,6.6041258,0.9399145855086356,106,1611,9.399145855086354,0.6207314150733468
2020-08-29,439286,0,150376,29011,259899,34.2319127,6.6041258,0.9399145855086356,106,1611,9.399145855086354,0.6207314150733468
2020-08-28,439286,2.2767964,150376,29011,259899,34.2319127,6.6041258,0.9399145855086356,106,1611,9.399145855086354,0.6207314150733468
2020-08-27,429507,2.3003508,150376,28996,250135,35.0113037,6.7509959,0.9189910306225502,109,1612,9.189910306225501,0.6204104688382601
2020-08-26,419849,1.7685,150376,28971,240502,35.8166865,6.900338,0.8983263723661012,111,1613,8.983263723661011,0.619875558446449
2020-08-25,412553,1.7553942,150376,28924,233253,36.4501046,7.010978,0.8827155474914842,113,1616,8.827155474914841,0.618869926909844
2020-08-24,405436,5.0205412,150376,28872,226188,37.0899476,7.1212226,0.867487718457404,115,1619,8.67487718457404,0.6177573132948768
2020-08-23,386054,0,150376,28838,206840,38.9520637,7.4699394,0.8260171856010681,121,1621,8.26017185601068,0.6170298351620136
2020-08-22,386054,0,150376,28838,206840,38.9520637,7.4699394,0.8260171856010681,121,1621,8.26017185601068,0.6170298351620136
2020-08-21,386054,2.1560917,150376,28838,206840,38.9520637,7.4699394,0.8260171856010681,121,1621,8.26017185601068,0.6170298351620136
2020-08-20,377906,1.897985,150376,28813,198717,39.7919059,7.6243828,0.8085833861111587,124,1622,8.085833861111587,0.6164949247702025
2020-08-19,370867,1.831706,150376,28797,191694,40.5471503,7.7647782,0.7935224491193236,126,1623,7.935224491193235,0.6161525821194433
2020-08-18,364196,1.4241872,150376,28670,185150,41.289855,7.872135,0.7792489002242344,128,1630,7.792489002242344,0.6134352373290426
2020-08-17,359082,4.745736,150376,28646,180060,41.8778998,7.977565,0.7683067732493453,130,1632,7.683067732493452,0.6129217233529038
2020-08-16,342813,0,150376,28617,163820,43.8653143,8.3476998,0.733496944591842,136,1633,7.33496944591842,0.612301227298403
2020-08-15,342813,0,150376,28617,163820,43.8653143,8.3476998,0.733496944591842,136,1633,7.33496944591842,0.612301227298403
2020-08-14,342813,1.6242063,150376,28617,163820,43.8653143,8.3476998,0.733496944591842,136,1633,7.33496944591842,0.612301227298403
2020-08-13,337334,2.289377,150376,28605,158353,44.5777775,8.4797263,0.7217738484449086,139,1634,7.217738484449085,0.6120444703103336
2020-08-12,329784,0.971183,150376,28579,150829,45.598331,8.665975,0.7056195546122114,142,1635,7.0561955461221135,0.61148816350285
2020-08-11,326612,1.124528,150376,28581,147655,46.041174,8.75075,0.6988326115609114,143,1635,6.988326115609112,0.6115309563341949
2020-08-10,322980,2.7414255,150376,28576,144028,46.55892,8.847607,0.6910614333886788,145,1636,6.9106143338867865,0.6114239742558326
2020-08-09,314362,0,150376,28503,135483,47.8352982,9.0669356,0.6726220023621643,149,1640,6.726220023621642,0.609862035911744
2020-08-08,314362,0,150376,28503,135483,47.8352982,9.0669356,0.6726220023621643,149,1640,6.726220023621642,0.609862035911744
2020-08-07,314362,1.454551,150376,28503,135483,47.8352982,9.0669356,0.6726220023621643,149,1640,6.726220023621642,0.609862035911744
2020-08-06,309855,1.336966,150376,28500,130979,48.531087,9.197851,0.6629786378185927,151,1640,6.629786378185926,0.6097978466647267
2020-08-05,305767,0.9751861,150376,28499,126892,49.1799311,9.3204957,0.6542317830916965,153,1640,6.542317830916964,0.6097764502490542
2020-08-04,302814,1.939041,150376,28498,123940,49.659527,9.4110576,0.647913421543623,154,1640,6.47913421543623,0.6097550538333818
2020-08-03,297054,2.95714,150376,28472,118206,50.6224458,9.5847893,0.6355890861162938,157,1642,6.355890861162938,0.6091987470258982
2020-08-02,288522,0,150376,28445,109701,52.1194224,9.8588669,0.6173336642645624,162,1643,6.173336642645624,0.6086210438027422
2020-08-01,288522,0,150376,28445,109701,52.1194224,9.8588669,0.6173336642645624,162,1643,6.173336642645624,0.6086210438027422
2020-07-31,288522,1.083278,150376,28445,109701,52.1194224,9.8588669,0.6173336642645624,162,1643,6.173336642645624,0.6086210438027422
2020-07-30,285430,0.9867641,150376,28443,106611,52.684021,9.964965,0.610717892538642,164,1643,6.107178925386419,0.6085782509713973
2020-07-29,282641,0.72378,150376,28441,103824,53.2038876,10.0625882,0.6047504322075966,165,1643,6.047504322075966,0.6085354581400524
2020-07-28,280610,0.6557095,150376,28436,101798,53.588967,10.133637,0.6004048201845227,167,1644,6.004048201845227,0.6084284760616901
2020-07-27,278782,2.3349889,150376,28434,99972,53.9403548,10.199367,0.5964935553995995,168,1644,5.9649355539959945,0.6083856832303453
2020-07-26,272421,0,150376,28432,93613,55.1998561,10.4367872,0.5828832953903562,172,1644,5.828832953903562,0.6083428903990004
2020-07-25,272421,0,150376,28432,93613,55.1998561,10.4367872,0.5828832953903562,172,1644,5.828832953903562,0.6083428903990004
2020-07-24,272421,0.834672,150376,28432,93613,55.1998561,10.4367872,0.5828832953903562,172,1644,5.828832953903562,0.6083428903990004
2020-07-23,270166,0.9773838,150376,28429,91361,55.6605939,10.5227897,0.5780584036562195,173,1644,5.780584036562194,0.608278701151983
2020-07-22,267551,0.5097786,150376,28426,88749,56.2046115,10.6245164,0.5724632409578747,175,1644,5.724632409578747,0.6082145119049657
2020-07-21,266194,0.51277,150376,28424,87394,56.4911305,10.6779266,0.5695597473511237,176,1644,5.695597473511237,0.6081717190736208
2020-07-20,264836,1.760197,150376,28422,86038,56.7808,10.731925,0.5666541141028055,176,1644,5.666541141028055,0.6081289262422759
2020-07-19,260255,0,150376,28420,81459,57.780254,10.920059,0.5568524160832578,180,1645,5.568524160832577,0.608086133410931
2020-07-18,260255,0,150376,28420,81459,57.780254,10.920059,0.5568524160832578,180,1645,5.568524160832577,0.608086133410931
2020-07-17,260255,0.540843,150376,28420,81459,57.780254,10.920059,0.5568524160832578,180,1645,5.568524160832577,0.608086133410931
2020-07-16,258855,0.528556,150376,28416,80063,58.092755,10.977574,0.5538569178891152,181,1645,5.5385691788911515,0.6080005477482412
2020-07-15,257494,0.3409724,150376,28413,78705,58.3998074,11.0344319,0.5509448657160952,182,1645,5.509448657160952,0.6079363585012239
2020-07-14,256619,0.260204,150376,28409,77834,58.5989346,11.0704975,0.5490726793447561,182,1645,5.490726793447561,0.6078507728385341
2020-07-13,255953,0.80541,150376,28406,77171,58.7514114,11.0981313,0.5476476780609713,183,1645,5.476476780609712,0.6077865835915167
2020-07-12,253908,0,150376,28403,75129,59.224601,11.186335,0.5432721110559559,184,1645,5.432721110559559,0.6077223943444994
2020-07-11,253908,0,150376,28403,75129,59.224601,11.186335,0.5432721110559559,184,1645,5.432721110559559,0.6077223943444994
2020-07-10,253908,0.336684,150376,28403,75129,59.224601,11.186335,0.5432721110559559,184,1645,5.432721110559559,0.6077223943444994
2020-07-09,253056,0.215038,150376,28401,74279,59.424001,11.223208,0.5414491364406635,185,1646,5.414491364406635,0.6076796015131545
2020-07-08,252513,0.151906,150376,28396,73741,59.5517855,11.2453616,0.5402873110696497,185,1646,5.402873110696496,0.6075726194347922
2020-07-07,252130,0.1354309,150376,28392,73362,59.642248,11.260857,0.5394678283493949,185,1646,5.394678283493949,0.6074870337721024
2020-07-06,251789,0.496518,150376,28388,73025,59.7230221,11.2745195,0.5387382105749645,186,1646,5.387382105749644,0.6074014481094127
2020-07-05,250545,0,150376,28385,71784,60.019557,11.329302,0.5360764964653121,187,1647,5.360764964653121,0.6073372588623953
2020-07-04,250545,0,150376,28385,71784,60.019557,11.329302,0.5360764964653121,187,1647,5.360764964653121,0.6073372588623953
2020-07-03,250545,0.1767272,150376,28385,71784,60.019557,11.329302,0.5360764964653121,187,1647,5.360764964653121,0.6073372588623953
