"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-11-28,108930,0.453715,68250,1695,38985,62.654916,1.556045,0.09719063479501458,1029,66123,0.9719063479501457,0.015123301751358644
2020-11-27,108438,0.714226,67506,1686,39246,62.253085,1.554806,0.09675165754063886,1034,66476,0.9675165754063886,0.015043001034094793
2020-11-26,107669,0.5228319,67001,1672,38996,62.2286824,1.5529075,0.09606553252312884,1041,67033,0.9606553252312884,0.014918088807239913
2020-11-25,107109,0.4859697,66574,1664,38871,62.1553744,1.5535576,0.09556588361570932,1046,67355,0.9556588361570932,0.014846710391894268
2020-11-24,106591,0.3653381,66018,1661,38912,61.9358107,1.5582929,0.09510370837634627,1051,67477,0.9510370837634626,0.01481994348613965
2020-11-23,106203,0.395141,65839,1651,38713,61.9935407,1.55457,0.09475752306191988,1055,67885,0.9475752306191989,0.014730720466957593
2020-11-22,105785,0.411003,65691,1647,38447,62.098596,1.556932,0.09438457084173889,1059,68050,0.9438457084173889,0.014695031259284771
2020-11-21,105352,0.4509959,65534,1636,38182,62.204799,1.552889,0.09399823516868058,1064,68508,0.9399823516868058,0.014596885938184508
2020-11-20,104879,0.4328383,65325,1620,37934,62.286063,1.5446372,0.09357621028794945,1069,69184,0.9357621028794946,0.014454129107493217
2020-11-19,104427,0.48014,64983,1607,37837,62.228159,1.538874,0.09317292224124656,1073,69744,0.9317292224124656,0.014338139182556543
2020-11-18,103928,0.515499,64593,1601,37734,62.151682,1.54049,0.09272769937552809,1078,70005,0.9272769937552809,0.01428460537104731
2020-11-17,103395,0.328947,64293,1588,37514,62.181924,1.535858,0.09225214068328773,1084,70579,0.9225214068328773,0.014168615446110635
2020-11-16,103056,0.327103,64130,1581,37345,62.228303,1.534117,0.09194967464826055,1088,70891,0.9194967464826056,0.014106159332683195
2020-11-15,102720,0.389949,63866,1569,37285,62.174844,1.527453,0.09164988530380884,1091,71433,0.9164988530380884,0.013999091709664726
2020-11-14,102321,0.554262,63675,1565,37081,62.230627,1.5295003,0.09129388545727243,1095,71616,0.9129388545727244,0.013963402501991904
2020-11-13,101757,0.502726,63571,1558,36628,62.4733434,1.5310986,0.09079066762908564,1101,71938,0.9079066762908563,0.013900946388564464
2020-11-12,101248,0.5172397,63268,1554,36426,62.488148,1.534845,0.09033652246144896,1107,72123,0.9033652246144896,0.01386525718089164
2020-11-11,100727,0.3986963,62497,1545,36685,62.0459261,1.5338489,0.08987167053151045,1113,72543,0.8987167053151045,0.01378495646362779
2020-11-10,100327,0.345062,61516,1537,37274,61.3154983,1.5319904,0.08951477845478222,1117,72920,0.8951477845478222,0.013713578048282144
2020-11-09,99982,0.308001,60710,1530,37742,60.72093,1.530275,0.08920695903860412,1121,73254,0.8920695903860413,0.013651121934854705
2020-11-08,99675,0.477818,59766,1523,38386,59.960873,1.527966,0.0889330443697152,1124,73591,0.8893304436971521,0.013588665821427265
