"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-01,1254118,1.1272939,475437,135975,642706,37.9100691,10.8422812,0.20799740690447244,481,4434,2.079974069044724,0.22551663722102416
2020-04-30,1240138,-0.39700228,465841,134184,640113,37.5636421,10.8200862,0.20567880231660707,486,4493,2.0567880231660705,0.22254623606446705
2020-04-29,1245081,1.2675926,472687,131939,640455,37.96435734,10.59682061,0.20649860649956978,484,4570,2.0649860649956975,0.21882286889725838
2020-04-28,1229496,1.4647447,450458,125524,653514,36.6376141,10.2093866,0.20391381018326923,490,4803,2.0391381018326924,0.20818349233706077
2020-04-27,1211747,1.5105783,438289,123178,650280,36.17000909,10.16532329,0.20097011112532773,498,4895,2.009701111253277,0.20429261511021374
2020-04-26,1193715,1.4985235,428625,121119,643971,35.906812,10.146392,0.19797947608037864,505,4978,1.9797947608037865,0.20087773181521035
2020-04-25,1176091,1.8019102,400027,119423,656641,34.01326938,10.15423126,0.1950565084654617,513,5049,1.9505650846546168,0.19806488962563978
2020-04-24,1155274,2.2024491,390433,116714,648127,33.7957056,10.1027116,0.1916039768699257,522,5166,1.916039768699257,0.1935719712933599
2020-04-23,1130378,2.1759822,370464,113702,646212,32.7734616,10.0587591,0.1874749368256127,533,5303,1.874749368256127,0.18857652278216502
2020-04-22,1106305,1.74444537,355732,110656,639917,32.1549663,10.002305,0.1834823926021733,545,5449,1.834823926021733,0.18352468474594336
2020-04-21,1087337,1.964482,340350,107404,639583,31.30124331,9.87771041,0.18033652051185642,555,5614,1.803365205118564,0.17813119252867718
2020-04-20,1066388,1.9134796,317835,104098,644455,29.8048178,9.7617378,0.1768620965124865,565,5792,1.768620965124865,0.17264814047754493
2020-04-19,1046366,2.898136,305964,101431,638971,29.240629,9.6936445,0.17354141689458663,576,5944,1.7354141689458662,0.16822487979382755
2020-04-18,1016895,1.9242315,295402,98898,622595,29.0494102,9.725488,0.1686536060355752,593,6097,1.686536060355752,0.16402386017933332
2020-04-17,997697,2.966501,286224,95967,615506,28.68847,9.6188522,0.16546958809009313,604,6283,1.6546958809009313,0.1591627514189375
2020-04-16,968953,4.291665,272292,92003,604658,28.1016726,9.4950942,0.16070235130371247,622,6554,1.6070235130371247,0.1525883962069931
2020-04-15,929080,3.0978857,255313,88025,585742,27.480195,9.474426,0.1540893526819703,649,6850,1.540893526819703,0.1459908217788612
2020-04-14,901163,1.3297546,240756,83155,577252,26.7161435,9.2275204,0.14945927512264004,669,7251,1.4945927512264003,0.13791385157649763
2020-04-13,889337,2.7382242,229792,79847,579698,25.8385741,8.9782613,0.14749791476097368,678,7551,1.474979147609737,0.13242748249448147
2020-04-12,865634,3.1752313,219926,76645,569063,25.40635,8.854204,0.14356673560888694,697,7867,1.4356673560888695,0.12711691604931347
2020-04-11,838994,3.7786074,209033,73391,556570,24.9147193,8.7475,0.13914845047149546,719,8216,1.3914845047149544,0.12172010680116334
2020-04-10,808446,5.1494822,195932,70007,542507,24.2356323,8.6594528,0.13408201749938453,746,8613,1.340820174993845,0.11610769054555792
2020-04-09,768854,4.3994601,184545,65747,518562,24.0026065,8.5512984,0.12751562316156154,784,9171,1.2751562316156155,0.10904241476279225
2020-04-08,736454,4.7442956,167700,61208,507546,22.7712797,8.3111776,0.12214203312959893,819,9851,1.2214203312959893,0.10151441317171868
2020-04-07,703097,5.2598722,146005,57350,499742,20.7659825,8.1567693,0.11660972316984036,858,10513,1.1660972316984035,0.09511586059662243
2020-04-06,667963,4.281231,130254,52591,485118,19.5001819,7.8733403,0.11078269501604483,903,11465,1.1078269501604483,0.08722298560831683
2020-04-05,640540,4.944623,122829,49174,468537,19.175852,7.67696,0.10623454811954758,941,12262,1.0623454811954758,0.08155583834312662
2020-04-04,610360,9.7615802,113878,46143,450339,18.657514,7.559965,0.1012291485157009,988,13067,1.012291485157009,0.07652887803853442
2020-04-03,556078,7.0257557,102824,42222,411032,18.4909311,7.59282,0.09222639499363315,1084,14280,0.9222639499363314,0.07002583899059446
2020-04-02,519574,7.176171,91638,38067,389869,17.6371412,7.3265791,0.08617215022428859,1160,15839,0.8617215022428859,0.06313470732923498
2020-04-01,484785,8.0418809,78360,33619,372806,16.163866,6.934827,0.08040234085324081,1244,17935,0.8040234085324082,0.055757630643380116
2020-03-31,448701,8.367487,66688,30238,351775,14.8624585,6.7390088,0.07441775373245874,1344,19940,0.7441775373245874,0.05015018993410059
2020-03-30,414055,7.9761337,58199,27023,328833,14.055862,6.526428,0.06867166113223104,1456,22312,0.6867166113223104,0.04481806278818706
2020-03-29,383469,8.23377,48818,24190,310461,12.7306249,6.3082022,0.06359892580144065,1572,24926,0.6359892580144064,0.04011948854110369
2020-03-28,354297,11.411348,42534,21659,290104,12.005182,6.1132327,0.05876070455414392,1702,27838,0.5876070455414392,0.03592178595749338
2020-03-27,318008,12.525388,36081,18950,262977,11.345941,5.95897,0.05274211786680158,1896,31818,0.5274211786680159,0.03142886762521352
2020-03-26,282610,14.0443975,29573,16389,236648,10.464244,5.799158,0.04687130490533822,2134,36790,0.4687130490533821,0.02718140957834429
2020-03-25,247807,13.51932,23456,14171,210180,9.4654308,5.7185632,0.041099173612671694,2433,42548,0.4109917361267169,0.02350282232806864
2020-03-24,218295,11.949024,19767,12089,186439,9.055178,5.537919,0.0362045628403482,2762,49876,0.36204562840348203,0.020049793177900063
2020-03-23,194995,15.3386607,14462,10332,170201,7.4166,5.298597,0.03234022186057261,3092,58357,0.3234022186057261,0.017135781546369713
2020-03-22,169063,12.4485357,12343,8788,147932,7.3008287,5.1980623,0.02803935961647215,3566,68610,0.28039359616472154,0.014575033703977645
2020-03-21,150347,16.589637,8984,7487,133876,5.97551,4.9798134,0.024935282115292754,4010,80533,0.2493528211529275,0.012417305113982775
2020-03-20,128954,18.8154755,6433,6058,116463,4.988601,4.697799,0.02138722003029965,4676,99529,0.2138722003029965,0.010047286547416542
2020-03-19,108533,20.295493,5901,4872,97760,5.437056,4.4889573,0.018000365646265427,5555,123758,0.1800036564626543,0.008080287233247507
2020-03-18,90222,17.751008,5442,4010,80770,6.031788,4.444592,0.014963458020485562,6683,150361,0.14963458020485562,0.006650646922274734
2020-03-17,76621,16.939349,4194,3389,69038,5.473695,4.423069,0.012707711167870632,7869,177914,0.12707711167870633,0.00562070883281523
2020-03-16,65522,19.576604,3459,2802,59261,5.279143,4.276426,0.01086692487883504,9202,215185,0.1086692487883504,0.004647160268382494
2020-03-15,54795,18.057052,2997,2294,49504,5.469477,4.186513,0.0090878353642405,11004,262837,0.090878353642405,0.0038046344238648975
2020-03-14,46414,21.378697,2610,1812,41992,5.623303,3.903994,0.007697833572330661,12991,332753,0.0769783357233066,0.0030052299808383583
2020-03-13,38239,58.346101,1740,1531,34968,4.550328,4.003766,0.0063419971985252755,15768,393827,0.06341997198525275,0.002539187141646538
2020-03-12,24149,3.108322,1309,963,21877,5.420514,3.987743,0.004005148940798318,24968,626115,0.04005148940798318,0.0015971503706111144
2020-03-11,23421,27.551465,1308,959,21154,5.584732,4.094616,0.003884409016623355,25744,628727,0.03884409016623355,0.0015905163088432593
2020-03-10,18362,22.740642,825,716,16821,4.492975,3.899357,0.0030453660545338816,32837,842107,0.030453660545338816,0.001187497056446062
2020-03-09,14960,22.844474,818,522,13620,5.467914,3.489305,0.002481139101177806,40304,1155074,0.024811391011778056,0.00086574506070509
2020-03-08,12178,26.354015,709,411,11058,5.821974,3.374938,0.002019740105223484,49511,1467029,0.020197401052234838,0.0006816498466471111
2020-03-07,9638,28.489535,676,259,8703,7.013903,2.68728,0.0015984771829646853,62560,2327988,0.015984771829646853,0.00042955549946861743
2020-03-06,7501,30.793374,569,216,6716,7.585655,2.879616,0.0012440524330170268,80382,2791430,0.012440524330170268,0.00035823933546417515
2020-03-05,5735,32.295271,458,160,5117,7.986051,2.789887,0.0009511586059662244,105135,3768430,0.009511586059662243,0.00026536247071420383
2020-03-04,4335,29.171633,320,114,3901,7.381776,2.629758,0.000718966444091296,139089,5289025,0.00718966444091296,0.00018907076038387024
2020-03-03,3356,23.06564,202,85,3069,6.01907,2.532777,0.0005565977823230425,179663,7093516,0.005565977823230425,0.00014097381256692078
2020-03-02,2727,23.898228,189,55,2483,6.930693,2.016868,0.0004522771610235212,221103,10962707,0.004522771610235211,9.121834930800756e-05
2020-03-01,2201,50.34153,123,36,2042,5.588369,1.63562,0.00036503924877622667,273943,16748580,0.0036503924877622665,5.970655591069586e-05
2020-02-29,1464,34.065934,86,31,1347,5.874317,2.117486,0.0002428066607034965,411850,19449963,0.002428066607034965,5.141397870087699e-05
2020-02-28,1092,35.990037,85,23,984,7.783883,2.106227,0.00018110988626244412,552151,26215168,0.0018110988626244412,3.8145855165166804e-05
2020-02-27,803,48.979592,84,19,700,10.460772,2.366127,0.00013317878998969106,750870,31734151,0.0013317878998969105,3.1511793397311707e-05
2020-02-26,539,42.216359,41,14,484,7.606679,2.597403,8.939398232184742e-05,1118644,43067776,0.0008939398232184741,2.3219216187492837e-05
2020-02-25,379,37.818182,38,11,330,10.026385,2.902375,6.285773525042703e-05,1590894,54813533,0.0006285773525042703,1.8243669861601512e-05
2020-02-24,275,39.593909,31,8,236,11.272727,2.909091,4.560917465400379e-05,2192541,75368608,0.00045609174654003784,1.3268123535710191e-05
2020-02-23,197,89.423077,32,4,161,16.243655,2.030457,3.267275420668635e-05,3060654,150737216,0.0003267275420668635,6.6340617678550955e-06
2020-02-22,104,67.741935,31,3,70,29.807692,2.884615,1.724856059642325e-05,5797585,200982954,0.00017248560596423249,4.975546325891322e-06
2020-02-21,62,37.777778,30,2,30,48.387097,3.225806,1.0282795740175398e-05,9724982,301474432,0.00010282795740175398,3.3170308839275477e-06
2020-02-20,45,0,28,1,16,62.222222,2.222222,7.463319488836983e-06,13398864,602948863,7.463319488836982e-05,1.6585154419637739e-06
2020-02-19,45,0,28,1,16,62.222222,2.222222,7.463319488836983e-06,13398864,602948863,7.463319488836982e-05,1.6585154419637739e-06
2020-02-18,45,0,28,1,16,62.222222,2.222222,7.463319488836983e-06,13398864,602948863,7.463319488836982e-05,1.6585154419637739e-06
2020-02-17,45,0,17,1,27,37.777778,2.222222,7.463319488836983e-06,13398864,602948863,7.463319488836982e-05,1.6585154419637739e-06
2020-02-16,45,0,16,1,28,35.555556,2.222222,7.463319488836983e-06,13398864,602948863,7.463319488836982e-05,1.6585154419637739e-06
2020-02-15,45,2.272727,9,1,35,20,2.222222,7.463319488836983e-06,13398864,602948863,7.463319488836982e-05,1.6585154419637739e-06
2020-02-14,44,0,5,0,39,11.363636,0,7.297467944640606e-06,13703383,,7.297467944640605e-05,0
2020-02-13,44,0,5,0,39,11.363636,0,7.297467944640606e-06,13703383,,7.297467944640605e-05,0
2020-02-12,44,2.325581,4,0,40,9.090909,0,7.297467944640606e-06,13703383,,7.297467944640605e-05,0
2020-02-11,43,4.878049,0,0,43,0,0,7.131616400444228e-06,14022067,,7.131616400444228e-05,0
2020-02-10,41,13.888889,0,0,41,0,0,6.799913312051473e-06,14706070,,6.799913312051473e-05,0
2020-02-09,36,5.882353,0,0,36,0,0,5.970655591069586e-06,16748580,,5.970655591069586e-05,0
2020-02-08,34,17.241379,0,0,34,0,0,5.638952502676831e-06,17733790,,5.6389525026768316e-05,0
2020-02-07,29,11.538462,0,0,29,0,0,4.809694781694944e-06,20791340,,4.8096947816949446e-05,0
2020-02-06,26,0,0,0,26,0,0,4.312140149105813e-06,23190341,,4.312140149105812e-05,0
2020-02-05,26,0,0,0,26,0,0,4.312140149105813e-06,23190341,,4.312140149105812e-05,0
2020-02-04,26,4,0,0,26,0,0,4.312140149105813e-06,23190341,,4.312140149105812e-05,0
2020-02-03,25,8.695652,0,0,25,0,0,4.146288604909435e-06,24117955,,4.146288604909435e-05,0
2020-02-02,23,9.52381,0,0,23,0,0,3.81458551651668e-06,26215168,,3.8145855165166804e-05,0
2020-02-01,21,31.25,0,0,21,0,0,3.4828824281239255e-06,28711851,,3.482882428123925e-05,0
2020-01-31,16,60,0,0,16,0,0,2.6536247071420384e-06,37684304,,2.6536247071420382e-05,0
2020-01-30,10,0,0,0,10,0,0,1.6585154419637739e-06,60294886,,1.658515441963774e-05,0
2020-01-29,10,25,0,0,10,0,0,1.6585154419637739e-06,60294886,,1.658515441963774e-05,0
2020-01-28,8,166.666667,0,0,8,0,0,1.3268123535710192e-06,75368608,,1.3268123535710191e-05,0
2020-01-27,3,0,0,0,3,0,0,4.975546325891321e-07,200982954,,4.975546325891322e-06,0
2020-01-26,3,0,0,0,3,0,0,4.975546325891321e-07,200982954,,4.975546325891322e-06,0
2020-01-25,3,50,0,0,3,0,0,4.975546325891321e-07,200982954,,4.975546325891322e-06,0
2020-01-24,2,,0,0,2,0,0,3.317030883927548e-07,301474432,,3.3170308839275477e-06,0

