"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,2176,12.92164,300,27,1849,13.786765,1.240809,0.03933335743465529,2542,204896
2020-04-05,1927,2.391073,300,28,1599,15.568241,1.453036,0.034832435559090415,2871,197579
2020-04-04,1882,16.532508,300,25,1557,15.940489,1.328374,0.03401901594302448,2940,221288
2020-04-03,1615,6.389987,300,20,1295,18.575851,1.23839,0.029192726221033225,3426,276610
2020-04-02,1518,4.979253,300,19,1199,19.762846,1.251647,0.027439355048624416,3644,291168
2020-04-01,1446,1.974612,10,17,1419,0.691563,1.175657,0.02613788366291891,3826,325424
2020-03-31,1418,4.881657,10,17,1391,0.705219,1.198872,0.025631755901811215,3901,325424
2020-03-30,1352,9.032258,10,13,1329,0.739645,0.961538,0.0244387404649145,4092,425554
2020-03-29,1240,6.255356,10,11,1219,0.806452,0.887097,0.022414229420483715,4461,502927
2020-03-28,1167,12.103746,10,9,1148,0.856898,0.771208,0.021094682043310074,4741,614689
2020-03-27,1041,8.663883,10,7,1024,0.960615,0.67243,0.01881710711832544,5314,790314
2020-03-26,958,8.863636,10,5,943,1.043841,0.521921,0.017316799826470483,5775,1106440
2020-03-25,880,11.111111,10,3,867,1.136364,0.340909,0.015906872491956183,6287,1844067
2020-03-24,792,13.142857,10,1,781,1.262626,0.126263,0.014316185242760565,6985,5532200
2020-03-23,700,11.821086,10,1,689,1.428571,0.142857,0.012653194027692419,7903,5532200
2020-03-22,626,19.694073,10,1,615,1.597444,0.159744,0.01131557065905065,8837,5532200
2020-03-21,523,16.222222,10,1,512,1.912046,0.191205,0.00945374353783305,10578,5532200
2020-03-20,450,12.5,10,0,440,2.222222,0,0.008134196160659413,12294,
2020-03-19,400,19.047619,10,0,390,2.5,0,0.007230396587252811,13831,
2020-03-18,336,4.672897,10,0,326,2.97619,0,0.006073533133292361,16465,
2020-03-17,321,15.884477,10,0,311,3.115265,0,0.005802393261270381,17234,
2020-03-16,277,13.52459,10,0,267,3.610108,0,0.005007049636672572,19972,
2020-03-15,244,8.444444,10,0,234,4.098361,0,0.004410541918224215,22673,
2020-03-14,225,45.16129,1,0,224,0.444444,0,0.004067098080329706,24588,
2020-03-13,155,162.711864,1,0,154,0.645161,0,0.0028017786775604643,35692,
2020-03-12,59,0,1,0,58,1.694915,0,0.0010664834966197896,93766,
2020-03-11,59,47.5,1,0,58,1.694915,0,0.0010664834966197896,93766,
2020-03-10,40,33.333333,1,0,39,2.5,0,0.0007230396587252811,138305,
2020-03-09,30,30.434783,1,0,29,3.333333,0,0.0005422797440439608,184407,
2020-03-08,23,53.333333,1,0,22,4.347826,0,0.0004157478037670366,240530,
2020-03-07,15,0,1,0,14,6.666667,0,0.0002711398720219804,368813,
2020-03-06,15,25,1,0,14,6.666667,0,0.0002711398720219804,368813,
2020-03-05,12,100,1,0,11,8.333333,0,0.00021691189761758432,461017,
2020-03-04,6,0,1,0,5,16.666667,0,0.00010845594880879216,922033,
2020-03-03,6,0,1,0,5,16.666667,0,0.00010845594880879216,922033,
2020-03-02,6,0,1,0,5,16.666667,0,0.00010845594880879216,922033,
2020-03-01,6,100,1,0,5,16.666667,0,0.00010845594880879216,922033,
2020-02-29,3,50,1,0,2,33.333333,0,5.422797440439608e-05,1844067,
2020-02-28,2,0,1,0,1,50,0,3.615198293626405e-05,2766100,
2020-02-27,2,0,1,0,1,50,0,3.615198293626405e-05,2766100,
2020-02-26,2,100,1,0,1,50,0,3.615198293626405e-05,2766100,
2020-02-25,1,0,1,0,0,100,0,1.8075991468132026e-05,5532200,
2020-02-24,1,0,1,0,0,100,0,1.8075991468132026e-05,5532200,
2020-02-23,1,0,1,0,0,100,0,1.8075991468132026e-05,5532200,
2020-02-22,1,0,1,0,0,100,0,1.8075991468132026e-05,5532200,
2020-02-21,1,0,1,0,0,100,0,1.8075991468132026e-05,5532200,
2020-02-20,1,0,1,0,0,100,0,1.8075991468132026e-05,5532200,
2020-02-19,1,0,1,0,0,100,0,1.8075991468132026e-05,5532200,
2020-02-18,1,0,1,0,0,100,0,1.8075991468132026e-05,5532200,
2020-02-17,1,0,1,0,0,100,0,1.8075991468132026e-05,5532200,
2020-02-16,1,0,1,0,0,100,0,1.8075991468132026e-05,5532200,
2020-02-15,1,0,1,0,0,100,0,1.8075991468132026e-05,5532200,
2020-02-14,1,0,1,0,0,100,0,1.8075991468132026e-05,5532200,
2020-02-13,1,0,1,0,0,100,0,1.8075991468132026e-05,5532200,
2020-02-12,1,0,1,0,0,100,0,1.8075991468132026e-05,5532200,
2020-02-11,1,0,0,0,1,0,0,1.8075991468132026e-05,5532200,
2020-02-10,1,0,0,0,1,0,0,1.8075991468132026e-05,5532200,
2020-02-09,1,0,0,0,1,0,0,1.8075991468132026e-05,5532200,
2020-02-08,1,0,0,0,1,0,0,1.8075991468132026e-05,5532200,
2020-02-07,1,0,0,0,1,0,0,1.8075991468132026e-05,5532200,
2020-02-06,1,0,0,0,1,0,0,1.8075991468132026e-05,5532200,
2020-02-05,1,0,0,0,1,0,0,1.8075991468132026e-05,5532200,
2020-02-04,1,0,0,0,1,0,0,1.8075991468132026e-05,5532200,
2020-02-03,1,0,0,0,1,0,0,1.8075991468132026e-05,5532200,
2020-02-02,1,0,0,0,1,0,0,1.8075991468132026e-05,5532200,
2020-02-01,1,0,0,0,1,0,0,1.8075991468132026e-05,5532200,
2020-01-31,1,0,0,0,1,0,0,1.8075991468132026e-05,5532200,
2020-01-30,1,0,0,0,1,0,0,1.8075991468132026e-05,5532200,
2020-01-29,1,,0,0,1,0,0,1.8075991468132026e-05,5532200,

