"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-07-11,7291,0.164858,6800,329,162,93.26567,4.512413,0.1317920537941506,759,16815,1.3179205379415062,0.05947001193015437
2020-07-10,7279,0.082497,6800,329,150,93.419426,4.519852,0.13157514189653302,760,16815,1.3157514189653303,0.05947001193015437
2020-07-09,7273,0.110117,6800,329,144,93.496494,4.52358,0.13146668594772423,761,16815,1.3146668594772424,0.05947001193015437
2020-07-08,7265,0.041311,6800,329,136,93.599449,4.528562,0.13132207801597917,761,16815,1.3132207801597917,0.05947001193015437
2020-07-07,7262,0.068899,6700,329,233,92.261085,4.530432,0.1312678500415748,762,16815,1.3126785004157477,0.05947001193015437
2020-07-06,7257,0.05515,6700,329,228,92.324652,4.533554,0.1311774700842341,762,16815,1.3117747008423413,0.05947001193015437
2020-07-05,7253,0.068985,6700,329,224,92.375569,4.536054,0.1311051661183616,763,16815,1.311051661183616,0.05947001193015437
2020-07-04,7248,0.08285,6700,329,219,92.439294,4.539183,0.13101478616102094,763,16815,1.3101478616102094,0.05947001193015437
2020-07-03,7242,0.01381,6700,329,213,92.51588,4.542944,0.13090633021221215,764,16815,1.3090633021221214,0.05947001193015437
2020-07-02,7241,0.069099,6700,328,213,92.528656,4.529761,0.13088825422074402,764,16866,1.3088825422074402,0.059289252015473054
2020-07-01,7236,0.304963,6700,328,208,92.592593,4.532891,0.13079787426340334,765,16866,1.3079787426340335,0.059289252015473054
2020-06-30,7214,0.069358,6600,328,286,91.488772,4.546715,0.13040020245110445,767,16866,1.3040020245110444,0.059289252015473054
2020-06-29,7209,0.15282,6600,328,281,91.552226,4.549868,0.13030982249376377,767,16866,1.303098224937638,0.059289252015473054
2020-06-28,7198,0,6600,328,270,91.692137,4.556821,0.13011098658761433,769,16866,1.3011098658761433,0.059289252015473054
2020-06-27,7198,0.097344,6600,328,270,91.692137,4.556821,0.13011098658761433,769,16866,1.3011098658761433,0.059289252015473054
2020-06-26,7191,0.264919,6600,328,263,91.781393,4.561257,0.1299844546473374,769,16866,1.299844546473374,0.059289252015473054
2020-06-25,7172,0.069764,6600,327,245,92.02454,4.559398,0.1296410108094429,771,16918,1.296410108094429,0.05910849210079173
2020-06-24,7167,0.167715,6600,327,240,92.08874,4.562578,0.12955063085210225,772,16918,1.2955063085210223,0.05910849210079173
2020-06-23,7155,0.153975,6400,327,428,89.447939,4.570231,0.12933371895448464,773,16918,1.2933371895448467,0.05910849210079173
