"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-11-28,2207771,0.5721088,138666,51779,2017326,6.28081445,2.34530665,3.389806800891145,30,1258,33.89806800891145,0.7950136420097129
2020-11-27,2195212,0.56507994,137956,51566,2005690,6.2844044,2.349021,3.370523739553537,30,1263,33.70523739553537,0.7917432446334007
2020-11-26,2182877,0.6242002,136277,50610,1995990,6.24299949,2.31849985,3.351584607329682,30,1287,33.51584607329682,0.7770648413857273
2020-11-25,2169336,0.70744261,134593,50271,1984472,6.2043409,2.317345,3.3307937853237464,30,1296,33.30793785323746,0.7718598427445543
2020-11-24,2154097,0.42508575,132720,49902,1971475,6.16128243,2.31660877,3.307395857803736,30,1305,33.07395857803736,0.7661942247546051
2020-11-23,2144979,0.19385014,130633,48897,1965449,6.09017617,2.2796027,3.2933961003965933,30,1332,32.93396100396593,0.7507634765705968
2020-11-22,2140829,0.6183754,129722,48398,1962709,6.05942838,2.26071302,3.2870241994051868,30,1346,32.870241994051874,0.7431018414026167
2020-11-21,2127672,0.83653196,129218,48184,1950270,6.0732105,2.2646348,3.2668229701656846,31,1352,32.66822970165685,0.739816090048012
2020-11-20,2110021,1.0945411,128294,47932,1933795,6.08022385,2.27163616,3.2397216630815127,31,1359,32.39721663081513,0.7359468875182904
2020-11-19,2087176,1.0227265,126342,46795,1914039,6.0532509,2.242025,3.2046454996721927,31,1392,32.04645499672193,0.7184894141996663
2020-11-18,2066046,1.373666,124164,46366,1895516,6.0097403,2.24419011,3.172202543540044,32,1405,31.72202543540044,0.7119025575121642
2020-11-17,2038050,2.283403,121925,45946,1870179,5.982434,2.25441,3.1292175459122338,32,1418,31.292175459122337,0.7054538866292951
2020-11-16,1992552,0.457378,119653,44731,1828168,6.0050127,2.24491,3.05936001547681,33,1456,30.5936001547681,0.6867988030038523
