"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-20,1567,4.327563,365,12,1190,23.292916,0.765795,0.0721255638405597,1386,181050,0.721255638405597,0.005523336095001381
2020-05-19,1502,4.888268,318,12,1172,21.171771,0.798935,0.06913375678910062,1446,181050,0.6913375678910062,0.005523336095001381
2020-05-18,1432,8.484848,301,11,1120,21.019553,0.768156,0.06591181073368314,1517,197509,0.6591181073368315,0.0050630580870846
2020-05-17,1320,0,244,11,1065,18.484848,0.833333,0.06075669704501519,1646,197509,0.607566970450152,0.0050630580870846
2020-05-16,1320,9.181141,244,11,1065,18.484848,0.833333,0.06075669704501519,1646,197509,0.607566970450152,0.0050630580870846
2020-05-15,1209,9.51087,219,10,980,18.114144,0.82713,0.05564761115713891,1797,217260,0.5564761115713891,0.004602780079167817
2020-05-14,1104,9.960159,182,10,912,16.485507,0.905797,0.0508146920740127,1968,217260,0.508146920740127,0.004602780079167817
2020-05-13,1004,16.338355,152,9,843,15.139442,0.896414,0.04621191199484489,2164,241400,0.4621191199484489,0.004142502071251036
2020-05-12,863,7.605985,137,9,717,15.874855,1.042874,0.03972199208321826,2517,241400,0.39721992083218266,0.004142502071251036
2020-05-11,802,21.331316,127,9,666,15.835411,1.122195,0.0369142962349259,2709,241400,0.369142962349259,0.004142502071251036
2020-05-10,661,0,110,8,543,16.641452,1.210287,0.030424376323299272,3287,271575,0.30424376323299274,0.003682224063334254
2020-05-09,661,6.612903,110,8,543,16.641452,1.210287,0.030424376323299272,3287,271575,0.30424376323299274,0.003682224063334254
2020-05-08,620,23.015873,110,8,502,17.741935,1.290323,0.028537236490840466,3504,271575,0.2853723649084047,0.003682224063334254
2020-05-07,504,26.952141,110,8,386,21.825397,1.587302,0.0231980115990058,4311,271575,0.231980115990058,0.003682224063334254
2020-05-06,397,0,93,6,298,23.425693,1.511335,0.018273036914296235,5473,362100,0.18273036914296237,0.0027616680475006906
2020-05-05,397,8.174387,93,6,298,23.425693,1.511335,0.018273036914296235,5473,362100,0.18273036914296237,0.0027616680475006906
2020-05-04,367,9.552239,93,6,268,25.340599,1.634877,0.01689220289054589,5920,362100,0.1689220289054589,0.0027616680475006906
2020-05-03,335,0,85,5,245,25.373134,1.492537,0.015419313265212188,6485,434520,0.1541931326521219,0.0023013900395839086
2020-05-02,335,21.376812,85,5,245,25.373134,1.492537,0.015419313265212188,6485,434520,0.1541931326521219,0.0023013900395839086
2020-05-01,276,0,67,3,206,24.275362,1.086957,0.012703673018503175,7872,724200,0.12703673018503175,0.0013808340237503453
2020-04-30,276,0,67,3,206,24.275362,1.086957,0.012703673018503175,7872,724200,0.12703673018503175,0.0013808340237503453
