"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-12,86,3.614458,51,0,35,59.302326,0,0.029573590096286108,3381,,0.29573590096286106,0
2020-04-11,83,0,43,0,40,51.807229,0,0.028541953232462173,3504,,0.28541953232462175,0
2020-04-10,83,0,43,0,40,51.807229,0,0.028541953232462173,3504,,0.28541953232462175,0
2020-04-09,83,7.792208,43,0,40,51.807229,0,0.028541953232462173,3504,,0.28541953232462175,0
2020-04-08,77,6.944444,34,0,43,44.155844,0,0.026478679504814306,3777,,0.26478679504814306,0
2020-04-07,72,0,34,0,38,47.222222,0,0.024759284731774415,4039,,0.24759284731774414,0
2020-04-06,72,18.032787,34,0,38,47.222222,0,0.024759284731774415,4039,,0.24759284731774414,0
2020-04-05,61,0,22,0,39,36.065574,0,0.020976616231086657,4767,,0.20976616231086656,0
2020-04-04,61,7.017544,22,0,39,36.065574,0,0.020976616231086657,4767,,0.20976616231086656,0
2020-04-03,57,11.764706,22,0,35,38.596491,0,0.019601100412654747,5102,,0.19601100412654746,0
2020-04-02,51,0,15,0,36,29.411765,0,0.017537826685006877,5702,,0.17537826685006877,0
2020-04-01,51,18.604651,15,0,36,29.411765,0,0.017537826685006877,5702,,0.17537826685006877,0
2020-03-31,43,0,6,0,37,13.953488,0,0.014786795048143054,6763,,0.14786795048143053,0
2020-03-30,43,53.571429,6,0,37,13.953488,0,0.014786795048143054,6763,,0.14786795048143053,0
2020-03-29,28,0,6,0,22,21.428571,0,0.009628610729023384,10386,,0.09628610729023383,0
2020-03-28,28,0,6,0,22,21.428571,0,0.009628610729023384,10386,,0.09628610729023383,0
2020-03-27,28,0,6,0,22,21.428571,0,0.009628610729023384,10386,,0.09628610729023383,0
2020-03-26,28,0,6,0,22,21.428571,0,0.009628610729023384,10386,,0.09628610729023383,0
2020-03-25,28,21.73913,6,0,22,21.428571,0,0.009628610729023384,10386,,0.09628610729023383,0
2020-03-24,23,,6,0,17,26.086957,0,0.007909215955983494,12643,,0.07909215955983494,0

