"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,214,0,31,5,178,14.485981,2.336449,0.0007035331170133375,142140,6083580
2020-04-05,214,4.390244,31,5,178,14.485981,2.336449,0.0007035331170133375,142140,6083580
2020-04-04,205,0,31,5,169,15.121951,2.439024,0.0006739452756436178,148380,6083580
2020-04-03,205,0.490196,31,5,169,15.121951,2.439024,0.0006739452756436178,148380,6083580
2020-04-02,204,4.615385,31,5,168,15.196078,2.45098,0.0006706577377136489,149107,6083580
2020-04-01,195,21.118012,31,5,159,15.897436,2.564103,0.0006410698963439291,155989,6083580
2020-03-31,161,5.921053,31,5,125,19.254658,3.10559,0.0005292936067249875,188931,6083580
2020-03-30,152,0,2,5,145,1.315789,3.289474,0.0004997057653552678,200118,6083580
2020-03-29,152,7.801418,2,5,145,1.315789,3.289474,0.0004997057653552678,200118,6083580
2020-03-28,141,2.919708,2,5,134,1.41844,3.546099,0.00046354284812561027,215730,6083580
2020-03-27,137,3.787879,2,4,131,1.459854,2.919708,0.00045039269640573476,222028,7604475
2020-03-26,132,41.935484,1,4,127,0.757576,3.030303,0.00043395500675589047,230439,7604475
2020-03-25,93,75.471698,0,4,89,0,4.301075,0.00030574102748710466,327074,7604475
2020-03-24,53,96.296296,0,2,51,0,3.773585,0.00017423951028834996,573923,15208950
2020-03-23,27,17.391304,0,2,25,0,7.407407,8.876352410915941e-05,1126589,15208950
2020-03-22,23,21.052632,0,1,22,0,4.347826,7.561337238928394e-05,1322517,30417900
2020-03-21,19,18.75,0,1,18,0,5.263158,6.246322066940847e-05,1600942,30417900
2020-03-20,16,45.454545,0,0,16,0,0,5.260060687950187e-05,1901119,
2020-03-19,11,57.142857,0,0,11,0,0,3.616291722965754e-05,2765264,
2020-03-18,7,0,0,0,7,0,0,2.301276550978207e-05,4345414,
2020-03-17,7,16.666667,0,0,7,0,0,2.301276550978207e-05,4345414,
2020-03-16,6,0,0,0,6,0,0,1.97252275798132e-05,5069650,
2020-03-15,6,100,0,0,6,0,0,1.97252275798132e-05,5069650,
2020-03-14,3,,0,0,3,0,0,9.8626137899066e-06,10139300,

