"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-01,12,9.090909,8,1,3,66.666667,8.333333,0.0005111385611449503,195642,2347700,0.005111385611449504,0.00042594880095412534
2020-04-30,11,10,8,1,2,72.727273,9.090909,0.00046854368104953787,213427,2347700,0.0046854368104953786,0.00042594880095412534
2020-04-29,10,0,8,1,1,80,10,0.00042594880095412534,234770,2347700,0.004259488009541254,0.00042594880095412534
2020-04-28,10,0,8,1,1,80,10,0.00042594880095412534,234770,2347700,0.004259488009541254,0.00042594880095412534
2020-04-27,10,0,8,1,1,80,10,0.00042594880095412534,234770,2347700,0.004259488009541254,0.00042594880095412534
2020-04-26,10,0,8,1,1,80,10,0.00042594880095412534,234770,2347700,0.004259488009541254,0.00042594880095412534
2020-04-25,10,0,8,1,1,80,10,0.00042594880095412534,234770,2347700,0.004259488009541254,0.00042594880095412534
2020-04-24,10,0,8,1,1,80,10,0.00042594880095412534,234770,2347700,0.004259488009541254,0.00042594880095412534
2020-04-23,10,0,2,1,7,20,10,0.00042594880095412534,234770,2347700,0.004259488009541254,0.00042594880095412534
2020-04-22,10,0,2,1,7,20,10,0.00042594880095412534,234770,2347700,0.004259488009541254,0.00042594880095412534
2020-04-21,10,0,2,1,7,20,10,0.00042594880095412534,234770,2347700,0.004259488009541254,0.00042594880095412534
2020-04-20,10,0,2,1,7,20,10,0.00042594880095412534,234770,2347700,0.004259488009541254,0.00042594880095412534
2020-04-19,10,11.111111,2,1,7,20,10,0.00042594880095412534,234770,2347700,0.004259488009541254,0.00042594880095412534
2020-04-18,9,0,2,1,6,22.222222,11.111111,0.00038335392085871276,260856,2347700,0.003833539208587128,0.00042594880095412534
2020-04-17,9,0,2,1,6,22.222222,11.111111,0.00038335392085871276,260856,2347700,0.003833539208587128,0.00042594880095412534
2020-04-16,9,0,2,1,6,22.222222,11.111111,0.00038335392085871276,260856,2347700,0.003833539208587128,0.00042594880095412534
2020-04-15,9,0,2,1,6,22.222222,11.111111,0.00038335392085871276,260856,2347700,0.003833539208587128,0.00042594880095412534
2020-04-14,9,0,2,1,6,22.222222,11.111111,0.00038335392085871276,260856,2347700,0.003833539208587128,0.00042594880095412534
2020-04-13,9,0,2,1,6,22.222222,11.111111,0.00038335392085871276,260856,2347700,0.003833539208587128,0.00042594880095412534
2020-04-12,9,0,2,1,6,22.222222,11.111111,0.00038335392085871276,260856,2347700,0.003833539208587128,0.00042594880095412534
2020-04-11,9,125,2,1,6,22.222222,11.111111,0.00038335392085871276,260856,2347700,0.003833539208587128,0.00042594880095412534
2020-04-10,4,0,2,1,1,50,25,0.00017037952038165011,586925,2347700,0.0017037952038165014,0.00042594880095412534
2020-04-09,4,0,2,1,1,50,25,0.00017037952038165011,586925,2347700,0.0017037952038165014,0.00042594880095412534
2020-04-08,4,0,2,1,1,50,25,0.00017037952038165011,586925,2347700,0.0017037952038165014,0.00042594880095412534
2020-04-07,4,0,2,1,1,50,25,0.00017037952038165011,586925,2347700,0.0017037952038165014,0.00042594880095412534
2020-04-06,4,0,2,1,1,50,25,0.00017037952038165011,586925,2347700,0.0017037952038165014,0.00042594880095412534
2020-04-05,4,0,2,1,1,50,25,0.00017037952038165011,586925,2347700,0.0017037952038165014,0.00042594880095412534
2020-04-04,4,0,2,1,1,50,25,0.00017037952038165011,586925,2347700,0.0017037952038165014,0.00042594880095412534
2020-04-03,4,0,2,1,1,50,25,0.00017037952038165011,586925,2347700,0.0017037952038165014,0.00042594880095412534
2020-04-02,4,0,2,1,1,50,25,0.00017037952038165011,586925,2347700,0.0017037952038165014,0.00042594880095412534
2020-04-01,4,0,2,1,1,50,25,0.00017037952038165011,586925,2347700,0.0017037952038165014,0.00042594880095412534
2020-03-31,4,0,0,1,3,0,25,0.00017037952038165011,586925,2347700,0.0017037952038165014,0.00042594880095412534
2020-03-30,4,0,0,1,3,0,25,0.00017037952038165011,586925,2347700,0.0017037952038165014,0.00042594880095412534
2020-03-29,4,33.333333,0,1,3,0,25,0.00017037952038165011,586925,2347700,0.0017037952038165014,0.00042594880095412534
2020-03-28,3,0,0,1,2,0,33.333333,0.00012778464028623759,782567,2347700,0.001277846402862376,0.00042594880095412534
2020-03-27,3,0,0,1,2,0,33.333333,0.00012778464028623759,782567,2347700,0.001277846402862376,0.00042594880095412534
2020-03-26,3,0,0,1,2,0,33.333333,0.00012778464028623759,782567,2347700,0.001277846402862376,0.00042594880095412534
2020-03-25,3,0,0,1,2,0,33.333333,0.00012778464028623759,782567,2347700,0.001277846402862376,0.00042594880095412534
2020-03-24,3,50,0,1,2,0,33.333333,0.00012778464028623759,782567,2347700,0.001277846402862376,0.00042594880095412534
2020-03-23,2,100,0,1,1,0,50,8.518976019082506e-05,1173850,2347700,0.0008518976019082507,0.00042594880095412534
2020-03-22,1,0,0,0,1,0,0,4.259488009541253e-05,2347700,,0.00042594880095412534,0
2020-03-21,1,0,0,0,1,0,0,4.259488009541253e-05,2347700,,0.00042594880095412534,0
2020-03-20,1,0,0,0,1,0,0,4.259488009541253e-05,2347700,,0.00042594880095412534,0
2020-03-19,1,0,0,0,1,0,0,4.259488009541253e-05,2347700,,0.00042594880095412534,0
2020-03-18,1,0,0,0,1,0,0,4.259488009541253e-05,2347700,,0.00042594880095412534,0
2020-03-17,1,,0,0,1,0,0,4.259488009541253e-05,2347700,,0.00042594880095412534,0

