"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,128,5.785124,5,0,123,3.90625,0,0.0010022550739163117,99775,
2020-04-05,121,9.009009,5,0,116,4.132231,0,0.0009474442495615134,105547,
2020-04-04,111,52.054795,5,0,106,4.504505,0,0.0008691430719118016,115056,
2020-04-03,73,40.384615,2,0,71,2.739726,0,0.0005715985968428965,174948,
2020-04-02,52,73.333333,0,0,52,0,0,0.00040716612377850165,245600,
2020-04-01,30,36.363636,0,0,30,0,0,0.00023490353294913554,425707,
2020-03-31,22,0,0,0,22,0,0,0.00017226259082936608,580509,
2020-03-30,22,37.5,0,0,22,0,0,0.00017226259082936608,580509,
2020-03-29,16,100,0,0,16,0,0,0.00012528188423953897,798200,
2020-03-28,8,0,0,0,8,0,0,6.264094211976948e-05,1596400,
2020-03-27,8,100,0,0,8,0,0,6.264094211976948e-05,1596400,
2020-03-26,4,0,0,0,4,0,0,3.132047105988474e-05,3192800,
2020-03-25,4,0,0,0,4,0,0,3.132047105988474e-05,3192800,
2020-03-24,4,0,0,0,4,0,0,3.132047105988474e-05,3192800,
2020-03-23,4,100,0,0,4,0,0,3.132047105988474e-05,3192800,
2020-03-22,2,0,0,0,2,0,0,1.566023552994237e-05,6385600,
2020-03-21,2,100,0,0,2,0,0,1.566023552994237e-05,6385600,
2020-03-20,1,0,0,0,1,0,0,7.830117764971185e-06,12771200,
2020-03-19,1,0,0,0,1,0,0,7.830117764971185e-06,12771200,
2020-03-18,1,0,0,0,1,0,0,7.830117764971185e-06,12771200,
2020-03-17,1,0,0,0,1,0,0,7.830117764971185e-06,12771200,
2020-03-16,1,0,0,0,1,0,0,7.830117764971185e-06,12771200,
2020-03-15,1,0,0,0,1,0,0,7.830117764971185e-06,12771200,
2020-03-14,1,0,0,0,1,0,0,7.830117764971185e-06,12771200,
2020-03-13,1,,0,0,1,0,0,7.830117764971185e-06,12771200,

