"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-08,2009,4.255319,663,11,1335,33.001493,0.547536,0.01573070658982711,6357,1161018,0.1573070658982711,0.0008613129541468303
2020-05-07,1927,3.825431,629,11,1287,32.641412,0.570835,0.015088636933099473,6628,1161018,0.15088636933099472,0.0008613129541468303
2020-05-06,1856,2.484815,597,11,1248,32.165948,0.592672,0.01453269857178652,6881,1161018,0.14532698571786518,0.0008613129541468303
2020-05-05,1811,5.906433,498,10,1303,27.49862,0.552181,0.014180343272362816,7052,1277120,0.14180343272362816,0.0007830117764971185
2020-05-04,1710,7.818411,450,9,1251,26.315789,0.526316,0.013389501378100726,7469,1419022,0.13389501378100727,0.0007047105988474067
2020-05-03,1586,0,405,7,1174,25.535939,0.441362,0.0124185667752443,8052,1824457,0.124185667752443,0.000548108243547983
2020-05-02,1586,3.188029,405,7,1174,25.535939,0.441362,0.0124185667752443,8052,1824457,0.124185667752443,0.000548108243547983
2020-05-01,1537,2.809365,342,7,1188,22.251139,0.455433,0.012034891004760712,8309,1824457,0.12034891004760712,0.000548108243547983
2020-04-30,1495,10.658771,329,7,1159,22.006689,0.468227,0.011706026058631922,8543,1824457,0.11706026058631921,0.000548108243547983
2020-04-29,1351,8.951613,313,7,1031,23.168024,0.518135,0.010578489100476072,9453,1824457,0.10578489100476071,0.000548108243547983
2020-04-28,1240,6.620808,269,7,964,21.693548,0.564516,0.00970934602856427,10299,1824457,0.0970934602856427,0.000548108243547983
2020-04-27,1163,16.767068,246,7,910,21.152193,0.601892,0.009106426960661489,10981,1824457,0.09106426960661487,0.000548108243547983
2020-04-26,996,0,208,7,781,20.883534,0.702811,0.0077987972939113,12822,1824457,0.077987972939113,0.000548108243547983
2020-04-25,996,4.402516,208,7,781,20.883534,0.702811,0.0077987972939113,12822,1824457,0.077987972939113,0.000548108243547983
2020-04-24,954,10.672854,191,6,757,20.020964,0.628931,0.0074699323477825106,13387,2128533,0.0746993234778251,0.0004698070658982711
2020-04-23,862,13.272011,170,6,686,19.721578,0.696056,0.0067495615134051615,14816,2128533,0.06749561513405161,0.0004698070658982711
2020-04-22,761,10.610465,164,6,591,21.550591,0.788436,0.005958719619143072,16782,2128533,0.059587196191430714,0.0004698070658982711
2020-04-21,688,10.610932,127,6,555,18.459302,0.872093,0.0053871210223001755,18563,2128533,0.05387121022300175,0.0004698070658982711
2020-04-20,622,7.426598,122,5,495,19.614148,0.803859,0.004870333249812077,20532,2554240,0.04870333249812077,0.00039150588824855923
2020-04-19,579,11.776062,87,5,487,15.025907,0.863558,0.004533638185918316,22057,2554240,0.04533638185918316,0.00039150588824855923
2020-04-18,518,8.595388,65,3,450,12.548263,0.579151,0.004056001002255074,24655,4257067,0.04056001002255074,0.00023490353294913554
2020-04-17,477,8.90411,59,3,415,12.368973,0.628931,0.0037349661738912553,26774,4257067,0.03734966173891255,0.00023490353294913554
2020-04-16,438,8.415842,49,1,388,11.187215,0.228311,0.003429591581057379,29158,12771200,0.03429591581057379,7.830117764971184e-05
2020-04-15,404,11.294766,31,1,372,7.673267,0.247525,0.003163367577048359,31612,12771200,0.03163367577048359,7.830117764971184e-05
2020-04-14,363,13.793103,31,0,332,8.539945,0,0.00284233274868454,35182,,0.0284233274868454,0
2020-04-13,319,27.6,17,0,302,5.329154,0,0.002497807567025808,40035,,0.02497807567025808,0
2020-04-12,250,0,17,0,233,6.8,0,0.001957529441242796,51085,,0.019575294412427963,0
2020-04-11,250,17.924528,17,0,233,6.8,0,0.001957529441242796,51085,,0.019575294412427963,0
2020-04-10,212,9.278351,15,0,197,7.075472,0,0.0016599849661738913,60242,,0.01659984966173891,0
2020-04-09,194,18.292683,11,0,183,5.670103,0,0.0015190428464044098,65831,,0.015190428464044099,0
2020-04-08,164,13.888889,5,0,159,3.04878,0,0.0012841393134552744,77873,,0.012841393134552744,0
2020-04-07,144,12.5,5,0,139,3.472222,0,0.0011275369581558506,88689,,0.011275369581558507,0
2020-04-06,128,5.785124,5,0,123,3.90625,0,0.0010022550739163117,99775,,0.010022550739163116,0
2020-04-05,121,9.009009,5,0,116,4.132231,0,0.0009474442495615134,105547,,0.009474442495615134,0
2020-04-04,111,52.054795,5,0,106,4.504505,0,0.0008691430719118016,115056,,0.008691430719118015,0
2020-04-03,73,40.384615,2,0,71,2.739726,0,0.0005715985968428965,174948,,0.0057159859684289644,0
2020-04-02,52,73.333333,0,0,52,0,0,0.00040716612377850165,245600,,0.004071661237785016,0
2020-04-01,30,36.363636,0,0,30,0,0,0.00023490353294913554,425707,,0.0023490353294913554,0
2020-03-31,22,0,0,0,22,0,0,0.00017226259082936608,580509,,0.0017226259082936605,0
2020-03-30,22,37.5,0,0,22,0,0,0.00017226259082936608,580509,,0.0017226259082936605,0
2020-03-29,16,100,0,0,16,0,0,0.00012528188423953897,798200,,0.0012528188423953895,0
2020-03-28,8,0,0,0,8,0,0,6.264094211976948e-05,1596400,,0.0006264094211976947,0
2020-03-27,8,100,0,0,8,0,0,6.264094211976948e-05,1596400,,0.0006264094211976947,0
2020-03-26,4,0,0,0,4,0,0,3.132047105988474e-05,3192800,,0.0003132047105988474,0
2020-03-25,4,0,0,0,4,0,0,3.132047105988474e-05,3192800,,0.0003132047105988474,0
2020-03-24,4,0,0,0,4,0,0,3.132047105988474e-05,3192800,,0.0003132047105988474,0
2020-03-23,4,100,0,0,4,0,0,3.132047105988474e-05,3192800,,0.0003132047105988474,0
2020-03-22,2,0,0,0,2,0,0,1.566023552994237e-05,6385600,,0.0001566023552994237,0
2020-03-21,2,100,0,0,2,0,0,1.566023552994237e-05,6385600,,0.0001566023552994237,0
2020-03-20,1,0,0,0,1,0,0,7.830117764971185e-06,12771200,,7.830117764971184e-05,0
2020-03-19,1,0,0,0,1,0,0,7.830117764971185e-06,12771200,,7.830117764971184e-05,0
2020-03-18,1,0,0,0,1,0,0,7.830117764971185e-06,12771200,,7.830117764971184e-05,0
2020-03-17,1,0,0,0,1,0,0,7.830117764971185e-06,12771200,,7.830117764971184e-05,0
2020-03-16,1,0,0,0,1,0,0,7.830117764971185e-06,12771200,,7.830117764971184e-05,0
2020-03-15,1,0,0,0,1,0,0,7.830117764971185e-06,12771200,,7.830117764971184e-05,0
2020-03-14,1,0,0,0,1,0,0,7.830117764971185e-06,12771200,,7.830117764971184e-05,0
2020-03-13,1,,0,0,1,0,0,7.830117764971185e-06,12771200,,7.830117764971184e-05,0

