"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,16,0,3,0,13,18.75,0,0.0011799410029498525,84750,
2020-04-05,16,0,1,0,15,6.25,0,0.0011799410029498525,84750,
2020-04-04,16,0,1,0,15,6.25,0,0.0011799410029498525,84750,
2020-04-03,16,6.666667,1,0,15,6.25,0,0.0011799410029498525,84750,
2020-04-02,15,0,1,0,14,6.666667,0,0.0011061946902654867,90400,
2020-04-01,15,25,1,0,14,6.666667,0,0.0011061946902654867,90400,
2020-03-31,12,0,1,0,11,8.333333,0,0.0008849557522123894,113000,
2020-03-30,12,0,0,0,12,0,0,0.0008849557522123894,113000,
2020-03-29,12,0,0,0,12,0,0,0.0008849557522123894,113000,
2020-03-28,12,0,0,0,12,0,0,0.0008849557522123894,113000,
2020-03-27,12,0,0,0,12,0,0,0.0008849557522123894,113000,
2020-03-26,12,33.333333,0,0,12,0,0,0.0008849557522123894,113000,
2020-03-25,9,0,0,0,9,0,0,0.000663716814159292,150667,
2020-03-24,9,0,0,0,9,0,0,0.000663716814159292,150667,
2020-03-23,9,50,0,0,9,0,0,0.000663716814159292,150667,
2020-03-22,6,0,0,0,6,0,0,0.0004424778761061947,226000,
2020-03-21,6,0,0,0,6,0,0,0.0004424778761061947,226000,
2020-03-20,6,0,0,0,6,0,0,0.0004424778761061947,226000,
2020-03-19,6,50,0,0,6,0,0,0.0004424778761061947,226000,
2020-03-18,4,300,0,0,4,0,0,0.0002949852507374631,339000,
2020-03-17,1,0,0,0,1,0,0,7.374631268436578e-05,1356000,
2020-03-16,1,0,0,0,1,0,0,7.374631268436578e-05,1356000,
2020-03-15,1,,0,0,1,0,0,7.374631268436578e-05,1356000,

