"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,1755,1.152738,269,79,1407,15.327635,4.501425,0.01675657612068554,5968,132576
2020-04-05,1735,3.705918,78,73,1584,4.495677,4.207493,0.016565617988256075,6037,143473
2020-04-04,1673,3.719777,78,68,1527,4.662283,4.064555,0.015973647777724732,6260,154022
2020-04-03,1613,4.468912,78,63,1472,4.83571,3.905766,0.01540077338043634,6493,166246
2020-04-02,1544,9.116608,61,53,1430,3.950777,3.432642,0.014741967823554686,6783,197613
2020-04-01,1415,7.686454,52,50,1313,3.674912,3.533569,0.013510287869384638,7402,209470
2020-03-31,1314,8.415842,52,49,1213,3.957382,3.729072,0.01254594930061584,7971,213745
2020-03-30,1212,4.844291,52,43,1117,4.290429,3.547855,0.01157206282522557,8642,243570
2020-03-29,1156,8.953817,52,38,1066,4.49827,3.287197,0.011037380054423068,9060,275618
2020-03-28,1061,9.834369,52,32,977,4.901037,3.016023,0.01013032892538311,9871,327297
2020-03-27,966,8.295964,52,28,886,5.383023,2.898551,0.009223277796343151,10842,374054
2020-03-26,892,8.64799,36,26,830,4.035874,2.914798,0.008516732706354132,11742,402827
2020-03-25,821,10.497981,36,22,763,4.384896,2.679659,0.007838831336229531,12757,476068
2020-03-24,743,6.906475,29,20,694,3.903096,2.69179,0.007094094619754619,14096,523675
2020-03-23,695,11.378205,29,17,649,4.172662,2.446043,0.006635795101923903,15070,616088
2020-03-22,624,17.735849,19,15,590,3.044872,2.403846,0.005957893731799303,16784,698233
2020-03-21,530,7.070707,19,13,498,3.584906,2.45283,0.0050603905093808185,19761,805654
2020-03-20,495,18.421053,19,6,470,3.838384,1.212121,0.004726213777629255,21159,1745583
2020-03-19,418,0,8,6,404,1.913876,1.435407,0.003991024967775815,25056,1745583
2020-03-18,418,8.010336,8,5,405,1.913876,1.196172,0.003991024967775815,25056,2094700
2020-03-17,387,16.918429,8,5,374,2.067183,1.29199,0.0036950398625101447,27063,2094700
2020-03-16,331,0,8,4,319,2.416918,1.208459,0.003160357091707643,31642,2618375
2020-03-15,331,45.175439,8,4,319,2.416918,1.208459,0.003160357091707643,31642,2618375
2020-03-14,228,20,8,3,217,3.508772,1.315789,0.0021769227096958992,45936,3491167
2020-03-13,190,91.919192,0,1,189,0,0.526316,0.0018141022580799159,55124,10473500
2020-03-12,99,0,0,1,98,0,1.010101,0.000945242755525851,105793,10473500
2020-03-11,99,11.235955,0,1,98,0,1.010101,0.000945242755525851,105793,10473500
2020-03-10,89,21.917808,0,0,89,0,0,0.0008497636893111185,117680,
2020-03-09,73,0,0,0,73,0,0,0.0006969971833675467,143473,
2020-03-08,73,58.695652,0,0,73,0,0,0.0006969971833675467,143473,
2020-03-07,46,2.222222,0,0,46,0,0,0.00043920370458776914,227685,
2020-03-06,45,45.16129,0,0,45,0,0,0.0004296557979662959,232744,
2020-03-05,31,244.444444,0,0,31,0,0,0.0002959851052656705,337855,
2020-03-04,9,28.571429,0,0,9,0,0,8.593115959325918e-05,1163722,
2020-03-03,7,0,0,0,7,0,0,6.68353463503127e-05,1496214,
2020-03-02,7,0,0,0,7,0,0,6.68353463503127e-05,1496214,
2020-03-01,7,75,0,0,7,0,0,6.68353463503127e-05,1496214,
2020-02-29,4,0,0,0,4,0,0,3.819162648589297e-05,2618375,
2020-02-28,4,33.333333,0,0,4,0,0,3.819162648589297e-05,2618375,
2020-02-27,3,200,0,0,3,0,0,2.8643719864419725e-05,3491167,
2020-02-26,1,,0,0,1,0,0,9.547906621473242e-06,10473500,

