"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-20,2245,0.447427,269,116,1860,11.982183,5.167038,0.021435050365207427,4665,90289,0.21435050365207428,0.01107557168090896
2020-04-19,2235,0,269,113,1853,12.035794,5.055928,0.021339571298992697,4686,92686,0.21339571298992696,0.010789134482264763
2020-04-18,2235,0.494604,269,110,1856,12.035794,4.9217,0.021339571298992697,4686,95214,0.21339571298992696,0.010502697283620566
2020-04-17,2224,0.770276,269,108,1847,12.095324,4.856115,0.021234544326156492,4709,96977,0.2123454432615649,0.010311739151191102
2020-04-16,2207,0.684307,269,105,1833,12.188491,4.757589,0.021072229913591443,4746,99748,0.21072229913591445,0.010025301952546905
2020-04-15,2192,1.013825,269,102,1821,12.271898,4.653285,0.020929011314269347,4778,102681,0.20929011314269347,0.009738864753902707
2020-04-14,2170,1.165501,269,101,1800,12.396313,4.654378,0.020718957368596934,4826,103698,0.20718957368596935,0.009643385687687975
2020-04-13,2145,1.466414,269,99,1777,12.540793,4.615385,0.020480259703060104,4883,105793,0.20480259703060105,0.00945242755525851
2020-04-12,2114,1.585776,269,98,1747,12.724693,4.635762,0.020184274597794434,4954,106872,0.20184274597794433,0.009356948489043776
2020-04-11,2081,3.480855,269,93,1719,12.926478,4.469005,0.019869193679285815,5033,112618,0.19869193679285815,0.008879553157970115
2020-04-10,2011,2.86445,269,92,1650,13.37643,4.574838,0.01920084021578269,5208,113842,0.19200840215782689,0.008784074091755382
2020-04-09,1955,3.768577,269,87,1599,13.759591,4.450128,0.018666157444980187,5357,120385,0.1866615744498019,0.00830667876068172
2020-04-08,1884,2.838428,269,83,1532,14.278132,4.40552,0.017988256074855588,5559,126187,0.17988256074855588,0.007924762495822791
2020-04-07,1832,4.387464,269,81,1482,14.683406,4.421397,0.01749176493053898,5717,129302,0.1749176493053898,0.007733804363393326
2020-04-06,1755,1.152738,269,79,1407,15.327635,4.501425,0.01675657612068554,5968,132576,0.1675657612068554,0.0075428462309638615
2020-04-05,1735,3.705918,78,73,1584,4.495677,4.207493,0.016565617988256075,6037,143473,0.16565617988256076,0.0069699718336754665
2020-04-04,1673,3.719777,78,68,1527,4.662283,4.064555,0.015973647777724732,6260,154022,0.15973647777724734,0.006492576502601805
2020-04-03,1613,4.468912,78,63,1472,4.83571,3.905766,0.01540077338043634,6493,166246,0.1540077338043634,0.006015181171528142
2020-04-02,1544,9.116608,61,53,1430,3.950777,3.432642,0.014741967823554686,6783,197613,0.14741967823554686,0.0050603905093808185
2020-04-01,1415,7.686454,52,50,1313,3.674912,3.533569,0.013510287869384638,7402,209470,0.13510287869384638,0.004773953310736621
2020-03-31,1314,8.415842,52,49,1213,3.957382,3.729072,0.01254594930061584,7971,213745,0.1254594930061584,0.004678474244521888
2020-03-30,1212,4.844291,52,43,1117,4.290429,3.547855,0.01157206282522557,8642,243570,0.1157206282522557,0.004105599847233494
2020-03-29,1156,8.953817,52,38,1066,4.49827,3.287197,0.011037380054423068,9060,275618,0.11037380054423068,0.0036282045161598318
2020-03-28,1061,9.834369,52,32,977,4.901037,3.016023,0.01013032892538311,9871,327297,0.1013032892538311,0.0030553301188714376
2020-03-27,966,8.295964,52,28,886,5.383023,2.898551,0.009223277796343151,10842,374054,0.09223277796343152,0.0026734138540125078
2020-03-26,892,8.64799,36,26,830,4.035874,2.914798,0.008516732706354132,11742,402827,0.08516732706354131,0.002482455721583043
2020-03-25,821,10.497981,36,22,763,4.384896,2.679659,0.007838831336229531,12757,476068,0.07838831336229532,0.002100539456724113
2020-03-24,743,6.906475,29,20,694,3.903096,2.69179,0.007094094619754619,14096,523675,0.07094094619754619,0.0019095813242946485
2020-03-23,695,11.378205,29,17,649,4.172662,2.446043,0.006635795101923903,15070,616088,0.06635795101923903,0.0016231441256504512
2020-03-22,624,17.735849,19,15,590,3.044872,2.403846,0.005957893731799303,16784,698233,0.05957893731799303,0.0014321859932209862
2020-03-21,530,7.070707,19,13,498,3.584906,2.45283,0.0050603905093808185,19761,805654,0.05060390509380818,0.0012412278607915215
2020-03-20,495,18.421053,19,6,470,3.838384,1.212121,0.004726213777629255,21159,1745583,0.04726213777629255,0.0005728743972883945
2020-03-19,418,0,8,6,404,1.913876,1.435407,0.003991024967775815,25056,1745583,0.03991024967775815,0.0005728743972883945
2020-03-18,418,8.010336,8,5,405,1.913876,1.196172,0.003991024967775815,25056,2094700,0.03991024967775815,0.0004773953310736621
2020-03-17,387,16.918429,8,5,374,2.067183,1.29199,0.0036950398625101447,27063,2094700,0.036950398625101445,0.0004773953310736621
2020-03-16,331,0,8,4,319,2.416918,1.208459,0.003160357091707643,31642,2618375,0.03160357091707643,0.0003819162648589297
2020-03-15,331,45.175439,8,4,319,2.416918,1.208459,0.003160357091707643,31642,2618375,0.03160357091707643,0.0003819162648589297
2020-03-14,228,20,8,3,217,3.508772,1.315789,0.0021769227096958992,45936,3491167,0.02176922709695899,0.00028643719864419724
2020-03-13,190,91.919192,0,1,189,0,0.526316,0.0018141022580799159,55124,10473500,0.01814102258079916,9.547906621473243e-05
2020-03-12,99,0,0,1,98,0,1.010101,0.000945242755525851,105793,10473500,0.00945242755525851,9.547906621473243e-05
2020-03-11,99,11.235955,0,1,98,0,1.010101,0.000945242755525851,105793,10473500,0.00945242755525851,9.547906621473243e-05
2020-03-10,89,21.917808,0,0,89,0,0,0.0008497636893111185,117680,,0.008497636893111185,0
2020-03-09,73,0,0,0,73,0,0,0.0006969971833675467,143473,,0.0069699718336754665,0
2020-03-08,73,58.695652,0,0,73,0,0,0.0006969971833675467,143473,,0.0069699718336754665,0
