"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-03-15,251174,0.051385,241147,5685,4342,96.0079467,2.2633712,6.081253177735274,16,727,60.81253177735273,1.3764133355930561
2021-03-14,251045,0.223966,240564,5677,4804,95.825051,2.261348,6.078129917923637,16,728,60.78129917923637,1.3744764302835144
2021-03-13,250484,0.329647,240022,5670,4792,95.823286,2.263618,6.064547369440477,16,728,60.645473694404764,1.3727816381376654
2021-03-12,249661,0.3307373,239492,5647,4522,95.9268768,2.2618671,6.044621456068566,17,731,60.44621456068566,1.3672130353727332
2021-03-11,248838,0.313229,238914,5635,4289,96.011863,2.2645255,6.024695542696657,17,733,60.246955426966565,1.3643076774084206
2021-03-10,248061,0.3893176,238455,5625,3981,96.127565,2.267587,6.005883349877733,17,734,60.058833498777325,1.3618865457714935
2021-03-09,247099,0.199101,238121,5621,3357,96.3666385,2.2747967,5.982592063530494,17,735,59.82592063530494,1.3609180931167226
2021-03-08,246608,0.0381317,237645,5609,3354,96.365487,2.27446,5.9707043071931825,17,736,59.70704307193182,1.3580127351524103
2021-03-07,246514,0.160085,237181,5590,3743,96.2140081,2.2676197,5.968428443454471,17,739,59.6842844345447,1.3534125850422487
2021-03-06,246120,0.268066,236765,5585,3770,96.199009,2.269218,5.958889184804978,17,740,59.58889184804978,1.3522020192237851
2021-03-05,245462,0.240942,236283,5570,3609,96.260521,2.2691903,5.942958138633998,17,742,59.429581386339976,1.3485703217683944
2021-03-04,244872,0.273131,235750,5564,3558,96.274788,2.272208,5.928673461976127,17,742,59.286734619761276,1.3471176427862381
2021-03-03,244205,0.3068291,235328,5555,3322,96.364939,2.274728,5.912524513957824,17,744,59.12524513957823,1.344938624313004
2021-03-02,243458,0.162097,235017,5548,2893,96.5328722,2.2788325,5.894438660629978,17,744,58.94438660629978,1.343243832167155
2021-03-01,243064,0.0374527,234635,5537,2892,96.532189,2.278001,5.884899401980486,17,746,58.848994019804856,1.340580587366535
2021-02-28,242973,0.1467333,234234,5526,3213,96.403304,2.274327,5.882696172190882,17,747,58.826961721908816,1.3379173425659152
2021-02-27,242617,0.2147899,233890,5511,3216,96.4029726,2.2714814,5.874076943563422,17,749,58.74076943563421,1.3342856451105245
2021-02-26,242097,0.20903,233548,5503,3046,96.4687708,2.2730558,5.8614870590514005,17,751,58.614870590514,1.332348739800983
2021-02-25,241592,0.225681,233170,5489,2933,96.513957,2.272012,5.849260344284919,17,752,58.49260344284919,1.328959155509285
2021-02-24,241048,0.286237,232892,5477,2679,96.616442,2.272162,5.836089388180035,17,754,58.36089388180035,1.3260537975449724
2021-02-23,240360,0.1429065,232697,5462,2201,96.811866,2.272425,5.819432002517977,17,756,58.19432002517976,1.3224221000895817
2021-02-22,240017,0.030007,232457,5449,2111,96.8502231,2.2702559,5.811127521003317,17,758,58.11127521003317,1.3192746289615767
2021-02-21,239945,0.108476,232145,5429,2371,96.749255,2.262602,5.80938430622473,17,761,58.093843062247295,1.3144323656877224
2021-02-20,239685,0.1801433,231844,5420,2421,96.728623,2.261301,5.803089363968719,17,762,58.030893639687186,1.312253347214488
