"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,24,14.285714,0,1,23,0,4.166667,0.000213085207447328,469296,11263100
2020-04-05,21,5,1,1,19,4.761905,4.761905,0.000186449556516412,536338,11263100
2020-04-04,20,11.111111,1,0,19,5,0,0.00017757100620610666,563155,
2020-04-03,18,12.5,1,0,17,5.555556,0,0.000159813905585496,625728,
2020-04-02,16,0,1,0,15,6.25,0,0.00014205680496488533,703944,
2020-04-01,16,6.666667,1,0,15,6.25,0,0.00014205680496488533,703944,
2020-03-31,15,0,1,0,14,6.666667,0,0.00013317825465458,750873,
2020-03-30,15,0,1,0,14,6.666667,0,0.00013317825465458,750873,
2020-03-29,15,87.5,1,0,14,6.666667,0,0.00013317825465458,750873,
2020-03-28,8,0,0,0,8,0,0,7.102840248244266e-05,1407888,
2020-03-27,8,0,0,0,8,0,0,7.102840248244266e-05,1407888,
2020-03-26,8,0,0,0,8,0,0,7.102840248244266e-05,1407888,
2020-03-25,8,14.285714,0,0,8,0,0,7.102840248244266e-05,1407888,
2020-03-24,7,16.666667,0,0,7,0,0,6.214985217213733e-05,1609014,
2020-03-23,6,200,0,0,6,0,0,5.3271301861832e-05,1877183,
2020-03-22,2,0,0,0,2,0,0,1.7757100620610666e-05,5631550,
2020-03-21,2,0,0,0,2,0,0,1.7757100620610666e-05,5631550,
2020-03-20,2,,0,0,2,0,0,1.7757100620610666e-05,5631550,

