"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-08-01,7468,0.592672,4606,165,2697,61.676486,2.209427,0.06630501371736022,1508,68261,0.6630501371736023,0.014649608012003799
2020-07-31,7424,0.1619,4606,161,2657,62.042026,2.168642,0.06591435750370679,1517,69957,0.6591435750370679,0.014294465999591586
2020-07-30,7412,0.460829,4467,161,2784,60.267134,2.172153,0.06580781489998314,1520,69957,0.6580781489998313,0.014294465999591586
2020-07-29,7378,0.517711,4467,159,2752,60.544863,2.155056,0.06550594418943274,1527,70837,0.6550594418943275,0.01411689499338548
2020-07-28,7340,0,4365,158,2817,59.468665,2.152589,0.06516855927764115,1534,71285,0.6516855927764115,0.014028109490282426
2020-07-27,7340,0.341763,4365,158,2817,59.468665,2.152589,0.06516855927764115,1534,71285,0.6516855927764115,0.014028109490282426
2020-07-26,7315,0.246677,4365,157,2793,59.671907,2.146275,0.06494659551988351,1540,71739,0.6494659551988351,0.013939323987179373
2020-07-25,7297,0.509642,4365,157,2775,59.819104,2.151569,0.06478678161429802,1544,71739,0.6478678161429802,0.013939323987179373
2020-07-24,7260,0.875365,4236,156,2868,58.347107,2.14876,0.06445827525281672,1551,72199,0.6445827525281672,0.01385053848407632
2020-07-23,7197,0.418585,4236,154,2807,58.857857,2.13978,0.06389892658326748,1565,73137,0.6389892658326748,0.013672967477870213
2020-07-22,7167,0.943662,4095,154,2918,57.136877,2.148737,0.06363257007395832,1572,73137,0.6363257007395832,0.013672967477870213
2020-07-21,7100,0.666383,4095,151,2854,57.676056,2.126761,0.06303770720316787,1586,74590,0.6303770720316787,0.013406610968561054
2020-07-20,7053,0,3877,146,3030,54.969517,2.070041,0.06262041533858352,1597,77145,0.6262041533858351,0.012962683453045786
2020-07-19,7053,0,3877,146,3030,54.969517,2.070041,0.06262041533858352,1597,77145,0.6262041533858351,0.012962683453045786
2020-07-18,7053,1.11828,3877,146,3030,54.969517,2.070041,0.06262041533858352,1597,77145,0.6262041533858351,0.012962683453045786
2020-07-17,6975,0.388601,3738,146,3091,53.591398,2.09319,0.0619278884143797,1615,77145,0.619278884143797,0.012962683453045786
2020-07-16,6948,1.71278,3606,145,3197,51.899827,2.086931,0.061688167556001455,1621,77677,0.6168816755600145,0.012873897949942733
2020-07-15,6831,1.546009,3283,143,3405,48.060313,2.093398,0.060649377169695734,1649,78763,0.6064937716969573,0.012696326943736626
2020-07-14,6727,0,3022,141,3564,44.923443,2.096031,0.059726007937423976,1674,79880,0.5972600793742397,0.01251875593753052
2020-07-13,6727,0,3022,141,3564,44.923443,2.096031,0.059726007937423976,1674,79880,0.5972600793742397,0.01251875593753052
2020-07-12,6727,0.553064,2924,139,3664,43.466627,2.0663,0.059726007937423976,1674,81029,0.5972600793742397,0.012341184931324413
2020-07-11,6690,1.103219,2590,139,3961,38.714499,2.077728,0.05939750157594268,1684,81029,0.5939750157594268,0.012341184931324413
2020-07-10,6617,2.019735,2590,135,3892,39.141605,2.040199,0.05874936740329039,1702,83430,0.5874936740329039,0.0119860429189122
2020-07-09,6486,0,2181,123,4182,33.626272,1.896392,0.05758627731264039,1737,91570,0.5758627731264039,0.01092061688167556
2020-07-08,6486,0.839552,2181,123,4182,33.626272,1.896392,0.05758627731264039,1737,91570,0.5758627731264039,0.01092061688167556
2020-07-07,6432,0.957464,2080,117,4235,32.338308,1.81903,0.057106835595883906,1751,96266,0.571068355958839,0.010387903863057239
2020-07-06,6371,0.600032,1824,113,4434,28.629728,1.773662,0.05656524402695528,1768,99673,0.5656524402695527,0.010032761850645026
2020-07-05,6333,0.619638,1549,113,4671,24.459182,1.784304,0.056227859115163675,1778,99673,0.5622785911516367,0.010032761850645026
2020-07-04,6294,1.027287,1408,113,4773,22.370512,1.795361,0.05588159565306177,1789,99673,0.5588159565306177,0.010032761850645026
2020-07-03,6230,2.114407,1286,110,4834,20.642055,1.76565,0.055313368433202226,1808,102392,0.5531336843320223,0.009766405341335866
2020-07-02,6101,1.009934,1141,110,4850,18.701852,1.802983,0.05416803544317284,1846,102392,0.5416803544317284,0.009766405341335866
2020-07-01,6040,1.087866,1032,107,4901,17.086093,1.771523,0.053626443874244215,1865,105263,0.5362644387424421,0.009500048832026707
2020-06-30,5975,0.707905,931,105,4939,15.58159,1.757322,0.05304933810407437,1885,107268,0.5304933810407436,0.0093224778258206
2020-06-29,5933,2.700364,839,105,4989,14.141244,1.769762,0.05267643899104154,1898,107268,0.5267643899104154,0.0093224778258206
2020-06-28,5777,0,706,100,4971,12.220876,1.731002,0.051291385142633913,1950,112631,0.512913851426339,0.008878550310305332
2020-06-27,5777,0.961202,706,100,4971,12.220876,1.731002,0.051291385142633913,1950,112631,0.512913851426339,0.008878550310305332
2020-06-26,5722,3.229298,641,98,4983,11.202377,1.712688,0.05080306487556712,1968,114930,0.5080306487556712,0.008700979304099226
2020-06-25,5543,2.099834,512,96,4935,9.236875,1.731914,0.049213804370022464,2032,117324,0.4921380437002246,0.00852340829789312
2020-06-24,5429,1.972201,512,92,4825,9.430834,1.694603,0.04820164963464765,2075,122425,0.48201649634647653,0.008168266285480907
2020-06-23,5324,2.16849,436,89,4799,8.189331,1.671675,0.047269401852065594,2116,126552,0.47269401852065596,0.007901909776171747
2020-06-22,5211,2.639354,24,88,5099,0.460564,1.688735,0.04626612566700109,2161,127990,0.4626612566700109,0.007813124273068694
2020-06-21,5077,0,24,88,4965,0.47272,1.733307,0.045076399925420174,2218,127990,0.45076399925420174,0.007813124273068694
2020-06-20,5077,1.947791,24,88,4965,0.47272,1.733307,0.045076399925420174,2218,127990,0.45076399925420174,0.007813124273068694
2020-06-19,4980,1.301871,24,87,4869,0.481928,1.746988,0.04421518054532056,2262,129461,0.4421518054532056,0.00772433876996564
2020-06-18,4916,4.863481,24,84,4808,0.488202,1.708706,0.04364695332546102,2291,134085,0.4364695332546102,0.00745798226065648
2020-06-17,4688,3.100946,24,82,4582,0.511945,1.749147,0.0416226438547114,2403,137355,0.416226438547114,0.007280411254450373
2020-06-16,4547,2.38685,24,80,4443,0.527821,1.759402,0.040370768260958353,2477,140789,0.4037076826095835,0.007102840248244266
2020-06-15,4441,6.626651,24,76,4341,0.540419,1.711326,0.03942964192806599,2536,148199,0.39429641928065984,0.006747698235832053
2020-06-14,4165,0,24,70,4071,0.57623,1.680672,0.036979162042421715,2704,160901,0.36979162042421715,0.006214985217213733
2020-06-13,4165,5.683837,24,70,4071,0.57623,1.680672,0.036979162042421715,2704,160901,0.36979162042421715,0.006214985217213733
