"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,744,1.500682,67,38,639,9.005376,5.107527,0.0076822204095119105,13017,254861
2020-04-05,733,8.112094,66,34,633,9.004093,4.638472,0.0075686391937798796,13212,284844
2020-04-04,678,8.82825,58,32,588,8.554572,4.719764,0.007000733115119725,14284,302647
2020-04-03,623,6.495726,43,26,554,6.902087,4.173355,0.00643282703645957,15545,372488
2020-04-02,585,11.428571,42,21,522,7.179487,3.589744,0.0060404555639307364,16555,461176
2020-04-01,525,6.707317,40,20,465,7.619048,3.809524,0.00542092165993784,18447,484235
2020-03-31,492,10.067114,37,16,439,7.520325,3.252033,0.005080178012741747,19684,605294
2020-03-30,447,9.558824,34,15,398,7.606264,3.355705,0.004615527584747075,21666,645647
2020-03-29,408,18.950437,34,13,361,8.333333,3.186275,0.004212830547151693,23737,744977
2020-03-28,343,14.333333,34,11,298,9.912536,3.206997,0.0035416688178260556,28235,880427
2020-03-27,300,14.942529,34,10,256,11.333333,3.333333,0.0030976695199644803,32282,968470
2020-03-26,261,15.486726,28,10,223,10.727969,3.831418,0.0026949724823690977,37106,968470
2020-03-25,226,20.855615,21,10,195,9.292035,4.424779,0.0023335777050399083,42853,968470
2020-03-24,187,11.976048,21,9,157,11.229947,4.812834,0.001930880667444526,51790,1076078
2020-03-23,167,27.480916,16,7,144,9.580838,4.191617,0.0017243693661135606,57992,1383529
2020-03-22,131,27.184466,16,6,109,12.21374,4.580153,0.0013526490237178229,73929,1614117
2020-03-21,103,21.176471,7,4,92,6.796117,3.883495,0.0010635332018544715,94026,2421175
2020-03-20,85,16.438356,2,3,80,2.352941,3.529412,0.0008776730306566027,113938,3228233
2020-03-19,73,25.862069,2,1,70,2.739726,1.369863,0.0007537662498580235,132667,9684700
2020-03-18,58,16,2,1,55,3.448276,1.724138,0.0005988827738597995,166978,9684700
2020-03-17,50,28.205128,2,1,47,4,2,0.0005162782533274133,193694,9684700
2020-03-16,39,21.875,1,1,37,2.564103,2.564103,0.0004026970375953824,248326,9684700
2020-03-15,32,6.666667,1,1,30,3.125,3.125,0.00033041808212954456,302647,9684700
2020-03-14,30,57.894737,1,0,29,3.333333,0,0.000309766951996448,322823,
2020-03-13,19,46.153846,0,0,19,0,0,0.00019618573626441706,509721,
2020-03-12,13,0,0,0,13,0,0,0.00013423234586512747,744977,
2020-03-11,13,44.444444,0,0,13,0,0,0.00013423234586512747,744977,
2020-03-10,9,0,0,0,9,0,0,9.29300855989344e-05,1076078,
2020-03-09,9,28.571429,0,0,9,0,0,9.29300855989344e-05,1076078,
2020-03-08,7,75,0,0,7,0,0,7.227895546583787e-05,1383529,
2020-03-07,4,100,0,0,4,0,0,4.130226026619307e-05,2421175,
2020-03-06,2,0,0,0,2,0,0,2.0651130133096535e-05,4842350,
2020-03-05,2,0,0,0,2,0,0,2.0651130133096535e-05,4842350,
2020-03-04,2,,0,0,2,0,0,2.0651130133096535e-05,4842350,

