"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-23,17607,5.61454,9233,794,7580,52.439371,4.50957,0.36061443932411674,277,6149,3.6061443932411676,0.1626216077828981
2020-04-22,16671,3.933915,9233,769,6669,55.3836,4.612801,0.34144393241167437,293,6349,3.4144393241167434,0.15750128008192524
2020-04-21,16040,2.478916,9233,730,6077,57.562344,4.551122,0.3285202252944188,304,6688,3.285202252944188,0.14951356886840758
2020-04-20,15652,2.629336,77,687,14888,0.49195,4.389215,0.32057347670250896,312,7107,3.2057347670250897,0.14070660522273426
2020-04-19,15251,3.340561,77,610,14564,0.504885,3.999738,0.31236047107014847,320,8004,3.123604710701485,0.12493599590373784
2020-04-18,14758,5.565093,77,571,14110,0.521751,3.869088,0.30226318484383,331,8551,3.0226318484383,0.11694828469022017
2020-04-17,13980,5.342476,77,530,13373,0.550787,3.79113,0.28632872503840245,349,9212,2.8632872503840248,0.10855094726062468
2020-04-16,13271,5.770304,77,486,12708,0.580212,3.66212,0.27180747567844343,368,10046,2.7180747567844343,0.09953917050691244
2020-04-15,12547,9.303946,77,444,12026,0.613693,3.538695,0.25697900665642603,389,10997,2.56979006656426,0.09093701996927804
2020-04-14,11479,7.814408,25,406,11048,0.217789,3.536893,0.23510496671786996,425,12026,2.3510496671786996,0.08315412186379928
2020-04-13,10647,10.274469,25,365,10257,0.234808,3.428196,0.21806451612903227,459,13377,2.1806451612903226,0.07475678443420379
2020-04-12,9655,8.142921,25,334,9296,0.258933,3.459347,0.19774705581157195,506,14618,1.9774705581157195,0.06840757808499744
2020-04-11,8928,10.37211,25,320,8583,0.280018,3.584229,0.18285714285714286,547,15258,1.8285714285714285,0.06554019457245264
2020-04-10,8089,23.04533,25,287,7777,0.309062,3.548028,0.16567332309267793,604,17012,1.6567332309267793,0.05878136200716846
2020-04-09,6574,8.231808,25,263,6286,0.380286,4.000608,0.13464413722478238,743,18565,1.346441372247824,0.05386584741423451
2020-04-08,6074,6.393414,25,235,5814,0.41159,3.86895,0.12440348182283666,804,20777,1.2440348182283667,0.048131080389144903
2020-04-07,5709,6.431767,25,210,5474,0.437905,3.678403,0.11692780337941629,855,23250,1.1692780337941628,0.043010752688172046
2020-04-06,5364,7.408891,25,174,5165,0.46607,3.243848,0.10986175115207374,910,28060,1.0986175115207373,0.035637480798771125
2020-04-05,4994,8.470895,25,158,4811,0.500601,3.163797,0.1022836661546339,978,30902,1.022836661546339,0.03236047107014849
2020-04-04,4604,7.746314,25,137,4442,0.543006,2.975673,0.09429595494111623,1060,35639,0.9429595494111623,0.028059395801331287
2020-04-03,4273,11.015848,5,120,4148,0.117014,2.808331,0.08751664106502816,1143,40688,0.8751664106502817,0.02457757296466974
2020-04-02,3849,11.662315,5,98,3746,0.129904,2.546116,0.07883256528417819,1269,49821,0.7883256528417819,0.02007168458781362
2020-04-01,3447,6.553323,5,85,3357,0.145054,2.465912,0.07059907834101382,1416,57441,0.7059907834101382,0.017409114183307733
2020-03-31,3235,11.168385,5,71,3159,0.15456,2.194745,0.06625704045058883,1509,68768,0.6625704045058883,0.014541730670762929
2020-03-30,2910,11.281071,5,54,2851,0.171821,1.85567,0.059600614439324115,1678,90417,0.5960061443932412,0.011059907834101382
2020-03-29,2615,8.281573,5,46,2564,0.191205,1.759082,0.05355862775217614,1867,106141,0.5355862775217614,0.009421402969790067
2020-03-28,2415,13.861386,5,36,2374,0.207039,1.490683,0.04946236559139785,2022,135625,0.4946236559139785,0.007373271889400922
2020-03-27,2121,16.602529,5,22,2094,0.235738,1.037247,0.043440860215053764,2302,221932,0.4344086021505376,0.004505888376856119
