"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-06-23,22681,2.707965,16311,311,6059,71.914819,1.371192,0.2662276686151607,376,27394,2.662276686151607,0.03650491818672676
2020-06-22,22083,2.184073,16203,310,5570,73.373183,1.403795,0.25920839495739134,386,27482,2.592083949573914,0.03638753902857009
2020-06-21,21611,0.905822,16133,309,5169,74.651798,1.429827,0.2536680986923962,394,27571,2.5366809869239617,0.03627015987041341
2020-06-20,21417,1.917769,16023,308,5086,74.8144,1.43811,0.25139094302415665,398,27660,2.5139094302415663,0.036152780712256735
2020-06-19,21014,1.83175,16023,307,4684,76.249167,1.460931,0.24666056295044253,405,27750,2.4666056295044254,0.03603540155410005
2020-06-18,20636,1.465237,15933,306,4397,77.209731,1.482846,0.2422236307721201,413,27841,2.4222363077212012,0.035918022395943376
2020-06-17,20338,1.64426,15874,306,4158,78.050939,1.504573,0.2387257318590511,419,27841,2.3872573185905113,0.035918022395943376
2020-06-16,20009,1.352447,15864,305,3840,79.284322,1.524314,0.23486395755569642,426,27932,2.3486395755569642,0.0358006432377867
2020-06-15,19742,0.997596,15830,305,3607,80.184378,1.54493,0.23172993403291312,432,27932,2.3172993403291313,0.0358006432377867
2020-06-14,19547,0.441909,15790,303,3454,80.779659,1.55011,0.2294410404488579,436,28117,2.294410404488579,0.03556588492147335
2020-06-13,19461,0.917859,15772,303,3386,81.04414,1.55696,0.22843157968871047,438,28117,2.2843157968871046,0.03556588492147335
2020-06-12,19284,1.196474,15702,303,3279,81.425016,1.571251,0.2263539685893373,442,28117,2.263539685893373,0.03556588492147335
2020-06-11,19056,1.146497,15660,303,3093,82.178841,1.59005,0.22367772378336503,447,28117,2.2367772378336506,0.03556588492147335
2020-06-10,18840,0.95922,15578,302,2960,82.685775,1.602972,0.22114233396718078,452,28210,2.211423339671808,0.035448505763316665
2020-06-09,18661,0.843015,15563,302,2796,83.398532,1.618348,0.21904124703617625,457,28210,2.1904124703617627,0.035448505763316665
2020-06-08,18505,0.927188,15506,301,2698,83.793569,1.626587,0.2172101321689321,460,28304,2.172101321689321,0.03533112660515999
2020-06-07,18335,0.653272,15494,301,2540,84.505045,1.641669,0.21521468648026856,465,28304,2.1521468648026856,0.03533112660515999
2020-06-06,18216,1.054033,15442,298,2476,84.771629,1.635924,0.2138178744982041,468,28589,2.1381787449820413,0.034978989130689954
2020-06-05,18026,0.373072,15403,294,2329,85.448796,1.630977,0.21158767049322721,473,28978,2.115876704932272,0.03450947249806324
2020-06-04,17959,0.700908,15390,294,2275,85.695195,1.637062,0.2108012301335775,474,28978,2.108012301335775,0.03450947249806324
2020-06-03,17834,0.552548,15355,294,2185,86.099585,1.648537,0.209333990656619,478,28978,2.0933399065661904,0.03450947249806324
2020-06-02,17736,0.66977,15312,293,2131,86.332882,1.652007,0.20818367490668357,480,29076,2.0818367490668357,0.03439209333990657
2020-06-01,17618,0.565101,15250,288,2080,86.559201,1.634692,0.20679860084043478,484,29581,2.0679860084043478,0.03380519754912318
2020-05-31,17519,0.343662,15184,288,2047,86.671614,1.643929,0.20563654717468366,486,29581,2.0563654717468367,0.03380519754912318
2020-05-30,17459,0.149142,15179,287,1993,86.940833,1.643851,0.2049322722257436,488,29684,2.049322722257436,0.033687818390966504
2020-05-29,17433,0.664049,15144,287,2002,86.86973,1.646303,0.20462708641453622,489,29684,2.0462708641453626,0.033687818390966504
2020-05-28,17318,0.528241,15047,287,1984,86.886476,1.657235,0.20327722609573445,492,29684,2.0327722609573446,0.033687818390966504
2020-05-27,17227,0.238566,14935,284,2008,86.695304,1.648575,0.20220907575650868,495,29998,2.022090757565087,0.03333568091649647
2020-05-26,17186,0.169027,14822,284,2080,86.244618,1.652508,0.2017278212080663,496,29998,2.017278212080663,0.03333568091649647
2020-05-25,17157,0.099183,14664,284,2209,85.469488,1.655301,0.20138742164941192,497,29998,2.0138742164941195,0.03333568091649647
2020-05-24,17140,0.02918,14510,282,2348,84.655776,1.645274,0.20118787708054559,497,30211,2.0118787708054557,0.03310092260018311
2020-05-23,17135,0.128557,14438,282,2415,84.260286,1.645754,0.20112918750146724,497,30211,2.0112918750146727,0.03310092260018311
2020-05-22,17113,0.040921,14261,281,2571,83.334307,1.642027,0.20087095335352254,498,30318,2.0087095335352254,0.03298354344202643
2020-05-21,17106,0.240258,14070,281,2755,82.251841,1.642698,0.20078878794281288,498,30318,2.0078878794281287,0.03298354344202643
2020-05-20,17065,0.087977,13850,281,2934,81.16027,1.646645,0.2003075333943705,499,30318,2.003075333943705,0.03298354344202643
2020-05-19,17050,0.111561,13781,280,2989,80.826979,1.642229,0.20013146465713547,500,30426,2.001314646571355,0.03286616428386976
2020-05-18,17031,0.19414,13590,278,3163,79.795667,1.632318,0.19990844425663779,500,30645,1.999084442566378,0.032631405967556405
2020-05-17,16998,0.082431,13277,274,3447,78.109189,1.611954,0.19952109303472076,501,31093,1.9952109303472076,0.032161889334929694
2020-05-16,16984,0.117897,13184,270,3530,77.626001,1.589732,0.1993567622133014,502,31553,1.993567622133014,0.03169237270230298
2020-05-15,16964,0.058983,12902,268,3794,76.055176,1.579816,0.19912200389698806,502,31789,1.9912200389698806,0.031457614385989624
2020-05-14,16954,0.183183,12831,267,3856,75.681255,1.57485,0.19900462473883138,503,31908,1.9900462473883138,0.03134023522783295
2020-05-13,16923,0.112399,12542,266,4115,74.112155,1.571825,0.19864074934854567,503,32028,1.9864074934854568,0.03122285606967627
2020-05-12,16904,0.136248,12391,262,4251,73.302177,1.549929,0.198417728948048,504,32517,1.9841772894804799,0.030753339437049557
