"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-01-01,10286709,0.19514596,9883461,148994,254254,96.07991244,1.448412704,0.7528231116427201,133,9171,7.528231116427201,0.10903985589180702
2020-12-31,10266674,0,9860280,148738,257656,96.04161971,1.44874572,0.7513568690337611,133,9187,7.513568690337611,0.10885250470244166
2020-12-30,10266674,0.21300454,9860280,148738,257656,96.04161971,1.44874572,0.7513568690337611,133,9187,7.513568690337611,0.10885250470244166
2020-12-29,10244852,0.200981915,9834141,148439,262272,95.99104994,1.44891307,0.7497598465125381,133,9205,7.497598465125381,0.10863368436798759
2020-12-28,10224303,0.160973821,9807569,148153,268581,95.924084018,1.44902787,0.7482559872975894,134,9223,7.4825598729758935,0.10842437796111848
2020-12-27,10207871,0.1965184,9782669,147901,277301,95.834567267,1.448891742,0.7470534268508504,134,9239,7.470534268508504,0.10823995413408695
2020-12-26,10187850,0.18420477,9761538,147622,278690,95.815486,1.4490005,0.7455882088187084,134,9256,7.455882088187082,0.10803577061130204
2020-12-25,10169118,0.21950665,9740108,147343,281667,95.78124671,1.44892605,0.7442173250377739,134,9274,7.442173250377739,0.10783158708851714
2020-12-24,10146845,0.22784972,9717834,147092,281919,95.77197641,1.44963287,0.742587296506237,135,9290,7.42587296506237,0.10764789510206907
2020-12-23,10123778,0.2446959,9693173,146756,283849,95.7465978,1.44961693,0.7408991598323734,135,9311,7.408991598323733,0.10740199666602704
2020-12-22,10099066,0.23771438,9663382,146444,289240,95.68589808,1.45007469,0.7390906353825308,135,9331,7.390906353825309,0.107173662403988
2020-12-21,10075116,0.1944795,9636487,146111,292518,95.64641241,1.45021655,0.7373378771851479,136,9352,7.3733787718514785,0.10692995948969634
2020-12-20,10055560,0.242612491,9606111,145810,303639,95.5303434,1.4500436,0.7359066897401366,136,9371,7.359066897401366,0.10670967547407535
2020-12-19,10031223,0.266117613,9580402,145477,305344,95.505822171,1.45024191,0.7341256093121737,136,9393,7.341256093121737,0.10646597255978368
2020-12-18,10004599,0.25203801,9550712,145136,308751,95.463216467,1.450692826,0.732177156942774,137,9415,7.32177156942774,0.10621641492082436
2020-12-17,9979447,0.22989875,9520827,144789,313831,95.4043546,1.45087198,0.7303364315072594,137,9437,7.303364315072593,0.10596246623836428
2020-12-16,9956557,0.24173055,9489740,144451,322366,95.3114616,1.45081277,0.728661248411723,137,9459,7.28661248411723,0.10571510412115533
2020-12-15,9932547,0.266319,9456449,144096,332002,95.20668767,1.45074572,0.7269040991708392,138,9483,7.269040991708392,0.10545530071402757
2020-12-14,9906165,0.223237,9422636,143709,339820,95.11890828,1.4507027,0.7249733573435592,138,9508,7.249733573435591,0.10517207840822916
2020-12-13,9884100,0.27463651,9388159,143355,352586,94.982436,1.45036,0.7233585510961581,138,9532,7.233585510961581,0.10491300684168488
2020-12-12,9857029,0.307873,9357464,143019,356546,94.93189074,1.45093415,0.7213773854526778,139,9554,7.213773854526778,0.10466710840564283
2020-12-11,9826775,0.30654062,9324328,142628,359819,94.8869594,1.4514223,0.7191632749514826,139,9580,7.1916327495148265,0.10438095873751059
2020-12-10,9796744,0.30072575,9290809,142185,363750,94.83568214,1.45134955,0.7169654844952986,139,9610,7.169654844952985,0.1040567533590385
2020-12-09,9767371,0.3237622,9253306,141772,372293,94.73691539,1.45148577,0.7148158491495061,140,9638,7.148158491495061,0.10375450319807016
2020-12-08,9735850,0.3305932,9215581,141360,378909,94.6561523,1.4519533,0.7125090144463867,140,9666,7.125090144463868,0.10345298487768528
2020-12-07,9703770,0.2745318,9178946,140958,383866,94.591545,1.4526107,0.7101612698546521,141,9694,7.10161269854652,0.10315878496313499
2020-12-06,9677203,0.34197678,9139901,140573,396729,94.4477552,1.45262014,0.708216988976578,141,9720,7.08216988976578,0.10287702633850349
2020-12-05,9644222,0.37479402,9100792,140182,403248,94.36522718,1.4535335,0.7058033055482738,142,9747,7.0580330554827375,0.10259087667037124
2020-12-04,9608211,0.38292613,9058822,139700,409689,94.28208852,1.45396474,0.7031678744231815,142,9781,7.031678744231815,0.10223812950914427
2020-12-03,9571559,0.38379799,9016289,139188,416082,94.19875069,1.45418317,0.7004855323166896,143,9817,7.004855323166897,0.10186342713041355
2020-12-02,9534964,0.37424418,8973373,138648,422943,94.11019276,1.45410093,0.6978073617015235,143,9855,6.978073617015235,0.101468233215346
2020-12-01,9499413,0.3868196,8932647,138122,428644,94.03367345,1.45400563,0.6952055952432704,144,9893,6.952055952432704,0.10108328506844685
2020-11-30,9462809,0.32993023,8889585,137621,435603,93.94234841,1.4543356,0.6925267659715791,144,9929,6.925267659715791,0.10071663293613417
2020-11-29,9431691,0.41277903,8847600,137139,446952,93.80714445,1.45402346,0.6902494244439732,145,9964,6.9024942444397315,0.10036388577490721
2020-11-28,9392919,0.44711274,8802267,136696,453956,93.71173115,1.45530905,0.687411932133788,145,9996,6.87411932133788,0.10003968039643511
2020-11-27,9351109,0.44385548,8759969,136200,454940,93.67839686,1.45651174,0.6843521066543483,146,10032,6.843521066543483,0.09967668746703973
2020-11-26,9309787,0.46491175,8718517,135715,455555,93.6489417,1.45776697,0.6813279949953813,147,10068,6.813279949953813,0.09932174478406239
2020-11-25,9266705,0.48241117,8679138,135223,452344,93.65937515,1.45923497,0.6781750793937257,147,10105,6.781750793937257,0.09896167921700083
2020-11-24,9222216,0.483512,8642771,134699,444746,93.71685721,1.46059255,0.6749191938219774,148,10144,6.7491919382197745,0.09857819475126861
2020-11-23,9177840,0.4154875,8604955,134218,438667,93.7579539,1.462414,0.6716715780488223,149,10181,6.716715780488222,0.0982261794306251
2020-11-22,9139865,0.48438808,8562641,133738,443486,93.68454567,1.46323824,0.6688924134331389,150,10217,6.688924134331388,0.09787489595056505
2020-11-21,9095806,0.49951401,8521617,133227,440962,93.68732139,1.46470802,0.6656679970064793,150,10256,6.6566799700647925,0.09750092541241778
2020-11-20,9050597,0.51343987,8478124,132726,439747,93.67474875,1.4664889,0.662359418912722,151,10295,6.62359418912722,0.0971342732801051
2020-11-19,9004365,0.5121626,8428409,132162,443794,93.60359115,1.4677548,0.658975973527277,152,10339,6.589759735272769,0.09672151519103454
2020-11-18,8958483,0.5113483,8383602,131578,443303,93.58283093,1.46875314,0.6556181425622529,153,10385,6.556181425622529,0.09629412029029481
2020-11-17,8912907,0.4436335,8335109,130993,446805,93.51728903,1.46970007,0.6522827059190828,153,10431,6.522827059190827,0.09586599354897161
2020-11-16,8873541,0.32123903,8289073,130503,453965,93.41336226,1.47069811,0.6494017422782402,154,10470,6.494017422782402,0.09550739166307698
2020-11-15,8845127,0.34656221,8249579,130070,465478,93.2669367,1.47052722,0.6473222904444014,154,10505,6.473222904444014,0.09519050469043948
2020-11-14,8814579,0.46845727,8205728,129635,479216,93.09268202,1.4706885,0.6450866638300525,155,10541,6.450866638300526,0.09487215403663506
2020-11-13,8773479,0.51191487,8163572,129188,480719,93.04828791,1.47248315,0.6420787990320383,156,10577,6.420787990320384,0.09454502129582913
2020-11-12,8728795,0.51680601,8115580,128668,484547,92.97480351,1.47406372,0.6388086425689127,157,10620,6.388086425689126,0.09416446419243074
2020-11-11,8683916,0.55471212,8066501,128121,489294,92.8901316,1.47538277,0.6355242152144095,157,10665,6.355242152144095,0.09376414739327897
2020-11-10,8636011,0.515391,8013783,127571,494657,92.79496054,1.47719821,0.6320183328993518,158,10711,6.320183328993519,0.09336163507237684
2020-11-09,8591730,0.4451079,7959406,127059,505265,92.6403181,1.4788523,0.6287776696117395,159,10754,6.287776696117395,0.09298693269364611
2020-11-08,8553657,0.5395431,7917373,126611,509673,92.56126356,1.4801973,0.6259913329583382,160,10792,6.259913329583382,0.09265906811225673
2020-11-07,8507754,0.5397491,7868968,126121,512665,92.49171991,1.48242415,0.6226319651280889,161,10834,6.226319651280889,0.0923004662263621
2020-11-06,8462080,0.59864066,7819886,125562,516632,92.4109202,1.4838196,0.6192893564472008,161,10882,6.1928935644720084,0.09189136734020882
2020-11-05,8411724,0.56955416,7765966,124985,520773,92.32311949,1.48584285,0.6156041000051375,162,10933,6.156041000051375,0.09146909532355331
2020-11-04,8364086,0.6039301,7711809,124315,527962,92.20145513,1.4862951,0.6121177578336582,163,10992,6.121177578336582,0.09097876213263614
2020-11-03,8313876,0.55944738,7656478,123611,533787,92.09276155,1.48680351,0.6084431862641133,164,11054,6.084431862641133,0.0904635463618814
2020-11-02,8267623,0.46553096,7603121,123097,541405,91.96259917,1.4889044,0.605058204013443,165,11100,6.05058204013443,0.09008738030198377
2020-11-01,8229313,0.55267042,7544798,122607,561908,91.68199095,1.48988135,0.6022545227382138,166,11145,6.022545227382137,0.08972877841608913
2020-10-31,8184082,0.5771453,7491513,122111,570458,91.53760923,1.49205494,0.5989443345951728,167,11190,5.989443345951728,0.08936578548669374
2020-10-30,8137119,0.59672258,7432829,121641,582649,91.34472533,1.49489027,0.595507391663077,168,11233,5.95507391663077,0.08902182041246828
2020-10-29,8088851,0.60505935,7373375,121090,594386,91.15478824,1.49699877,0.5919749435348398,169,11284,5.919749435348398,0.08861857625098267
2020-10-28,8040203,0.62426771,7315989,120527,603687,90.99259061,1.49905419,0.5884146854644312,170,11337,5.884146854644311,0.08820655000249557
2020-10-27,7990322,0.55236132,7259509,120010,610803,90.85377285,1.50194197,0.5847641914500821,171,11386,5.847641914500821,0.08782818842084755
2020-10-26,7946429,0.46106434,7201070,119502,625857,90.62020185,1.50384531,0.5815519235771079,172,11434,5.815519235771079,0.08745641340445066
2020-10-25,7909959,0.57405067,7137228,119014,653717,90.23091017,1.50460957,0.578882900969235,173,11481,5.78882900969235,0.08709927519972295
2020-10-24,7864811,0.64147204,7078123,118534,668154,89.99736929,1.50714366,0.5755787871030369,174,11528,5.7557878710303685,0.0867479917196629
2020-10-23,7814682,0.6876415,7016046,117956,680680,89.78031352,1.50941523,0.571910143442218,175,11584,5.71910143442218,0.08632498786242392
2020-10-22,7761312,0.705416,6948497,117306,695509,89.52735053,1.5114197,0.5680043102483003,176,11648,5.680043102483003,0.08584929148317594
2020-10-21,7706946,0.72981596,6874518,116616,715812,89.19899011,1.51312855,0.5640255857322701,177,11717,5.6402558573227015,0.08534432148058961
2020-10-20,7651107,0.71138017,6795103,115914,740090,88.81202419,1.51499646,0.5599390610982966,179,11788,5.599390610982965,0.08483056939100178
2020-10-19,7597063,0.61971269,6733328,115197,748538,88.630672,1.51633598,0.5559839018490538,180,11862,5.559839018490537,0.08430583969266207
2020-10-18,7550273,0.74350018,6663608,114610,772055,88.25651735,1.51795836,0.5525596197590518,181,11922,5.5255961975905175,0.08387624927017198
2020-10-17,7494551,0.8324185,6597209,114031,783311,88.02674103,1.52151877,0.5484816576599046,182,11983,5.484816576599046,0.08345251357234953
2020-10-16,7432680,0.84407123,6524595,112998,795087,87.782536,1.520286,0.5439536867859889,184,12092,5.439536867859888,0.08269652224963697
