"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-06-16,22700,6.497772,9862,712,12126,43.444934,3.136564,0.057746414380129125,1732,55210,0.5774641438012912,0.01811253173508896
2020-06-15,21315,5.472809,9271,652,11392,43.495191,3.058879,0.054223119934469266,1844,60291,0.5422311993446927,0.01658619479112079
2020-06-14,20209,6.643799,8121,607,11481,40.185066,3.003612,0.0514095721677546,1945,64761,0.514095721677546,0.01544144208314466
2020-06-13,18950,6.640405,7515,549,10886,39.656992,2.897098,0.04820680848032806,2074,71603,0.48206808480328056,0.013965983037308762
2020-06-12,17770,6.566717,6868,496,10406,38.649409,2.791221,0.04520501249052399,2212,79254,0.4520501249052399,0.012617718736803544
2020-06-11,16675,8.180875,6568,457,9650,39.388306,2.74063,0.04241944756778208,2357,86017,0.42419447567782076,0.011625599723224233
2020-06-10,15414,8.03196,6214,426,8774,40.314,2.763721,0.039211596090542304,2550,92277,0.39211596090542306,0.010836992302174012
2020-06-09,14268,5.837846,5831,392,8045,40.867676,2.747407,0.0362962925275631,2755,100280,0.362962925275631,0.009972068033925382
2020-06-08,13481,9.016659,5572,370,7539,41.332245,2.744604,0.03429424723605819,2916,106243,0.34294247236058184,0.009412411154470385
2020-06-07,12366,11.425482,5186,346,6834,41.937571,2.797995,0.031457804415184,3179,113612,0.31457804415184,0.008801876376883117
2020-06-06,11098,12.715824,4904,318,5876,44.188142,2.865381,0.02823214567359793,3542,123616,0.2823214567359793,0.008089585803031304
2020-06-05,9846,11.38009,4573,285,4988,46.445257,2.894576,0.025047189250517684,3992,137929,0.2504718925051768,0.007250100483848811
2020-06-04,8840,8.227228,4338,271,4231,49.072398,3.065611,0.022488030974464383,4447,145055,0.22488030974464382,0.006893955196922904
2020-06-03,8168,10.572628,4095,256,3817,50.134672,3.134182,0.020778533597220032,4813,153554,0.2077853359722003,0.006512370960930862
2020-06-02,7387,7.556785,3508,235,3644,47.488832,3.181264,0.018791751675154796,5321,167276,0.18791751675154794,0.005978153030542002
2020-06-01,6868,6.662525,3275,215,3378,47.684916,3.13046,0.017471470218622328,5724,182836,0.17471470218622326,0.005469374049219278
2020-05-31,6439,4.207801,3156,205,3078,49.013822,3.183724,0.016380139303685086,6105,191755,0.16380139303685085,0.005214984558557917
2020-05-30,6179,5.210284,3110,195,2874,50.331769,3.15585,0.015718726627965546,6362,201589,0.15718726627965543,0.004960595067896555
2020-05-29,5873,7.623236,3044,185,2644,51.83041,3.150009,0.014940294786541778,6693,212485,0.14940294786541777,0.004706205577235193
2020-05-28,5457,6.270691,2971,179,2307,54.443834,3.280191,0.013882034505390514,7204,219608,0.13882034505390511,0.0045535718828383755
2020-05-27,5135,5.919967,2904,175,2056,56.553067,3.407984,0.013062900345460928,7655,224627,0.13062900345460926,0.004451816086573831
2020-05-26,4848,4.663212,2852,169,1827,58.828383,3.485974,0.01233280250726282,8108,232602,0.12332802507262819,0.004299182392177014
2020-05-25,4632,3.647348,2811,163,1658,60.686528,3.518998,0.01178332120743428,8487,241164,0.11783321207434277,0.004146548697780197
2020-05-24,4469,4.611423,2738,160,1571,61.266503,3.580219,0.011368666337656258,8796,245686,0.11368666337656258,0.004070231850581789
2020-05-23,4272,7.769929,2585,152,1535,60.5103,3.558052,0.010867519041053377,9202,258617,0.10867519041053375,0.003866720258052699
2020-05-22,3964,2.244003,2532,147,1285,63.874874,3.708375,0.010083999409816382,9917,267414,0.10083999409816381,0.003739525512722018
2020-05-21,3877,4.108485,2483,140,1254,64.044364,3.611039,0.009862680552940997,10139,280784,0.09862680552940996,0.003561452869259065
2020-05-20,3724,3.129327,2438,134,1152,65.46724,3.598281,0.009473464632229114,10556,293357,0.09473464632229113,0.003408819174862248
2020-05-19,3611,1.603827,2366,131,1114,65.522016,3.627804,0.009186004507781774,10886,300075,0.09186004507781774,0.0033325023276638394
2020-05-18,3554,4.40658,2310,127,1117,64.997186,3.573438,0.009041002498104798,11061,309526,0.09041002498104797,0.0032307465313992944
2020-05-17,3404,4.417178,2218,123,1063,65.158637,3.613396,0.008659418262112755,11548,319592,0.08659418262112754,0.00312899073513475
2020-05-16,3260,2.09834,2126,121,1013,65.214724,3.711656,0.008293097395560394,12058,324874,0.08293097395560393,0.0030781128370024773
2020-05-15,3193,1.590837,2089,117,987,65.424366,3.664266,0.008122656436817283,12311,335981,0.08122656436817281,0.0029763570407379328
2020-05-14,3143,3.66095,2028,115,1000,64.52434,3.658925,0.007995461691486601,12507,341824,0.07995461691486601,0.0029254791426056603
2020-05-13,3032,4.085136,1966,115,951,64.841689,3.792876,0.00771308935685249,12965,341824,0.07713089356852489,0.0029254791426056603
2020-05-12,2913,3.371185,1903,112,898,65.327841,3.844834,0.007410365862965469,13495,350980,0.07410365862965469,0.0028491622954072517
2020-05-11,2818,1.843151,1790,110,918,63.520227,3.903478,0.007168695846837175,13950,357362,0.07168695846837175,0.0027982843972749797
2020-05-10,2767,3.284808,1734,109,924,62.667149,3.939284,0.007038957206599881,14207,360640,0.0703895720659988,0.002772845448208843
2020-05-09,2679,2.919708,1702,107,870,63.531168,3.994028,0.006815094454817883,14673,367381,0.06815094454817883,0.002721967550076571
2020-05-08,2603,2.359418,1661,104,838,63.810987,3.99539,0.006621758441915248,15102,377979,0.06621758441915247,0.0026456507028781626
2020-05-07,2543,2.540323,1626,102,815,63.940228,4.011011,0.0064691247475184305,15458,385390,0.0646912474751843,0.00259477280474589
2020-05-06,2480,2.015631,1602,102,776,64.596774,4.112903,0.006308859368401773,15851,385390,0.06308859368401772,0.00259477280474589
2020-05-05,2431,3.623188,1571,102,758,64.623612,4.195804,0.006184208517977705,16170,385390,0.061842085179777045,0.00259477280474589
2020-05-04,2346,2.1777,1544,98,704,65.814152,4.177323,0.005967977450915548,16756,401120,0.05967977450915547,0.0024930170084813455
2020-05-03,2296,3.470032,1490,97,709,64.89547,4.224739,0.005840782705584867,17121,405256,0.05840782705584866,0.002467578059415209
2020-05-02,2219,3.06549,1473,95,651,66.381253,4.281208,0.005644902797775618,17715,413787,0.05644902797775618,0.002416700161282937
2020-05-01,2153,3.261391,1414,94,645,65.675801,4.366001,0.00547700573393912,18258,418189,0.05477005733939119,0.0023912612122168006
2020-04-30,2085,4.093859,1375,93,617,65.947242,4.460432,0.005304020880289394,18854,422686,0.05304020880289393,0.0023658222631506645
2020-04-29,2003,3.890041,1346,92,565,67.199201,4.59311,0.005095421497947077,19625,427280,0.050954214979470766,0.0023403833140845285
2020-04-28,1928,4.38549,1319,90,519,68.412863,4.66805,0.004904629379951056,20389,436776,0.04904629379951055,0.002289505415952256
2020-04-27,1847,1.483516,1286,88,473,69.626421,4.764483,0.004698573892515353,21283,446702,0.04698573892515352,0.0022386275178199835
2020-04-26,1820,3.233125,1263,87,470,69.395604,4.78022,0.004629888730036785,21599,451837,0.046298887300367846,0.0022131885687538475
2020-04-25,1763,3.220141,1224,86,453,69.427113,4.878049,0.004484886720359809,22297,457091,0.04484886720359808,0.0021877496196877114
2020-04-24,1708,1.848539,1204,86,418,70.491803,5.035129,0.004344972500496059,23015,457091,0.04344972500496059,0.0021877496196877114
2020-04-23,1677,2.820356,1171,83,423,69.827072,4.949314,0.004266111758391037,23441,473612,0.04266111758391037,0.002111432772489303
2020-04-22,1631,1.810237,1146,83,402,70.263642,5.088903,0.004149092592686811,24102,473612,0.04149092592686811,0.002111432772489303
2020-04-21,1602,1.778907,1096,83,423,68.414482,5.181024,0.004075319640395016,24538,473612,0.040753196403950157,0.002111432772489303
2020-04-20,1574,2.274204,1043,82,449,66.264295,5.209657,0.004004090583009835,24974,479388,0.040040905830098346,0.0020859938234231664
2020-04-19,1539,1.71844,1009,82,448,65.562053,5.328135,0.003915054261278358,25542,479388,0.03915054261278358,0.0020859938234231664
2020-04-18,1513,2.091768,953,82,478,62.987442,5.419696,0.003848912993706404,25981,479388,0.038489129937064034,0.0020859938234231664
2020-04-17,1482,3.34728,906,81,495,61.133603,5.465587,0.003770052251601382,26525,485306,0.037700522516013815,0.0020605548743570304
2020-04-16,1434,1.342756,856,80,498,59.693166,5.578801,0.0036479452960839283,27413,491373,0.03647945296083928,0.0020351159252908944
2020-04-15,1415,1.071429,812,79,524,57.385159,5.583039,0.0035996112928582693,27781,497592,0.035996112928582694,0.002009676976224758
2020-04-14,1400,1.596517,766,78,556,54.714286,5.571429,0.003561452869259065,28078,503972,0.03561452869259065,0.001984238027158622
2020-04-13,1378,1.923077,717,78,583,52.03193,5.660377,0.0035054871813135656,28527,503972,0.03505487181313565,0.001984238027158622
