"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-01,95646,1.062975,76318,6091,13237,79.79215,6.368275,0.11535580885713975,867,13613,1.1535580885713976,0.07346174766836441
2020-04-30,94640,1.049575,75103,6028,13509,79.356509,6.3694,0.11414250204127414,876,13755,1.1414250204127414,0.07270192332045652
2020-04-29,93657,1.158948,73791,5957,13909,78.788558,6.360443,0.11295693484445914,885,13919,1.1295693484445914,0.07184561334106827
2020-04-28,92584,1.215673,72439,5877,14268,78.241381,6.347749,0.11166282131222871,896,14108,1.116628213122287,0.0708807570262646
2020-04-27,91472,1.095258,70933,5806,14733,77.546134,6.347298,0.11032167103465161,906,14281,1.1032167103465162,0.07002444704687634
2020-04-26,90481,1.290749,69657,5710,15114,76.985223,6.310717,0.10912645527468856,916,14521,1.0912645527468856,0.06886661946911193
2020-04-25,89328,1.285802,68193,5650,15485,76.340005,6.325004,0.10773585611097777,928,14675,1.0773585611097778,0.06814297723300919
2020-04-24,88194,1.342128,66599,5574,16021,75.514207,6.320158,0.10636817228474357,940,14875,1.0636817228474358,0.06722636373394571
2020-04-23,87026,1.19773,64843,5481,16702,74.509917,6.298118,0.10495948206513021,953,15128,1.0495948206513022,0.06610471826798643
2020-04-22,85996,1.407986,63113,5391,17492,73.390623,6.268896,0.10371722955982049,964,15380,1.037172295598205,0.0650192549138323
2020-04-21,84802,1.5532,60965,5297,18540,71.890993,6.246315,0.10227718150997601,978,15653,1.0227718150997602,0.063885548743938
2020-04-20,83505,1.573999,59273,5209,19023,70.981378,6.23795,0.10071290820960056,993,15917,1.0071290820960057,0.06282420679765395
2020-04-19,82211,1.660731,57023,5118,20070,69.361764,6.225444,0.09915225312040563,1009,16200,0.9915225312040563,0.06172668273956478
2020-04-18,80868,1.728432,55987,5031,19850,69.232577,6.221249,0.09753250058192897,1025,16481,0.9753250058192897,0.06067740149721579
2020-04-17,79494,1.921918,54064,4958,20472,68.010164,6.236949,0.09587535986125366,1043,16723,0.9587535986125367,0.059796970109957444
2020-04-16,77995,2.102397,52229,4869,20897,66.964549,6.242708,0.09406746034139028,1063,17029,0.940674603413903,0.058723567459738356
2020-04-15,76389,2.019312,49933,4777,21679,65.366741,6.253518,0.09213051128942192,1085,17357,0.9213051128942192,0.05761398269771414
2020-04-14,74877,2.147252,48129,4683,22065,64.277415,6.254257,0.09030693285444298,1107,17705,0.9030693285444299,0.056480276527819825
2020-04-13,73303,2.255671,45983,4585,22735,62.730038,6.25486,0.08840857805506676,1131,18084,0.8840857805506677,0.05529832754218533
2020-04-12,71686,2.366163,43894,4474,23318,61.230924,6.241107,0.08645836222876985,1157,18532,0.8645836222876985,0.05395958940539524
2020-04-11,70029,2.693864,41947,4357,23725,59.89947,6.221708,0.08445990358673275,1184,19030,0.8445990358673275,0.052548487044994874
2020-04-10,68192,2.977952,35465,4232,28495,52.007567,6.206007,0.08224435227386481,1216,19592,0.8224435227386482,0.05104089905311414
2020-04-09,66220,2.52996,32309,4110,29801,48.790396,6.206584,0.07986598145787377,1252,20174,0.7986598145787378,0.04956949317303854
2020-04-08,64586,3.190657,29812,3993,30781,46.15861,6.182454,0.07789526243488727,1284,20765,0.7789526243488728,0.048158390812638174
2020-04-07,62589,3.452893,27039,3872,31678,43.200882,6.186391,0.07548673985905861,1325,21414,0.7548673985905862,0.04669904563649762
2020-04-06,60500,3.905472,24236,3739,32525,40.059504,6.180165,0.07296725880702754,1370,22175,0.7296725880702754,0.045094972013136524
2020-04-05,58226,4.454371,19736,3603,34887,33.895511,6.187957,0.0702246547321981,1424,23012,0.702246547321981,0.04345471627797028
2020-04-04,55743,4.813568,19736,3452,32555,35.405342,6.192706,0.06722998194512621,1487,24019,0.6722998194512622,0.041633549983778356
2020-04-03,53183,5.379647,17935,3294,31954,33.723182,6.193709,0.06414244173775446,1559,25171,0.6414244173775447,0.03972795876204111
2020-04-02,50468,6.040804,16711,3160,30597,33.112071,6.261393,0.06086796061938951,1643,26239,0.6086796061938952,0.03811182443474496
2020-04-01,47593,6.698801,15473,3036,29084,32.511084,6.379089,0.05740050823806382,1742,27310,0.5740050823806383,0.03661629714679927
2020-03-31,44605,7.494879,14656,2898,27051,32.857303,6.497029,0.05379676990227212,1859,28611,0.5379676990227212,0.03495192000376294
2020-03-30,41495,8.316584,13911,2757,24827,33.524521,6.644174,0.05004589097847285,1998,30074,0.5004589097847285,0.033251360748921474
2020-03-29,38309,8.193064,12391,2640,23278,32.34488,6.891331,0.046203350704767235,2164,31407,0.4620335070476724,0.03184025838852111
2020-03-28,35408,9.513794,11679,2517,21212,32.984071,7.108563,0.04270454049321043,2342,32942,0.4270454049321043,0.030356791804510463
2020-03-27,32332,9.95035,11133,2378,18821,34.433379,7.354942,0.038994667962790316,2564,34867,0.3899466796279032,0.02868035395753909
2020-03-26,29406,8.842581,10457,2234,16715,35.56077,7.597089,0.035465705991395896,2820,37115,0.35465705991395896,0.026943612590892483
2020-03-25,27017,8.891218,9625,2077,15315,35.625717,7.687752,0.03258440382131343,3069,39920,0.32584403821313435,0.025050082073090278
2020-03-24,24811,7.644583,8913,1934,13964,35.923582,7.79493,0.029923812533242316,3342,42872,0.29923812533242317,0.02332540141037872
2020-03-23,23049,6.520935,8376,1812,12861,36.339971,7.861512,0.027798716499887233,3597,45758,0.2779871649988723,0.021853995530303122
2020-03-22,21638,4.98787,7635,1685,12318,35.285147,7.787226,0.026096951174652258,3832,49207,0.2609695117465226,0.020322286130552297
2020-03-21,20610,4.917532,7635,1556,11419,37.045124,7.549733,0.024857110810129545,4023,53287,0.24857110810129546,0.01876645532293138
2020-03-20,19644,6.720269,6745,1433,11466,34.336184,7.294848,0.023692046810004114,4221,57860,0.23692046810004114,0.017282988738920736
2020-03-19,18407,6.024999,5710,1284,11413,31.020807,6.975607,0.022200137733238937,4504,64575,0.2220013773323894,0.015485943852598901
2020-03-18,17361,7.372132,5389,1135,10837,31.040839,6.537642,0.02093858810163314,4776,73052,0.2093858810163314,0.013688898966277067
2020-03-17,16169,7.858048,5389,988,9792,33.32921,6.110458,0.019500952192575673,5128,83921,0.19500952192575674,0.011915975487825324
2020-03-16,14991,7.554886,4590,853,9548,30.618371,5.690081,0.018080201269027266,5531,97203,0.18080201269027268,0.01028778045659413
2020-03-15,13938,9.497997,4590,724,8624,32.931554,5.194432,0.016810209144666938,5949,114522,0.16810209144666938,0.008731949648973213
2020-03-14,12729,12.011616,2959,611,9159,23.246131,4.800063,0.015352070038919892,6514,135702,0.15352070038919893,0.007369090104313029
2020-03-13,11364,12.794045,2959,514,7891,26.038367,4.523055,0.01370578395178613,7296,161311,0.1370578395178613,0.006199201822613579
2020-03-12,10075,11.944444,2959,429,6687,29.369727,4.258065,0.012151159214558716,8230,193272,0.12151159214558718,0.00517404198813468
2020-03-11,9000,11.91246,2959,354,5687,32.877778,3.933333,0.010854633541541286,9213,234220,0.10854633541541286,0.004269489193006239
2020-03-10,8042,12.302751,2731,291,5020,33.959214,3.618503,0.009699218104563891,10310,284927,0.09699218104563892,0.0035096648450983494
2020-03-09,7161,9.061834,2394,237,4530,33.431085,3.309594,0.00863667008788635,11579,349848,0.0863667008788635,0.002858386832605872
2020-03-08,6566,12.759746,2134,194,4238,32.500761,2.954615,0.00791905820375112,12628,427391,0.07919058203751121,0.0023397765633988996
2020-03-07,5823,22.666948,1669,145,4009,28.662202,2.490125,0.0070229479013772115,14239,571820,0.07022947901377212,0.0017488020705816517
2020-03-06,4747,35.126672,913,124,3710,19.2332,2.612176,0.0057252161579662755,17467,668660,0.057252161579662765,0.0014955272879456883
2020-03-05,3513,20.225873,739,107,2667,21.036151,3.04583,0.004236925292381615,23602,774896,0.04236925292381615,0.0012904953210499085
2020-03-04,2922,25.085616,552,92,2278,18.89117,3.148528,0.003524137689820404,28376,901238,0.035241376898204044,0.0011095847620242205
2020-03-03,2336,55.62958,291,77,1968,12.457192,3.296233,0.0028173804392267157,35494,1076804,0.02817380439226716,0.0009286742029985323
2020-03-02,1501,53.476483,291,66,1144,19.387075,4.397069,0.0018103116606503855,55239,1256271,0.018103116606503857,0.0007960064597130277
2020-03-01,978,64.924115,175,54,749,17.893661,5.521472,0.0011795368448474864,84779,1535443,0.011795368448474864,0.0006512780124924771
2020-02-29,593,52.835052,123,43,427,20.74199,7.251265,0.0007151997433482202,139821,1928230,0.0071519974334822035,0.0005186102692069725
2020-02-28,388,58.367347,73,34,281,18.814433,8.762887,0.00046795531267977984,213696,2438644,0.004679553126797799,0.0004100639337915597
