"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-19,1771,0.625,1291,9,471,72.896669,0.508187,0.5224188790560472,191,37667,5.224188790560472,0.02654867256637168
2020-04-18,1760,0.342075,1291,9,460,73.352273,0.511364,0.5191740412979351,193,37667,5.191740412979351,0.02654867256637168
2020-04-17,1754,0.862565,1224,9,521,69.783352,0.513113,0.5174041297935104,193,37667,5.174041297935103,0.02654867256637168
2020-04-16,1739,0.694847,1144,8,587,65.784934,0.460035,0.5129793510324484,195,42375,5.129793510324483,0.02359882005899705
2020-04-15,1727,0.406977,1077,8,642,62.362478,0.463231,0.5094395280235988,196,42375,5.094395280235989,0.02359882005899705
2020-04-14,1720,0.526008,989,8,723,57.5,0.465116,0.5073746312684366,197,42375,5.073746312684365,0.02359882005899705
2020-04-13,1711,0.587889,933,8,770,54.529515,0.467563,0.5047197640117994,198,42375,5.047197640117994,0.02359882005899705
2020-04-12,1701,0.71048,889,8,804,52.263374,0.470312,0.5017699115044247,199,42375,5.017699115044247,0.02359882005899705
2020-04-11,1689,0.835821,841,8,840,49.792777,0.473653,0.4982300884955752,201,42375,4.982300884955753,0.02359882005899705
2020-04-10,1675,1.63835,751,7,917,44.835821,0.41791,0.4941002949852507,202,48429,4.941002949852507,0.02064896755162242
2020-04-09,1648,1.980198,688,6,954,41.747573,0.364078,0.4861356932153392,206,56500,4.8613569321533925,0.017699115044247787
2020-04-08,1616,1.891551,633,6,977,39.170792,0.371287,0.4766961651917404,210,56500,4.766961651917404,0.017699115044247787
2020-04-07,1586,1.536492,559,6,1021,35.245902,0.37831,0.4678466076696165,214,56500,4.678466076696165,0.017699115044247787
2020-04-06,1562,5.114401,460,6,1096,29.449424,0.384123,0.4607669616519174,217,56500,4.607669616519174,0.017699115044247787
2020-04-05,1486,4.869442,428,4,1054,28.802153,0.269179,0.4383480825958702,228,84750,4.383480825958702,0.011799410029498525
2020-04-04,1417,3.88563,396,4,1017,27.946366,0.282287,0.41799410029498524,239,84750,4.179941002949852,0.011799410029498525
2020-04-03,1364,3.411676,309,4,1051,22.653959,0.293255,0.4023598820058997,249,84750,4.023598820058997,0.011799410029498525
2020-04-02,1319,8.114754,284,4,1031,21.531463,0.30326,0.38908554572271387,257,84750,3.8908554572271385,0.011799410029498525
2020-04-01,1220,7.488987,225,2,993,18.442623,0.163934,0.35988200589970504,278,169500,3.5988200589970503,0.0058997050147492625
2020-03-31,1135,4.511971,198,2,935,17.444934,0.176211,0.33480825958702065,299,169500,3.3480825958702063,0.0058997050147492625
2020-03-30,1086,6.470588,157,2,927,14.456722,0.184162,0.32035398230088497,312,169500,3.2035398230088497,0.0058997050147492625
2020-03-29,1020,5.919003,135,2,883,13.235294,0.196078,0.3008849557522124,332,169500,3.0088495575221237,0.0058997050147492625
2020-03-28,963,8.202247,114,2,847,11.838006,0.207684,0.28407079646017697,352,169500,2.84070796460177,0.0058997050147492625
2020-03-27,890,10.972569,97,2,791,10.898876,0.224719,0.26253687315634217,381,169500,2.6253687315634218,0.0058997050147492625
2020-03-26,802,8.819539,82,2,718,10.224439,0.249377,0.23657817109144544,423,169500,2.365781710914454,0.0058997050147492625
2020-03-25,737,13.734568,56,2,679,7.598372,0.27137,0.21740412979351031,460,169500,2.174041297935103,0.0058997050147492625
2020-03-24,648,10.204082,51,2,595,7.87037,0.308642,0.1911504424778761,523,169500,1.9115044247787611,0.0058997050147492625
2020-03-23,588,3.521127,51,1,536,8.673469,0.170068,0.17345132743362832,577,339000,1.7345132743362832,0.0029498525073746312
2020-03-22,568,20.084567,5,1,562,0.880282,0.176056,0.16755162241887905,597,339000,1.6755162241887906,0.0029498525073746312
2020-03-21,473,15.647922,22,1,450,4.651163,0.211416,0.13952802359882005,717,339000,1.3952802359882006,0.0029498525073746312
2020-03-20,409,23.939394,5,0,404,1.222494,0,0.12064896755162242,829,,1.2064896755162242,0
2020-03-19,330,32,5,1,324,1.515152,0.30303,0.09734513274336283,1027,339000,0.9734513274336283,0.0029498525073746312
2020-03-18,250,13.636364,5,1,244,2,0.4,0.07374631268436578,1356,339000,0.7374631268436578,0.0029498525073746312
2020-03-17,220,22.222222,0,1,219,0,0.454545,0.06489675516224189,1541,339000,0.6489675516224189,0.0029498525073746312
2020-03-16,180,5.263158,0,0,180,0,0,0.05309734513274336,1883,,0.5309734513274337,0
