"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-20,223,28.901734,27,5,191,12.107623,2.242152,0.0075636807651867175,13221,589660,0.07563680765186717,0.001695892548248143
2020-04-19,173,6.134969,27,5,141,15.606936,2.890173,0.005867788216938574,17042,589660,0.05867788216938574,0.001695892548248143
2020-04-18,163,13.986014,25,5,133,15.337423,3.067485,0.0055286097072889465,18088,589660,0.05528609707288946,0.001695892548248143
2020-04-17,143,0,25,5,113,17.482517,3.496503,0.004850252687989689,20617,589660,0.04850252687989689,0.001695892548248143
2020-04-16,143,14.4,21,5,117,14.685315,3.496503,0.004850252687989689,20617,589660,0.04850252687989689,0.001695892548248143
2020-04-15,125,71.232877,21,5,99,16.8,4,0.004239731370620357,23586,589660,0.042397313706203574,0.001695892548248143
2020-04-14,73,0,19,4,50,26.027397,5.479452,0.0024760031204422886,40388,737075,0.024760031204422887,0.0013567140385985143
2020-04-13,73,5.797101,19,4,50,26.027397,5.479452,0.0024760031204422886,40388,737075,0.024760031204422887,0.0013567140385985143
2020-04-12,69,6.153846,13,4,52,18.84058,5.797101,0.0023403317165824372,42729,737075,0.02340331716582437,0.0013567140385985143
2020-04-11,65,3.174603,13,4,48,20,6.153846,0.002204660312722586,45358,737075,0.022046603127225856,0.0013567140385985143
2020-04-10,63,0,13,4,46,20.634921,6.349206,0.00213682461079266,46798,737075,0.021368246107926602,0.0013567140385985143
2020-04-09,63,0,12,4,47,19.047619,6.349206,0.00213682461079266,46798,737075,0.021368246107926602,0.0013567140385985143
2020-04-08,63,0,10,4,49,15.873016,6.349206,0.00213682461079266,46798,737075,0.021368246107926602,0.0013567140385985143
2020-04-07,63,8.62069,8,3,52,12.698413,4.761905,0.00213682461079266,46798,982767,0.021368246107926602,0.0010175355289488857
2020-04-06,58,0,8,3,47,13.793103,5.172414,0.001967235355967846,50833,982767,0.019672353559678456,0.0010175355289488857
2020-04-05,58,9.433962,8,3,47,13.793103,5.172414,0.001967235355967846,50833,982767,0.019672353559678456,0.0010175355289488857
2020-04-04,53,12.765957,7,3,43,13.207547,5.660377,0.0017976461011430316,55628,982767,0.017976461011430314,0.0010175355289488857
2020-04-03,47,0,2,3,42,4.255319,6.382979,0.0015941389953532544,62730,982767,0.015941389953532545,0.0010175355289488857
2020-04-02,47,6.818182,2,3,42,4.255319,6.382979,0.0015941389953532544,62730,982767,0.015941389953532545,0.0010175355289488857
2020-04-01,44,22.222222,2,3,39,4.545455,6.818182,0.0014923854424583659,67007,982767,0.014923854424583657,0.0010175355289488857
2020-03-31,36,0,2,1,33,5.555556,2.777778,0.001221042634738663,81897,2948300,0.012210426347386628,0.0003391785096496286
2020-03-30,36,12.5,2,1,33,5.555556,2.777778,0.001221042634738663,81897,2948300,0.012210426347386628,0.0003391785096496286
2020-03-29,32,6.666667,2,1,29,6.25,3.125,0.0010853712308788114,92134,2948300,0.010853712308788115,0.0003391785096496286
2020-03-28,30,15.384615,2,1,27,6.666667,3.333333,0.0010175355289488857,98277,2948300,0.010175355289488857,0.0003391785096496286
2020-03-27,26,0,2,1,23,7.692308,3.846154,0.0008818641250890344,113396,2948300,0.008818641250890344,0.0003391785096496286
2020-03-26,26,0,2,1,23,7.692308,3.846154,0.0008818641250890344,113396,2948300,0.008818641250890344,0.0003391785096496286
2020-03-25,26,23.809524,2,1,23,7.692308,3.846154,0.0008818641250890344,113396,2948300,0.008818641250890344,0.0003391785096496286
2020-03-24,21,10.526316,2,1,18,9.52381,4.761905,0.0007122748702642201,140395,2948300,0.0071227487026422,0.0003391785096496286
2020-03-23,19,0,2,1,16,10.526316,5.263158,0.0006444391683342943,155174,2948300,0.006444391683342943,0.0003391785096496286
2020-03-22,19,18.75,2,1,16,10.526316,5.263158,0.0006444391683342943,155174,2948300,0.006444391683342943,0.0003391785096496286
2020-03-21,16,0,2,1,13,12.5,6.25,0.0005426856154394057,184269,2948300,0.005426856154394057,0.0003391785096496286
2020-03-20,16,6.666667,2,1,13,12.5,6.25,0.0005426856154394057,184269,2948300,0.005426856154394057,0.0003391785096496286
2020-03-19,15,15.384615,2,1,12,13.333333,6.666667,0.0005087677644744429,196553,2948300,0.0050876776447444285,0.0003391785096496286
2020-03-18,13,8.333333,2,0,11,15.384615,0,0.0004409320625445172,226792,,0.004409320625445172,0
2020-03-17,12,20,2,0,10,16.666667,0,0.0004070142115795543,245692,,0.004070142115795543,0
2020-03-16,10,0,2,0,8,20,0,0.0003391785096496286,294830,,0.003391785096496286,0
2020-03-15,10,25,0,0,10,0,0,0.0003391785096496286,294830,,0.003391785096496286,0
2020-03-14,8,0,0,0,8,0,0,0.00027134280771970285,368538,,0.0027134280771970287,0
2020-03-13,8,300,0,0,8,0,0,0.00027134280771970285,368538,,0.0027134280771970287,0
2020-03-12,2,100,0,0,2,0,0,6.783570192992571e-05,1474150,,0.0006783570192992572,0
2020-03-11,1,,0,0,1,0,0,3.391785096496286e-05,2948300,,0.0003391785096496286,0

