"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-19,10797,4.865967,1159,236,9402,10.734463,2.185792,0.00851093683366664,11750,537544,0.0851093683366664,0.001860314062003637
2020-04-18,10296,5.200777,1069,222,9005,10.382673,2.156177,0.008116014229826036,12321,571443,0.08116014229826037,0.0017499564481559637
2020-04-17,9787,13.459309,935,190,8662,9.553489,1.941351,0.00771478547662271,12962,667686,0.0771478547662271,0.001497710473646996
2020-04-16,8626,6.493827,901,178,7547,10.445166,2.063529,0.0067996055503573615,14707,712698,0.06799605550357361,0.001403118233206133
2020-04-15,8100,5.951602,853,146,7101,10.530864,1.802469,0.006384976229758246,15662,868906,0.06384976229758246,0.0011508722586971653
2020-04-14,7645,3.731343,799,143,6703,10.451275,1.870504,0.006026313984753308,16594,887135,0.06026313984753307,0.0011272241985869496
2020-04-13,7370,9.217546,784,123,6463,10.63772,1.668928,0.005809540100409663,17213,1031385,0.05809540100409663,0.0009695704645188447
2020-04-12,6748,12.373022,762,108,5878,11.292235,1.600474,0.005319236987457857,18800,1174632,0.05319236987457857,0.0008513301639677661
2020-04-11,6005,8.589512,762,99,5144,12.689425,1.648626,0.004733553365394848,21126,1281417,0.04733553365394848,0.0007803859836371189
2020-04-10,5530,18.491536,685,99,4746,12.38698,1.790235,0.004359125746983099,22940,1281417,0.04359125746983099,0.0007803859836371189
2020-04-09,4667,9.631196,632,94,3941,13.54189,2.014142,0.0036788498844792265,27182,1349578,0.03678849884479226,0.0007409725501200927
2020-04-08,4257,8.986175,622,93,3542,14.611229,2.184637,0.0033556597296396113,29800,1364089,0.033556597296396116,0.0007330898634166875
2020-04-07,3906,6.896552,592,92,3222,15.15617,2.355351,0.0030789774263500873,32478,1378916,0.030789774263500873,0.0007252071767132822
2020-04-06,3654,16.406499,575,85,2994,15.73618,2.326218,0.0028803337214242755,34718,1492474,0.028803337214242754,0.0006700283697894455
2020-04-05,3139,0,514,77,2548,16.374642,2.453011,0.0024743753561989055,40414,1647536,0.024743753561989053,0.0006069668761622036
2020-04-04,3139,19.946504,514,77,2548,16.374642,2.453011,0.0024743753561989055,40414,1647536,0.024743753561989053,0.0006069668761622036
2020-04-03,2617,4.88978,514,63,2040,19.64081,2.407337,0.002062899110281152,48475,2013656,0.02062899110281152,0.0004966092623145302
2020-04-02,2495,14.554637,472,62,1961,18.917836,2.48497,0.001966730332499608,50846,2046134,0.01966730332499608,0.0004887265756111249
2020-04-01,2178,11.520737,472,57,1649,21.671258,2.61708,0.0017168491640016618,58246,2225619,0.017168491640016617,0.00044931314209409876
