"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-23,320,5.610561,89,14,217,27.8125,4.375,0.0006086658804732377,164294,3755286,0.006086658804732377,0.0002662913227070415
2020-04-22,303,2.364865,74,14,215,24.422442,4.620462,0.000576330505573097,173512,3755286,0.00576330505573097,0.0002662913227070415
2020-04-21,296,5.338078,74,14,208,25,4.72973,0.0005630159394377449,177615,3755286,0.005630159394377449,0.0002662913227070415
2020-04-20,281,4.074074,69,14,198,24.55516,4.982206,0.0005344847262905619,187096,3755286,0.005344847262905619,0.0002662913227070415
2020-04-19,270,3.053435,67,14,189,24.814815,5.185185,0.0005135618366492943,194719,3755286,0.005135618366492943,0.0002662913227070415
2020-04-18,262,6.504065,60,12,190,22.900763,4.580153,0.0004983451896374634,200664,4381167,0.004983451896374634,0.00022824970517746414
2020-04-17,246,5.128205,53,11,182,21.544715,4.471545,0.0004679118956138015,213715,4779455,0.004679118956138015,0.00020922889641267548
2020-04-16,234,4,53,11,170,22.649573,4.700855,0.00044508692509605507,224675,4779455,0.004450869250960551,0.00020922889641267548
2020-04-15,225,4.166667,53,10,162,23.555556,4.444444,0.0004279681972077453,233662,5257400,0.004279681972077453,0.00019020808764788678
2020-04-14,216,3.846154,41,9,166,18.981481,4.166667,0.00041084946931943544,243398,5841556,0.004108494693194354,0.00017118727888309812
2020-04-13,208,5.583756,40,9,159,19.230769,4.326923,0.00039563282230760453,252760,5841556,0.003956328223076045,0.00017118727888309812
2020-04-12,197,3.141361,25,8,164,12.690355,4.060914,0.000374709932666337,266873,6571750,0.00374709932666337,0.00015216647011830943
2020-04-11,191,1.058201,24,7,160,12.565445,3.664921,0.0003632974474074638,275257,7510571,0.003632974474074638,0.00013314566135352076
2020-04-10,189,2.717391,22,7,160,11.640212,3.703704,0.000359493285654506,278169,7510571,0.0035949328565450605,0.00013314566135352076
2020-04-09,184,2.793296,12,7,165,6.521739,3.804348,0.0003499828812721117,285728,7510571,0.003499828812721117,0.00013314566135352076
2020-04-08,179,4.069767,9,6,164,5.027933,3.351955,0.00034047247688971736,293709,8762333,0.0034047247688971734,0.00011412485258873207
2020-04-07,172,8.860759,7,6,159,4.069767,3.488372,0.0003271579107543653,305663,8762333,0.003271579107543653,0.00011412485258873207
2020-04-06,158,11.267606,4,6,148,2.531646,3.797468,0.0003005287784836611,332747,8762333,0.003005287784836611,0.00011412485258873207
2020-04-05,142,12.698413,4,4,134,2.816901,2.816901,0.0002700954844599992,370239,13143500,0.0027009548445999926,7.608323505915471e-05
2020-04-04,126,3.278689,4,4,118,3.174603,3.174603,0.00023966219043633735,417254,13143500,0.0023966219043633735,7.608323505915471e-05
2020-04-03,122,10.909091,4,4,114,3.278689,3.278689,0.00023205386693042187,430934,13143500,0.002320538669304219,7.608323505915471e-05
2020-04-02,110,35.802469,4,3,103,3.636364,2.727273,0.00020922889641267548,477945,17524667,0.002092288964126755,5.7062426294366035e-05
2020-04-01,81,37.288136,3,1,77,3.703704,1.234568,0.0001540685509947883,649062,52574000,0.001540685509947883,1.902080876478868e-05
2020-03-31,59,18,1,1,57,1.694915,1.694915,0.0001122227717122532,891085,52574000,0.001122227717122532,1.902080876478868e-05
2020-03-30,50,19.047619,1,1,48,2,2,9.510404382394339e-05,1051480,52574000,0.0009510404382394339,1.902080876478868e-05
2020-03-29,42,10.526316,1,1,40,2.380952,2.380952,7.988739681211245e-05,1251762,52574000,0.0007988739681211245,1.902080876478868e-05
2020-03-28,38,22.580645,1,1,36,2.631579,2.631579,7.227907330619699e-05,1383526,52574000,0.0007227907330619698,1.902080876478868e-05
2020-03-27,31,0,1,1,29,3.225806,3.225806,5.8964507170844906e-05,1695935,52574000,0.000589645071708449,1.902080876478868e-05
2020-03-26,31,10.714286,1,1,29,3.225806,3.225806,5.8964507170844906e-05,1695935,52574000,0.000589645071708449,1.902080876478868e-05
2020-03-25,28,12,1,0,27,3.571429,0,5.32582645414083e-05,1877643,,0.000532582645414083,0
2020-03-24,25,56.25,0,0,25,0,0,4.7552021911971696e-05,2102960,,0.00047552021911971695,0
2020-03-23,16,6.666667,0,0,16,0,0,3.0433294023661885e-05,3285875,,0.00030433294023661885,0
2020-03-22,15,114.285714,0,0,15,0,0,2.8531213147183018e-05,3504933,,0.0002853121314718302,0
2020-03-21,7,0,0,0,7,0,0,1.3314566135352075e-05,7510571,,0.00013314566135352076,0
2020-03-20,7,0,0,0,7,0,0,1.3314566135352075e-05,7510571,,0.00013314566135352076,0
2020-03-19,7,133.333333,0,0,7,0,0,1.3314566135352075e-05,7510571,,0.00013314566135352076,0
2020-03-18,3,0,0,0,3,0,0,5.706242629436604e-06,17524667,,5.7062426294366035e-05,0
2020-03-17,3,0,0,0,3,0,0,5.706242629436604e-06,17524667,,5.7062426294366035e-05,0
2020-03-16,3,0,0,0,3,0,0,5.706242629436604e-06,17524667,,5.7062426294366035e-05,0
2020-03-15,3,200,0,0,3,0,0,5.706242629436604e-06,17524667,,5.7062426294366035e-05,0
2020-03-14,1,0,0,0,1,0,0,1.9020808764788678e-06,52574000,,1.902080876478868e-05,0
2020-03-13,1,,0,0,1,0,0,1.9020808764788678e-06,52574000,,1.902080876478868e-05,0

