"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-03-15,86917,0.077145,83875,1483,1559,96.500109,1.706225,1.354712511105223,74,4326,13.54712511105223,0.23114450038186382
2021-03-14,86850,0.036859,83875,1483,1492,96.574554,1.707542,1.3536682304898766,74,4326,13.536682304898768,0.23114450038186382
2021-03-13,86818,0,83809,1480,1529,96.534129,1.704716,1.3531694695989651,74,4335,13.531694695989652,0.23067691204663415
2021-03-12,86818,0.072618,83809,1480,1529,96.534129,1.704716,1.3531694695989651,74,4335,13.531694695989652,0.23067691204663415
2021-03-11,86755,0.132733,83766,1480,1509,96.554665,1.705954,1.3521875340949827,74,4335,13.521875340949828,0.23067691204663415
2021-03-10,86640,0,83718,1476,1446,96.627424,1.703601,1.3503951121432691,74,4347,13.503951121432692,0.2300534609329946
2021-03-09,86640,0.065833,83666,1476,1498,96.567405,1.703601,1.3503951121432691,74,4347,13.503951121432692,0.2300534609329946
2021-03-08,86583,0.038128,83575,1473,1535,96.525877,1.701258,1.3495066943063327,74,4356,13.495066943063328,0.22958587259776495
2021-03-07,86550,0.050864,83530,1471,1549,96.510687,1.699596,1.34899234713758,74,4362,13.489923471375802,0.22927414704094518
2021-03-06,86506,0.06362,83484,1471,1551,96.506601,1.70046,1.3483065509125767,74,4362,13.483065509125767,0.22927414704094518
2021-03-05,86451,0.047448,83424,1470,1557,96.498595,1.700385,1.3474493056313221,74,4365,13.474493056313223,0.22911828426253528
2021-03-04,86410,0,83424,1470,1516,96.544381,1.701192,1.3468102682398417,74,4365,13.468102682398417,0.22911828426253528
2021-03-03,86410,0.062532,83375,1468,1567,96.487675,1.698877,1.3468102682398417,74,4371,13.468102682398417,0.2288065587057155
2021-03-02,86356,0.055615,83318,1468,1570,96.482005,1.69994,1.3459686092364282,74,4371,13.459686092364283,0.2288065587057155
2021-03-01,86308,0.066086,83269,1467,1572,96.47889,1.699727,1.3452204679000608,74,4373,13.452204679000609,0.2286506959273056
2021-02-28,86251,0.076579,83210,1466,1575,96.474244,1.69969,1.3443320500631244,74,4376,13.443320500631245,0.22849483314889574
2021-02-27,86185,0.049918,83127,1463,1595,96.451819,1.697511,1.343303355725619,74,4385,13.433033557256193,0.22802724481366607
2021-02-26,86142,0.05924,83061,1463,1618,96.423347,1.698359,1.3426331457784566,74,4385,13.426331457784567,0.22802724481366607
2021-02-25,86091,0.076722,83006,1463,1622,96.416582,1.699365,1.3418382456085662,75,4385,13.418382456085663,0.22802724481366607
2021-02-24,86025,0.027907,82938,1460,1627,96.411508,1.697181,1.340809551271061,75,4394,13.408095512710611,0.2275596564784364
2021-02-23,86001,0.08379,82879,1460,1662,96.36981,1.697655,1.3404354806028773,75,4394,13.404354806028772,0.2275596564784364
2021-02-22,85929,0,82803,1458,1668,96.362113,1.69675,1.339313268598326,75,4400,13.393132685983261,0.22724793092161663
2021-02-21,85929,0.114178,82803,1458,1668,96.362113,1.69675,1.339313268598326,75,4400,13.393132685983261,0.22724793092161663
2021-02-20,85831,0,82690,1452,1689,96.340483,1.691696,1.3377858133699092,75,4419,13.377858133699092,0.2263127542511573
2021-02-19,85831,0.165716,82690,1452,1689,96.340483,1.691696,1.3377858133699092,75,4419,13.377858133699092,0.2263127542511573
