"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-12-16,362,0,324,0,38,89.502762,0,0.002195735905134504,45543,,0.02195735905134504,0
2020-12-15,362,0,319,0,43,88.121547,0,0.002195735905134504,45543,,0.02195735905134504,0
2020-12-14,362,0.835655,312,0,50,86.187845,0,0.002195735905134504,45543,,0.02195735905134504,0
2020-12-13,359,0,309,0,50,86.072423,0,0.0021775391987383617,45923,,0.021775391987383617,0
2020-12-12,359,0.560224,307,0,52,85.51532,0,0.0021775391987383617,45923,,0.021775391987383617,0
2020-12-11,357,0,307,0,50,85.994398,0,0.0021654080611409336,46181,,0.021654080611409336,0
2020-12-10,357,0.280899,307,0,50,85.994398,0,0.0021654080611409336,46181,,0.021654080611409336,0
2020-12-09,356,0.564972,307,0,49,86.235955,0,0.0021593424923422194,46310,,0.021593424923422193,0
2020-12-08,354,1.142857,307,0,47,86.723164,0,0.0021472113547447913,46572,,0.02147211354744791,0
2020-12-07,350,0.574713,307,0,43,87.714286,0,0.0021229490795499346,47104,,0.021229490795499347,0
2020-12-06,348,0.578035,306,0,42,87.931034,0,0.0021108179419525065,47375,,0.021108179419525065,0
2020-12-05,346,0.289855,306,0,40,88.439306,0,0.0020986868043550784,47649,,0.020986868043550783,0
2020-12-04,345,2.985075,305,0,40,88.405797,0,0.002092621235556364,47787,,0.020926212355563644,0
2020-12-03,335,1.208459,304,0,31,90.746269,0,0.002031965547569223,49213,,0.020319655475692235,0
2020-12-02,331,0.607903,304,0,27,91.8429,0,0.002007703272374367,49808,,0.02007703272374367,0
2020-12-01,329,0.920245,304,0,25,92.401216,0,0.001995572134776939,50111,,0.019955721347769385,0
2020-11-30,326,0.928793,304,0,22,93.251534,0,0.0019773754283807965,50572,,0.019773754283807964,0
2020-11-29,323,2.539683,301,0,22,93.188854,0,0.001959178721984654,51042,,0.01959178721984654,0
2020-11-28,315,2.272727,301,0,14,95.555556,0,0.0019106541715949413,52338,,0.019106541715949412,0
2020-11-27,308,0.325733,299,0,9,97.077922,0,0.0018681951900039427,53528,,0.018681951900039427,0
2020-11-26,307,0,298,0,9,97.068404,0,0.0018621296212052284,53702,,0.018621296212052284,0
2020-11-25,307,0,298,0,9,97.068404,0,0.0018621296212052284,53702,,0.018621296212052284,0
2020-11-24,307,0.326797,298,0,9,97.068404,0,0.0018621296212052284,53702,,0.018621296212052284,0
2020-11-23,306,0,296,0,10,96.732026,0,0.0018560640524065144,53877,,0.018560640524065145,0
2020-11-22,306,0,295,0,11,96.405229,0,0.0018560640524065144,53877,,0.018560640524065145,0
2020-11-21,306,0.327869,295,0,11,96.405229,0,0.0018560640524065144,53877,,0.018560640524065145,0
2020-11-20,305,0.328947,295,0,10,96.721311,0,0.0018499984836078003,54054,,0.018499984836078003,0
2020-11-19,304,0,291,0,13,95.723684,0,0.0018439329148090863,54232,,0.018439329148090863,0
2020-11-18,304,0,291,0,13,95.723684,0,0.0018439329148090863,54232,,0.018439329148090863,0
2020-11-17,304,0.330033,291,0,13,95.723684,0,0.0018439329148090863,54232,,0.018439329148090863,0
2020-11-16,303,0.331126,291,0,12,96.039604,0,0.001837867346010372,54411,,0.01837867346010372,0
2020-11-15,302,0,289,0,13,95.695364,0,0.001831801777211658,54591,,0.01831801777211658,0
2020-11-14,302,0,289,0,13,95.695364,0,0.001831801777211658,54591,,0.01831801777211658,0
2020-11-13,302,0.332226,289,0,13,95.695364,0,0.001831801777211658,54591,,0.01831801777211658,0
2020-11-12,301,0,288,0,13,95.681063,0,0.001825736208412944,54772,,0.01825736208412944,0
2020-11-11,301,0.333333,288,0,13,95.681063,0,0.001825736208412944,54772,,0.01825736208412944,0
2020-11-10,300,0,288,0,12,96,0,0.0018196706396142299,54955,,0.0181967063961423,0
2020-11-09,300,1.010101,288,0,12,96,0,0.0018196706396142299,54955,,0.0181967063961423,0
2020-11-08,297,0.677966,288,0,9,96.969697,0,0.0018014739332180875,55510,,0.018014739332180875,0
2020-11-07,295,0.340136,288,0,7,97.627119,0,0.0017893427956206594,55886,,0.017893427956206593,0
2020-11-06,294,0.684932,288,0,6,97.959184,0,0.0017832772268219451,56077,,0.017832772268219454,0
2020-11-05,292,0,286,0,6,97.945205,0,0.001771146089224517,56461,,0.017711460892245172,0
2020-11-04,292,0,283,0,9,96.917808,0,0.001771146089224517,56461,,0.017711460892245172,0
2020-11-03,292,0,283,0,9,96.917808,0,0.001771146089224517,56461,,0.017711460892245172,0
2020-11-02,292,0,283,0,9,96.917808,0,0.001771146089224517,56461,,0.017711460892245172,0
2020-11-01,292,0.343643,283,0,9,96.917808,0,0.001771146089224517,56461,,0.017711460892245172,0
2020-10-31,291,0,283,0,8,97.250859,0,0.001765080520425803,56655,,0.01765080520425803,0
2020-10-30,291,0,283,0,8,97.250859,0,0.001765080520425803,56655,,0.01765080520425803,0
2020-10-29,291,0.344828,283,0,8,97.250859,0,0.001765080520425803,56655,,0.01765080520425803,0
2020-10-28,290,0,283,0,7,97.586207,0,0.001759014951627089,56850,,0.01759014951627089,0
2020-10-27,290,0.694444,283,0,7,97.586207,0,0.001759014951627089,56850,,0.01759014951627089,0
2020-10-26,288,0.348432,283,0,5,98.263889,0,0.0017468838140296606,57245,,0.017468838140296605,0
2020-10-25,287,0,283,0,4,98.606272,0,0.0017408182452309465,57444,,0.017408182452309465,0
2020-10-24,287,0,283,0,4,98.606272,0,0.0017408182452309465,57444,,0.017408182452309465,0
2020-10-23,287,0.34965,283,0,4,98.606272,0,0.0017408182452309465,57444,,0.017408182452309465,0
2020-10-22,286,0,280,0,6,97.902098,0,0.0017347526764322325,57645,,0.017347526764322323,0
2020-10-21,286,0,280,0,6,97.902098,0,0.0017347526764322325,57645,,0.017347526764322323,0
2020-10-20,286,0.350877,280,0,6,97.902098,0,0.0017347526764322325,57645,,0.017347526764322323,0
2020-10-19,285,0.706714,280,0,5,98.245614,0,0.0017286871076335184,57847,,0.017286871076335183,0
2020-10-18,283,0,280,0,3,98.939929,0,0.0017165559700360901,58256,,0.0171655597003609,0
2020-10-17,283,0,280,0,3,98.939929,0,0.0017165559700360901,58256,,0.0171655597003609,0
2020-10-16,283,0,280,0,3,98.939929,0,0.0017165559700360901,58256,,0.0171655597003609,0
2020-10-15,283,0,278,0,5,98.233216,0,0.0017165559700360901,58256,,0.0171655597003609,0
2020-10-14,283,0,278,0,5,98.233216,0,0.0017165559700360901,58256,,0.0171655597003609,0
2020-10-13,283,0,278,0,5,98.233216,0,0.0017165559700360901,58256,,0.0171655597003609,0
