"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-11-13,574,0,542,7,25,94.425087,1.219512,0.06745798566223998,1482,121557,0.6745798566223998,0.00822658361734634
2020-11-12,574,0.878735,542,7,25,94.425087,1.219512,0.06745798566223998,1482,121557,0.6745798566223998,0.00822658361734634
2020-11-11,569,0,541,7,21,95.079086,1.230228,0.06687037254671524,1495,121557,0.6687037254671524,0.00822658361734634
2020-11-10,569,1.065719,541,7,21,95.079086,1.230228,0.06687037254671524,1495,121557,0.6687037254671524,0.00822658361734634
2020-11-09,563,0,532,7,24,94.493783,1.243339,0.06616523680808556,1511,121557,0.6616523680808556,0.00822658361734634
2020-11-08,563,0,532,7,24,94.493783,1.243339,0.06616523680808556,1511,121557,0.6616523680808556,0.00822658361734634
2020-11-07,563,1.077199,532,7,24,94.493783,1.243339,0.06616523680808556,1511,121557,0.6616523680808556,0.00822658361734634
2020-11-06,557,0,525,7,25,94.254937,1.256732,0.06546010106945586,1528,121557,0.6546010106945587,0.00822658361734634
2020-11-05,557,0.541516,525,7,25,94.254937,1.256732,0.06546010106945586,1528,121557,0.6546010106945587,0.00822658361734634
2020-11-04,554,1.651376,517,7,30,93.3213,1.263538,0.06510753320014102,1536,121557,0.6510753320014103,0.00822658361734634
2020-11-03,545,0,498,7,40,91.376147,1.284404,0.0640498295921965,1561,121557,0.6404982959219649,0.00822658361734634
2020-11-02,545,0,498,7,40,91.376147,1.284404,0.0640498295921965,1561,121557,0.6404982959219649,0.00822658361734634
2020-11-01,545,0,498,7,40,91.376147,1.284404,0.0640498295921965,1561,121557,0.6404982959219649,0.00822658361734634
2020-10-31,545,1.489758,498,7,40,91.376147,1.284404,0.0640498295921965,1561,121557,0.6404982959219649,0.00822658361734634
2020-10-30,537,3.868472,498,7,32,92.73743,1.303538,0.06310964860735692,1585,121557,0.6310964860735692,0.00822658361734634
2020-10-29,517,0,494,7,16,95.551257,1.353965,0.06075919614525796,1646,121557,0.6075919614525797,0.00822658361734634
2020-10-28,517,0,494,7,16,95.551257,1.353965,0.06075919614525796,1646,121557,0.6075919614525797,0.00822658361734634
2020-10-27,517,0,494,7,16,95.551257,1.353965,0.06075919614525796,1646,121557,0.6075919614525797,0.00822658361734634
2020-10-26,517,0,494,7,16,95.551257,1.353965,0.06075919614525796,1646,121557,0.6075919614525797,0.00822658361734634
2020-10-25,517,0,494,7,16,95.551257,1.353965,0.06075919614525796,1646,121557,0.6075919614525797,0.00822658361734634
2020-10-24,517,0,494,7,16,95.551257,1.353965,0.06075919614525796,1646,121557,0.6075919614525797,0.00822658361734634
2020-10-23,517,0,494,7,16,95.551257,1.353965,0.06075919614525796,1646,121557,0.6075919614525797,0.00822658361734634
2020-10-22,517,2.579365,494,7,16,95.551257,1.353965,0.06075919614525796,1646,121557,0.6075919614525797,0.00822658361734634
2020-10-21,504,0,494,7,3,98.015873,1.388889,0.05923140204489364,1688,121557,0.5923140204489364,0.00822658361734634
2020-10-20,504,0.398406,494,7,3,98.015873,1.388889,0.05923140204489364,1688,121557,0.5923140204489364,0.00822658361734634
2020-10-19,502,0,485,7,10,96.613546,1.394422,0.058996356798683744,1695,121557,0.5899635679868375,0.00822658361734634
2020-10-18,502,0,485,7,10,96.613546,1.394422,0.058996356798683744,1695,121557,0.5899635679868375,0.00822658361734634
2020-10-17,502,0,485,7,10,96.613546,1.394422,0.058996356798683744,1695,121557,0.5899635679868375,0.00822658361734634
2020-10-16,502,1.209677,485,7,10,96.613546,1.394422,0.058996356798683744,1695,121557,0.5899635679868375,0.00822658361734634
2020-10-15,496,0,484,7,5,97.580645,1.41129,0.05829122106005406,1716,121557,0.5829122106005407,0.00822658361734634
2020-10-14,496,0,484,7,5,97.580645,1.41129,0.05829122106005406,1716,121557,0.5829122106005407,0.00822658361734634
2020-10-13,496,0.20202,484,7,5,97.580645,1.41129,0.05829122106005406,1716,121557,0.5829122106005407,0.00822658361734634
2020-10-12,495,0,475,7,13,95.959596,1.414141,0.05817369843694911,1719,121557,0.5817369843694912,0.00822658361734634
2020-10-11,495,0,475,7,13,95.959596,1.414141,0.05817369843694911,1719,121557,0.5817369843694912,0.00822658361734634
2020-10-10,495,0,475,7,13,95.959596,1.414141,0.05817369843694911,1719,121557,0.5817369843694912,0.00822658361734634
2020-10-09,495,0,475,7,13,95.959596,1.414141,0.05817369843694911,1719,121557,0.5817369843694912,0.00822658361734634
2020-10-08,495,0.814664,475,7,13,95.959596,1.414141,0.05817369843694911,1719,121557,0.5817369843694912,0.00822658361734634
2020-10-07,491,0,468,7,16,95.315682,1.425662,0.05770360794452932,1733,121557,0.5770360794452932,0.00822658361734634
2020-10-06,491,0.821355,468,7,16,95.315682,1.425662,0.05770360794452932,1733,121557,0.5770360794452932,0.00822658361734634
2020-10-05,487,0,466,7,14,95.687885,1.437372,0.05723351745210953,1747,121557,0.5723351745210953,0.00822658361734634
2020-10-04,487,0,466,7,14,95.687885,1.437372,0.05723351745210953,1747,121557,0.5723351745210953,0.00822658361734634
2020-10-03,487,0.619835,466,7,14,95.687885,1.437372,0.05723351745210953,1747,121557,0.5723351745210953,0.00822658361734634
2020-10-02,484,0,466,7,11,96.280992,1.446281,0.05688094958279469,1758,121557,0.5688094958279469,0.00822658361734634
2020-10-01,484,1.043841,466,7,11,96.280992,1.446281,0.05688094958279469,1758,121557,0.5688094958279469,0.00822658361734634
2020-09-30,479,0,464,7,8,96.868476,1.461378,0.05629333646726995,1776,121557,0.5629333646726995,0.00822658361734634
2020-09-29,479,0.209205,464,7,8,96.868476,1.461378,0.05629333646726995,1776,121557,0.5629333646726995,0.00822658361734634
2020-09-28,478,0,458,7,13,95.8159,1.464435,0.056175813844165,1780,121557,0.56175813844165,0.00822658361734634
2020-09-27,478,0,458,7,13,95.8159,1.464435,0.056175813844165,1780,121557,0.56175813844165,0.00822658361734634
2020-09-26,478,0.843882,458,7,13,95.8159,1.464435,0.056175813844165,1780,121557,0.56175813844165,0.00822658361734634
2020-09-25,474,0,453,7,14,95.56962,1.476793,0.05570572335174521,1795,121557,0.5570572335174522,0.00822658361734634
2020-09-24,474,0.851064,453,7,14,95.56962,1.476793,0.05570572335174521,1795,121557,0.5570572335174522,0.00822658361734634
2020-09-23,470,0,453,7,10,96.382979,1.489362,0.05523563285932542,1810,121557,0.5523563285932542,0.00822658361734634
2020-09-22,470,0,453,7,10,96.382979,1.489362,0.05523563285932542,1810,121557,0.5523563285932542,0.00822658361734634
2020-09-21,470,0,450,7,13,95.744681,1.489362,0.05523563285932542,1810,121557,0.5523563285932542,0.00822658361734634
2020-09-20,470,0,450,7,13,95.744681,1.489362,0.05523563285932542,1810,121557,0.5523563285932542,0.00822658361734634
2020-09-19,470,0,450,7,13,95.744681,1.489362,0.05523563285932542,1810,121557,0.5523563285932542,0.00822658361734634
2020-09-18,470,0,449,7,14,95.531915,1.489362,0.05523563285932542,1810,121557,0.5523563285932542,0.00822658361734634
2020-09-17,470,0.642398,449,7,14,95.531915,1.489362,0.05523563285932542,1810,121557,0.5523563285932542,0.00822658361734634
2020-09-16,467,0,446,7,14,95.503212,1.498929,0.054883064990010576,1822,121557,0.5488306499001058,0.00822658361734634
2020-09-15,467,2.188184,446,7,14,95.503212,1.498929,0.054883064990010576,1822,121557,0.5488306499001058,0.00822658361734634
2020-09-14,457,0.219298,427,7,23,93.435449,1.531729,0.0537078387589611,1862,121557,0.537078387589611,0.00822658361734634
2020-09-13,456,0,415,7,34,91.008772,1.535088,0.05359031613585615,1866,121557,0.5359031613585615,0.00822658361734634
2020-09-12,456,0,415,7,34,91.008772,1.535088,0.05359031613585615,1866,121557,0.5359031613585615,0.00822658361734634
2020-09-11,456,0,415,7,34,91.008772,1.535088,0.05359031613585615,1866,121557,0.5359031613585615,0.00822658361734634
2020-09-10,456,0,415,7,34,91.008772,1.535088,0.05359031613585615,1866,121557,0.5359031613585615,0.00822658361734634
2020-09-09,456,0,415,7,34,91.008772,1.535088,0.05359031613585615,1866,121557,0.5359031613585615,0.00822658361734634
2020-09-08,456,0.884956,415,7,34,91.008772,1.535088,0.05359031613585615,1866,121557,0.5359031613585615,0.00822658361734634
2020-09-07,452,0,410,7,35,90.707965,1.548673,0.05312022564343636,1883,121557,0.5312022564343636,0.00822658361734634
2020-09-06,452,0,410,7,35,90.707965,1.548673,0.05312022564343636,1883,121557,0.5312022564343636,0.00822658361734634
2020-09-05,452,0.892857,410,7,35,90.707965,1.548673,0.05312022564343636,1883,121557,0.5312022564343636,0.00822658361734634
2020-09-04,448,0,410,7,31,91.517857,1.5625,0.05265013515101657,1899,121557,0.5265013515101657,0.00822658361734634
2020-09-03,448,4.918033,410,7,31,91.517857,1.5625,0.05265013515101657,1899,121557,0.5265013515101657,0.00822658361734634
2020-09-02,427,0,410,7,10,96.018735,1.639344,0.05018216006581267,1993,121557,0.5018216006581268,0.00822658361734634
2020-09-01,427,0.945626,410,7,10,96.018735,1.639344,0.05018216006581267,1993,121557,0.5018216006581268,0.00822658361734634
2020-08-31,423,0,399,7,17,94.326241,1.654846,0.04971206957339288,2012,121557,0.4971206957339288,0.00822658361734634
2020-08-30,423,0,399,7,17,94.326241,1.654846,0.04971206957339288,2012,121557,0.4971206957339288,0.00822658361734634
2020-08-29,423,0.236967,399,7,17,94.326241,1.654846,0.04971206957339288,2012,121557,0.4971206957339288,0.00822658361734634
2020-08-28,422,0,399,7,16,94.549763,1.658768,0.04959454695028793,2016,121557,0.4959454695028793,0.00822658361734634
2020-08-27,422,1.199041,399,7,16,94.549763,1.658768,0.04959454695028793,2016,121557,0.4959454695028793,0.00822658361734634
2020-08-26,417,0,399,7,11,95.683453,1.678657,0.04900693383476319,2041,121557,0.49006933834763194,0.00822658361734634
2020-08-25,417,0,399,7,11,95.683453,1.678657,0.04900693383476319,2041,121557,0.49006933834763194,0.00822658361734634
2020-08-24,417,0,396,7,14,94.964029,1.678657,0.04900693383476319,2041,121557,0.49006933834763194,0.00822658361734634
