"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-11-28,33824,1.345318,27542,523,5759,81.427389,1.546239,0.0660298719578021,1514,97945,0.660298719578021,0.010209798673702253
2020-11-27,33375,1.483869,27349,522,5504,81.944569,1.564045,0.06515335195694315,1535,98133,0.6515335195694315,0.010190277070119647
2020-11-26,32887,1.760629,27103,516,5268,82.412503,1.569009,0.06420069770211204,1558,99274,0.6420069770211204,0.01007314744862402
2020-11-25,32318,1.837088,26950,515,4853,83.390061,1.593539,0.06308991845826184,1585,99467,0.6308991845826183,0.010053625845041415
2020-11-24,31735,1.218384,26825,513,4397,84.528124,1.616512,0.061951808969395984,1614,99854,0.6195180896939598,0.010014582637876204
2020-11-23,31353,1.125661,26722,510,4121,85.229484,1.626639,0.061206083712540486,1634,100442,0.6120608371254048,0.009956017827128391
2020-11-22,31004,0.881788,26539,509,3956,85.598632,1.641724,0.06052477974750758,1652,100639,0.6052477974750757,0.009936496223545786
2020-11-21,30733,1.085419,26466,505,3762,86.115901,1.643185,0.05999574429041899,1667,101436,0.5999574429041898,0.009858409809215367
2020-11-20,30403,1.285938,26365,503,3535,86.718416,1.654442,0.05935153137219304,1685,101840,0.5935153137219303,0.009819366602050158
2020-11-19,30017,1.224118,26263,501,3253,87.493754,1.669054,0.0585979974739045,1707,102246,0.585979974739045,0.009780323394884948
2020-11-18,29654,1.170209,26098,498,3058,88.008363,1.679369,0.05788936326385594,1727,102862,0.5788936326385594,0.009721758584137135
2020-11-17,29311,1.079385,25973,496,2842,88.611784,1.692197,0.05721977226097261,1748,103277,0.572197722609726,0.009682715376971926
2020-11-16,28998,0.795996,25860,494,2644,89.178564,1.703566,0.056608746068837076,1767,103695,0.5660874606883708,0.009643672169806716
2020-11-15,28769,0.781195,25759,494,2516,89.537349,1.717126,0.056161701346795434,1781,103695,0.5616170134679542,0.009643672169806716
2020-11-14,28546,0.733997,25691,493,2362,89.998599,1.727037,0.05572636958690334,1794,103905,0.5572636958690335,0.00962415056622411
2020-11-13,28338,0.728682,25636,492,2210,90.4651,1.736185,0.055320320232385166,1808,104116,0.5532032023238517,0.009604628962641507
2020-11-12,28133,0.683559,25537,488,2108,90.772403,1.734618,0.05492012735894177,1821,104970,0.5492012735894177,0.009526542548311088
2020-11-11,27942,0.514407,25404,487,2051,90.916899,1.742896,0.05454726473051402,1833,105185,0.5454726473051402,0.009507020944728483
2020-11-10,27799,0.527972,25266,487,2046,90.888161,1.751862,0.054268105799282776,1843,105185,0.5426810579928277,0.009507020944728483
2020-11-09,27653,0.362937,25160,485,2008,90.984703,1.753878,0.05398309038697675,1852,105619,0.5398309038697674,0.009467977737563273
2020-11-08,27553,0.459401,25029,480,2044,90.839473,1.742097,0.0537878743511507,1859,106719,0.537878743511507,0.00937036971965025
2020-11-07,27427,0.524117,24968,478,1981,91.034382,1.742808,0.05354190214600988,1868,107166,0.5354190214600988,0.009331326512485041
2020-11-06,27284,0.327266,24910,477,1897,91.29893,1.748277,0.053262743214778634,1877,107391,0.5326274321477863,0.009311804908902436
2020-11-05,27195,0.536044,24821,476,1898,91.270454,1.750322,0.053089000942893455,1884,107616,0.5308900094289345,0.009292283305319832
2020-11-04,27050,0.464253,24735,475,1840,91.441774,1.756007,0.05280593769094569,1894,107843,0.5280593769094568,0.009272761701737227
2020-11-03,26925,0.440184,24616,474,1835,91.424327,1.760446,0.05256191764616313,1903,108070,0.5256191764616313,0.009253240098154623
2020-11-02,26807,0.280563,24510,472,1825,91.431343,1.760734,0.05233156272388839,1911,108528,0.5233156272388839,0.009214196890989413
2020-11-01,26732,0.364182,24395,468,1869,91.257669,1.750711,0.05218515069701886,1916,109456,0.5218515069701886,0.009136110476658995
2020-10-31,26635,0.46773,24357,466,1812,91.447344,1.749578,0.05199579114226759,1923,109926,0.5199579114226759,0.009097067269493785
2020-10-30,26511,0.477544,24311,464,1736,91.701558,1.750217,0.05175372325784329,1932,110399,0.5175372325784329,0.009058024062328576
2020-10-29,26385,0.433939,24227,463,1695,91.82111,1.754785,0.05150775105270247,1941,110638,0.5150775105270247,0.00903850245874597
2020-10-28,26271,0.478085,24168,462,1641,91.994975,1.758593,0.05128520477186078,1950,110877,0.5128520477186078,0.009018980855163367
2020-10-27,26146,0.3955,24073,461,1612,92.071445,1.763176,0.05104118472707822,1959,111118,0.5104118472707821,0.008999459251580761
2020-10-26,26043,0.339048,23981,460,1602,92.082325,1.76631,0.050840112210177396,1967,111359,0.5084011221017739,0.008979937647998157
2020-10-25,25955,0.460598,23905,457,1593,92.101715,1.76074,0.05066832209865047,1974,112090,0.5066832209865046,0.008921372837250342
