"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-12-14,186960,0.3666583,158705,2554,25701,84.887142,1.366068,1.0077945599793008,99,7264,10.077945599793006,0.13767155039511841
2020-12-13,186277,0.411831,157701,2552,26024,84.6594051,1.3700027,1.0041128971398385,100,7269,10.041128971398384,0.13756374182002434
2020-12-12,185513,0.5179971,156848,2552,26113,84.5482527,1.375645,0.9999946095712453,100,7269,9.999946095712453,0.13756374182002434
2020-12-11,184557,0.504819,156093,2551,25913,84.577123,1.3822288,0.9948413596817491,101,7272,9.94841359681749,0.13750983753247734
2020-12-10,183630,0.5326924,155338,2550,25742,84.592931,1.388662,0.9898444322261393,101,7275,9.898444322261392,0.1374559332449303
2020-12-09,182657,0.5150753,154432,2546,25679,84.5475399,1.3938694,0.9845995450478131,102,7286,9.84599545047813,0.13724031609474216
2020-12-08,181721,0.5221903,153432,2544,25745,84.4327293,1.3999483,0.979554103733411,102,7292,9.79554103733411,0.1371325075196481
2020-12-07,180777,0.3820333,152379,2490,25908,84.291143,1.377388,0.9744655389889711,103,7450,9.744655389889711,0.1342216759921084
2020-12-06,180089,0.415403,151755,2488,25846,84.2666681,1.3815391,0.9707569240057354,103,7456,9.707569240057353,0.13411386741701434
2020-12-05,179344,0.541547,151134,2488,25722,84.270452,1.387278,0.9667410545834816,103,7456,9.667410545834814,0.13411386741701434
2020-12-04,178378,0.559232,150271,2484,25623,84.243012,1.392548,0.9615339004064384,104,7468,9.615339004064383,0.13389825026682622
2020-12-03,177386,0.592031,149435,2438,25513,84.242838,1.374404,0.9561865950817728,105,7609,9.561865950817728,0.13141865303966277
2020-12-02,176342,0.442571,148732,2436,25174,84.342925,1.381407,0.9505589874618627,105,7616,9.505589874618627,0.1313108444645687
2020-12-01,175565,0.5740048,148043,2434,25088,84.323755,1.386381,0.9463706243194584,106,7622,9.463706243194583,0.13120303588947463
2020-11-30,174563,0.4603972,147425,2433,24705,84.4537502,1.3937661,0.9409694147072458,106,7625,9.409694147072457,0.1311491316019276
2020-11-29,173763,0.554382,146955,2433,24375,84.57209,1.400183,0.9366570717034833,107,7625,9.366570717034833,0.1311491316019276
2020-11-28,172805,0.58791,146549,2430,23826,84.805995,1.406209,0.9314930409564777,107,7634,9.314930409564775,0.13098741873928652
2020-11-27,171795,0.577842,146406,2429,22960,85.221339,1.413894,0.9260487079142274,108,7637,9.260487079142274,0.13093351445173948
2020-11-26,170808,0.577647,145673,2424,22711,85.284647,1.419137,0.9207283547333355,109,7653,9.207283547333354,0.13066399301400433
2020-11-25,169827,0.6066243,145028,2422,22377,85.3974927,1.426157,0.9154403441249717,109,7660,9.154403441249716,0.13055618443891026
2020-11-24,168803,0.847149,144463,2373,21967,85.580825,1.4057807,0.9099205450801556,110,7818,9.099205450801556,0.12791487434910573
2020-11-23,167385,0.0262936,142892,2372,22121,85.367267,1.417092,0.9022769171059866,111,7821,9.022769171059865,0.1278609700615587
2020-11-22,167341,0.524425,142865,2372,22104,85.3735785,1.4174649,0.9020397382407797,111,7821,9.020397382407795,0.1278609700615587
2020-11-21,166468,0.549656,142252,2370,21846,85.45306,1.423697,0.8973338939379238,111,7828,8.973338939379238,0.12775316148646462
2020-11-20,165558,0.595462,141764,2369,21425,85.627997,1.430918,0.892428603771144,112,7831,8.92428603771144,0.1276992571989176
2020-11-19,164578,0.607024,141297,2368,20913,85.854124,1.438831,0.8871459835915348,113,7834,8.871459835915347,0.12764535291137055
2020-11-18,163585,0.633632,140891,2366,20328,86.12709,1.446343,0.8817932878381146,113,7841,8.817932878381146,0.1275375443362765
2020-11-17,162555,0.435589,140469,2320,19766,86.413214,1.427209,0.8762411462207704,114,7996,8.762411462207703,0.12505794710911305
2020-11-16,161850,0.770802,139962,2319,19569,86.476367,1.432808,0.8724408939487047,115,8000,8.724408939487047,0.12500404282156602
2020-11-15,160612,0.535817,139500,2317,18795,86.855279,1.442607,0.8657675431503822,116,8007,8.65767543150382,0.12489623424647195
2020-11-14,159756,0.56845,139128,2315,18313,87.087809,1.449085,0.8611533361363563,116,8014,8.611533361363563,0.12478842567137789
2020-11-13,158853,0.516971,138691,2314,17848,87.3077625,1.4566927,0.8562857789708593,117,8017,8.562857789708593,0.12473452138383086
2020-11-12,158036,0.4928113,138309,2311,17416,87.517401,1.462325,0.8518817986782669,117,8027,8.518817986782668,0.12457280852118977
2020-11-11,157261,0.517734,137918,2267,17076,87.7000655,1.4415526,0.8477042163933719,118,8183,8.477042163933719,0.12220101986912038
2020-11-10,156451,0.368883,137590,2267,16594,87.9444682,1.449016,0.8433379691020624,119,8183,8.433379691020622,0.12220101986912038
2020-11-09,155876,0.422626,137307,2266,16303,88.087326,1.45372,0.840238472568108,119,8187,8.40238472568108,0.12214711558157335
2020-11-08,155220,0.582552,136981,2266,15973,88.249581,1.459863,0.8367023513050228,120,8187,8.367023513050228,0.12214711558157335
2020-11-07,154321,0.5040802,136747,2265,15309,88.6120489,1.4677199,0.8318563558545446,120,8190,8.318563558545446,0.12209321129402631
2020-11-06,153547,0.538222,136544,2263,14740,88.9265176,1.4738158,0.8276841639984044,121,8198,8.276841639984044,0.12198540271893225
2020-11-05,152725,0.462433,136275,2263,14187,89.229006,1.481748,0.8232532315620384,121,8198,8.232532315620384,0.12198540271893225
2020-11-04,152022,0.4632536,136038,2262,13722,89.485732,1.487943,0.8194637601474821,122,8201,8.19463760147482,0.12193149843138522
2020-11-03,151321,0.3035867,135729,2261,13331,89.6960766,1.4941746,0.8156850695904352,123,8205,8.156850695904351,0.1218775941438382
2020-11-02,150863,0.321186,135535,2227,13101,89.8397884,1.4761737,0.8132162532207812,123,8330,8.132162532207811,0.12004484836723912
2020-11-01,150380,0.4549129,135301,2227,12852,89.972736,1.480915,0.8106126761322595,123,8330,8.106126761322596,0.12004484836723912
2020-10-31,149699,0.424644,135110,2226,12363,90.2544439,1.4869839,0.8069417941503068,124,8334,8.069417941503067,0.11999094407969209
2020-10-30,149066,0.3953421,134997,2224,11845,90.561899,1.491957,0.8035296527485796,124,8341,8.035296527485796,0.11988313550459803
2020-10-29,148479,0.298574,134846,2222,11411,90.8182302,1.4965079,0.8003654710695689,125,8349,8.003654710695688,0.11977532692950396
2020-10-28,148037,0.285879,134675,2221,11141,90.9738782,1.5003006,0.7979829015599901,125,8353,7.9798290155999005,0.11972142264195693
2020-10-27,147615,0.1030767,134431,2191,10993,91.068658,1.484267,0.7957081406255053,126,8467,7.957081406255053,0.118104294015546
2020-10-26,147463,0.1126975,134297,2190,10976,91.0716587,1.4851183,0.7948887954547905,126,8471,7.948887954547904,0.11805038972799896
2020-10-25,147297,0.214312,134117,2189,10991,91.052092,1.4861131,0.7939939842815098,126,8475,7.939939842815097,0.11799648544045192
2020-10-24,146982,0.2243391,134060,2189,10733,91.208447,1.489298,0.7922959992237782,126,8475,7.922959992237782,0.11799648544045192
2020-10-23,146653,0.249508,133956,2187,10510,91.3421478,1.4912753,0.7905225481634809,126,8483,7.905225481634808,0.11788867686535787
2020-10-22,146288,0.220599,133856,2186,10246,91.501695,1.494313,0.7885550416680143,127,8486,7.885550416680142,0.11783477257781083
2020-10-21,145966,0.249308,133703,2184,10079,91.598728,1.496239,0.7868193236089999,127,8494,7.868193236089998,0.11772696400271676
2020-10-20,145603,0.0893637,133540,2155,9908,91.7151432,1.4800519,0.7848625979710426,127,8609,7.848625979710426,0.11616373966385285
2020-10-19,145473,0.105285,133368,2150,9955,91.678868,1.4779375,0.7841618422329312,128,8629,7.8416184223293115,0.1158942182261177
2020-10-18,145320,0.207559,133208,2149,9963,91.66529,1.478805,0.7833371066334617,128,8633,7.833371066334616,0.11584031393857067
2020-10-17,145019,0.1782248,133166,2148,9705,91.8265882,1.4811852,0.7817145875782959,128,8637,7.817145875782959,0.11578640965102363
2020-10-16,144761,0.300011,133039,2144,9578,91.9025152,1.4810619,0.7803238569595826,128,8653,7.803238569595825,0.1155707925008355
2020-10-15,144328,0.076273,132861,2141,9326,92.054903,1.483427,0.7779898013087961,129,8665,7.77989801308796,0.11540907963819441
2020-10-14,144218,0.280918,132503,2141,9574,91.876881,1.484558,0.7773968541457787,129,8665,7.773968541457787,0.11540907963819441
2020-10-13,143814,0.051482,132055,2116,9643,91.823466,1.471345,0.7752191209288787,129,8767,7.752191209288786,0.11406147244951863
2020-10-12,143740,0.075192,131879,2114,9747,91.748296,1.470711,0.7748202292010307,129,8775,7.748202292010306,0.11395366387442456
2020-10-11,143632,0.245673,131613,2113,9906,91.632088,1.471121,0.7742380628955227,129,8780,7.742380628955226,0.11389975958687754
2020-10-10,143280,0.234356,131552,2111,9617,91.814629,1.473339,0.7723406319738672,129,8788,7.723406319738672,0.11379195101178347
2020-10-09,142945,0.2440444,131482,2110,9353,91.980832,1.476092,0.7705348383410416,130,8792,7.705348383410416,0.11373804672423643
2020-10-08,142597,0.2516891,131330,2108,9159,92.0987118,1.478292,0.7686589691344049,130,8800,7.686589691344049,0.11363023814914237
2020-10-07,142239,0.236075,131111,2107,9021,92.1765479,1.4813096,0.7667291956402212,130,8805,7.667291956402211,0.11357633386159534
2020-10-06,141904,0.0423,130972,2085,8847,92.2962,1.469303,0.7649234020073956,131,8898,7.649234020073956,0.11239043953556065
2020-10-05,141844,0.067726,130874,2085,8885,92.266152,1.469925,0.7645999762821135,131,8898,7.645999762821134,0.11239043953556065
