"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-03-15,48,0,42,0,6,87.5,0,0.0006695027547248762,149365,,0.006695027547248762,0
2021-03-14,48,0,42,0,6,87.5,0,0.0006695027547248762,149365,,0.006695027547248762,0
2021-03-13,48,0,42,0,6,87.5,0,0.0006695027547248762,149365,,0.006695027547248762,0
2021-03-12,48,0,42,0,6,87.5,0,0.0006695027547248762,149365,,0.006695027547248762,0
2021-03-11,48,2.12766,42,0,6,87.5,0,0.0006695027547248762,149365,,0.006695027547248762,0
2021-03-10,47,0,42,0,5,89.361702,0,0.000655554780668108,152543,,0.00655554780668108,0
2021-03-09,47,0,42,0,5,89.361702,0,0.000655554780668108,152543,,0.00655554780668108,0
2021-03-08,47,0,42,0,5,89.361702,0,0.000655554780668108,152543,,0.00655554780668108,0
2021-03-07,47,0,42,0,5,89.361702,0,0.000655554780668108,152543,,0.00655554780668108,0
2021-03-06,47,0,42,0,5,89.361702,0,0.000655554780668108,152543,,0.00655554780668108,0
2021-03-05,47,4.444444,42,0,5,89.361702,0,0.000655554780668108,152543,,0.00655554780668108,0
2021-03-04,45,0,42,0,3,93.333333,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-03-03,45,0,42,0,3,93.333333,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-03-02,45,0,42,0,3,93.333333,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-03-01,45,0,42,0,3,93.333333,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-28,45,0,42,0,3,93.333333,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-27,45,0,42,0,3,93.333333,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-26,45,0,42,0,3,93.333333,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-25,45,0,42,0,3,93.333333,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-24,45,0,42,0,3,93.333333,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-23,45,0,42,0,3,93.333333,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-22,45,0,42,0,3,93.333333,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-21,45,0,41,0,4,91.111111,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-20,45,0,41,0,4,91.111111,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-19,45,0,41,0,4,91.111111,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-18,45,0,41,0,4,91.111111,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-17,45,0,41,0,4,91.111111,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-16,45,0,41,0,4,91.111111,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-15,45,0,41,0,4,91.111111,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-14,45,0,41,0,4,91.111111,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-13,45,0,41,0,4,91.111111,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-12,45,0,41,0,4,91.111111,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-11,45,0,41,0,4,91.111111,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-10,45,0,41,0,4,91.111111,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-09,45,0,41,0,4,91.111111,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-08,45,0,41,0,4,91.111111,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-07,45,0,41,0,4,91.111111,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-06,45,0,41,0,4,91.111111,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-05,45,0,41,0,4,91.111111,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-04,45,0,41,0,4,91.111111,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-03,45,2.272727,41,0,4,91.111111,0,0.0006276588325545714,159322,,0.006276588325545714,0
2021-02-02,44,0,41,0,3,93.181818,0,0.0006137108584978032,162943,,0.006137108584978032,0
2021-02-01,44,0,41,0,3,93.181818,0,0.0006137108584978032,162943,,0.006137108584978032,0
2021-01-31,44,0,41,0,3,93.181818,0,0.0006137108584978032,162943,,0.006137108584978032,0
2021-01-30,44,0,41,0,3,93.181818,0,0.0006137108584978032,162943,,0.006137108584978032,0
2021-01-29,44,0,41,0,3,93.181818,0,0.0006137108584978032,162943,,0.006137108584978032,0
2021-01-28,44,0,41,0,3,93.181818,0,0.0006137108584978032,162943,,0.006137108584978032,0
2021-01-27,44,0,41,0,3,93.181818,0,0.0006137108584978032,162943,,0.006137108584978032,0
2021-01-26,44,0,41,0,3,93.181818,0,0.0006137108584978032,162943,,0.006137108584978032,0
2021-01-25,44,7.317073,41,0,3,93.181818,0,0.0006137108584978032,162943,,0.006137108584978032,0
2021-01-24,41,0,41,0,0,100,0,0.0005718669363274985,174866,,0.005718669363274984,0
2021-01-23,41,0,41,0,0,100,0,0.0005718669363274985,174866,,0.005718669363274984,0
2021-01-22,41,0,41,0,0,100,0,0.0005718669363274985,174866,,0.005718669363274984,0
2021-01-21,41,0,41,0,0,100,0,0.0005718669363274985,174866,,0.005718669363274984,0
2021-01-20,41,0,41,0,0,100,0,0.0005718669363274985,174866,,0.005718669363274984,0
2021-01-19,41,0,41,0,0,100,0,0.0005718669363274985,174866,,0.005718669363274984,0
2021-01-18,41,0,41,0,0,100,0,0.0005718669363274985,174866,,0.005718669363274984,0
2021-01-17,41,0,41,0,0,100,0,0.0005718669363274985,174866,,0.005718669363274984,0
2021-01-16,41,0,41,0,0,100,0,0.0005718669363274985,174866,,0.005718669363274984,0
2021-01-15,41,0,41,0,0,100,0,0.0005718669363274985,174866,,0.005718669363274984,0
2021-01-14,41,0,41,0,0,100,0,0.0005718669363274985,174866,,0.005718669363274984,0
2021-01-13,41,0,40,0,1,97.560976,0,0.0005718669363274985,174866,,0.005718669363274984,0
2021-01-12,41,0,40,0,1,97.560976,0,0.0005718669363274985,174866,,0.005718669363274984,0
2021-01-11,41,0,40,0,1,97.560976,0,0.0005718669363274985,174866,,0.005718669363274984,0
2021-01-10,41,0,40,0,1,97.560976,0,0.0005718669363274985,174866,,0.005718669363274984,0
2021-01-09,41,0,40,0,1,97.560976,0,0.0005718669363274985,174866,,0.005718669363274984,0
2021-01-08,41,0,40,0,1,97.560976,0,0.0005718669363274985,174866,,0.005718669363274984,0
2021-01-07,41,0,40,0,1,97.560976,0,0.0005718669363274985,174866,,0.005718669363274984,0
