"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,178,1.136364,38,5,135,21.348315,2.808989,0.0008347519426741138,119796,4264740
2020-04-05,176,6.024096,33,5,138,18.75,2.840909,0.0008253727073631687,121157,4264740
2020-04-04,166,4.402516,27,5,134,16.26506,3.012048,0.0007784765308084432,128456,4264740
2020-04-03,159,5.298013,24,4,131,15.09434,2.515723,0.0007456492072201354,134111,5330925
2020-04-02,151,3.424658,21,4,126,13.907285,2.649007,0.000708132265976355,141217,5330925
2020-04-01,146,2.097902,21,3,122,14.383562,2.054795,0.0006846841776989922,146053,7107900
2020-03-31,143,17.213115,17,2,124,11.888112,1.398601,0.0006706153247325745,149117,10661850
2020-03-30,122,4.273504,15,2,105,12.295082,1.639344,0.000572133353967651,174784,10661850
2020-03-29,117,3.539823,11,1,105,9.401709,0.854701,0.0005486852656902883,182254,21323700
2020-03-28,113,6.603774,9,1,103,7.964602,0.884956,0.0005299267950683981,188705,21323700
2020-03-27,106,0,7,0,99,6.603774,0,0.0004970994714800902,201167,
2020-03-26,106,3.921569,7,0,99,6.603774,0,0.0004970994714800902,201167,
2020-03-25,102,0,3,0,99,2.941176,0,0.00047834100085820003,209056,
2020-03-24,102,5.154639,2,0,100,1.960784,0,0.00047834100085820003,209056,
2020-03-23,97,18.292683,2,0,95,2.061856,0,0.00045489291258083727,219832,
2020-03-22,82,6.493506,3,0,79,3.658537,0,0.000384548647748749,260045,
2020-03-21,77,5.479452,1,0,76,1.298701,0,0.0003611005594713863,276931,
2020-03-20,73,21.666667,3,0,70,4.109589,0,0.0003423420888494961,292105,
2020-03-19,60,17.647059,3,0,57,5,0,0.00028137705932835297,355395,
2020-03-18,51,15.909091,1,0,50,1.960784,0,0.00023917050042910002,418112,
2020-03-17,44,57.142857,1,0,43,2.272727,0,0.00020634317684079217,484630,
2020-03-16,28,55.555556,1,0,27,3.571429,0,0.00013130929435323138,761561,
2020-03-15,18,80,1,0,17,5.555556,0,8.441311779850589e-05,1184650,
2020-03-14,10,66.666667,1,0,9,10,0,4.689617655472549e-05,2132370,
2020-03-13,6,200,1,0,5,16.666667,0,2.8137705932835295e-05,3553950,
2020-03-12,2,0,1,0,1,50,0,9.3792353109451e-06,10661850,
2020-03-11,2,100,1,0,1,50,0,9.3792353109451e-06,10661850,
2020-03-10,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-03-09,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-03-08,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-03-07,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-03-06,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-03-05,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-03-04,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-03-03,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-03-02,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-03-01,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-02-29,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-02-28,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-02-27,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-02-26,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-02-25,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-02-24,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-02-23,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-02-22,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-02-21,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-02-20,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-02-19,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-02-18,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-02-17,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-02-16,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-02-15,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-02-14,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-02-13,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-02-12,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-02-11,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-02-10,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-02-09,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-02-08,1,0,1,0,0,100,0,4.68961765547255e-06,21323700,
2020-02-07,1,0,0,0,1,0,0,4.68961765547255e-06,21323700,
2020-02-06,1,0,0,0,1,0,0,4.68961765547255e-06,21323700,
2020-02-05,1,0,0,0,1,0,0,4.68961765547255e-06,21323700,
2020-02-04,1,0,0,0,1,0,0,4.68961765547255e-06,21323700,
2020-02-03,1,0,0,0,1,0,0,4.68961765547255e-06,21323700,
2020-02-02,1,0,0,0,1,0,0,4.68961765547255e-06,21323700,
2020-02-01,1,0,0,0,1,0,0,4.68961765547255e-06,21323700,
2020-01-31,1,0,0,0,1,0,0,4.68961765547255e-06,21323700,
2020-01-30,1,0,0,0,1,0,0,4.68961765547255e-06,21323700,
2020-01-29,1,0,0,0,1,0,0,4.68961765547255e-06,21323700,
2020-01-28,1,0,0,0,1,0,0,4.68961765547255e-06,21323700,
2020-01-27,1,,0,0,1,0,0,4.68961765547255e-06,21323700,

