"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-03-15,205644,0.126105,191324,3410,10910,93.03651,1.658205,7.451949557906943,13,809,74.51949557906943,1.23568633135237
2021-03-14,205385,0.2102911,191277,3396,10712,93.130949,1.65348,7.442564139730396,13,813,74.42564139730396,1.23061313233802
2021-03-13,204954,0.292627,191197,3389,10368,93.2877621,1.6535418,7.426945934193362,13,814,74.26945934193361,1.2280765328308452
2021-03-12,204356,0.178438,190234,3373,10749,93.08951,1.650551,7.405276126974924,14,818,74.05276126974924,1.2222785911001595
2021-03-11,203992,0.2979556,190131,3363,10498,93.205126,1.648594,7.3920858095376145,14,821,73.92085809537615,1.218654877518481
2021-03-10,203386,0.239527,189479,3351,10556,93.1622629,1.647606,7.370126105232642,14,824,73.70126105232643,1.2143064212204668
2021-03-09,202900,0.232179,189070,3341,10489,93.183834,1.646624,7.352514857225685,14,826,73.52514857225685,1.2106827076387883
2021-03-08,202430,0.1068175,188245,3336,10849,92.992639,1.647977,7.3354834033917955,14,827,73.35483403391797,1.208870850847949
2021-03-07,202214,0.2056502,188191,3328,10695,93.0652675,1.6457812,7.32765618205537,14,829,73.27656182055371,1.2059718799826062
2021-03-06,201799,0.230462,188103,3321,10375,93.2130486,1.645697,7.312617770691404,14,831,73.12617770691405,1.2034352804754314
2021-03-05,201335,0.2175233,187162,3303,10870,92.960489,1.640549,7.295803739672416,14,835,72.95803739672417,1.19691259602841
2021-03-04,200898,0.2730208,186737,3294,10867,92.9511493,1.639638,7.279968111320481,14,838,72.79968111320481,1.1936512538048993
2021-03-03,200351,0.26323,186209,3281,10861,92.9413879,1.637626,7.2601463980286995,14,841,72.601463980287,1.1889404261487173
2021-03-02,199825,0.214145,185770,3263,10792,92.966346,1.632929,7.241085664589071,14,846,72.41085664589072,1.182417741701696
2021-03-01,199398,0.127043,184848,3253,11297,92.703036,1.631411,7.225612407595304,14,848,72.25612407595304,1.1787940281200173
2021-02-28,199145,0.9131309,184785,3244,11116,92.789174,1.628964,7.216444412233657,14,851,72.16444412233658,1.1755326858965067
2021-02-27,197343,0.331995,183324,3234,10785,92.896125,1.638771,7.15114509349181,14,853,71.5114509349181,1.1719089723148284
2021-02-26,196690,0.3269591,182263,3225,11202,92.665108,1.639636,7.12748224380345,14,856,71.2748224380345,1.1686476300913176
2021-02-25,196049,0.2905653,181809,3209,11031,92.7365098,1.6368357,7.104254239744891,14,860,71.04254239744891,1.162849688360632
2021-02-24,195481,0.3325925,181230,3200,11051,92.7097774,1.6369877,7.083671546600956,14,862,70.83671546600957,1.1595883461371213
2021-02-23,194833,0.2572903,180640,3189,11004,92.7152998,1.6367864,7.06018988259168,14,865,70.6018988259168,1.155602261197275
2021-02-22,194333,0.1453226,179624,3178,11531,92.4310333,1.6353373,7.042071314683287,14,868,70.42071314683288,1.1516161762574286
2021-02-21,194051,0.252632,179509,3171,11371,92.506094,1.6341065,7.031852442382954,14,870,70.31852442382954,1.1490795767502537
2021-02-20,193562,0.298467,179364,3162,11036,92.664883,1.633585,7.014132482968546,14,873,70.14132482968546,1.1458182345267431
2021-02-19,192986,0.4126061,178126,3145,11715,92.29996,1.629652,6.993259892738078,14,877,69.93259892738078,1.1396579214378897
