"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,2843,1.39087,500,41,2302,17.587056,1.442139,0.4617508526879974,217,15017
2020-04-05,2804,2.748259,500,36,2268,17.831669,1.28388,0.45541659899301606,220,17103
2020-04-04,2729,4.479326,500,31,2198,18.32173,1.135947,0.44323534188728275,226,19861
2020-04-03,2612,5.026136,500,31,2081,19.14242,1.18683,0.4242325808023388,236,19861
2020-04-02,2487,7.244502,80,30,2377,3.216727,1.206273,0.4039304856261166,248,20523
2020-04-01,2319,6.473829,80,29,2210,3.449763,1.250539,0.376644469709274,266,21231
2020-03-31,2178,9.557344,80,23,2075,3.673095,1.056015,0.35374370635049535,283,26770
2020-03-30,1988,1.948718,40,22,1926,2.012072,1.10664,0.32288452168263765,310,27986
2020-03-29,1950,6.499181,40,21,1889,2.051282,1.076923,0.3167126847490661,316,29319
2020-03-28,1831,14.080997,40,18,1773,2.184599,0.983069,0.2973850901413026,336,34206
2020-03-27,1605,10.461115,40,15,1550,2.492212,0.934579,0.2606789020626929,384,41047
2020-03-26,1453,9.002251,6,9,1438,0.412939,0.619408,0.23599155432840668,424,68411
2020-03-25,1333,21.292084,6,8,1319,0.450113,0.60015,0.2165015429592334,462,76963
2020-03-24,1099,25.6,6,8,1085,0.545951,0.727934,0.17849602078934546,560,76963
2020-03-23,875,9.649123,6,8,861,0.685714,0.914286,0.14211466623355531,704,76963
2020-03-22,798,19.104478,6,8,784,0.75188,1.002506,0.12960857560500244,772,76963
2020-03-21,670,38.429752,0,8,662,0,1.19403,0.10881923014455092,919,76963
2020-03-20,484,44.477612,0,4,480,0,0.826446,0.0786097125223323,1272,153925
2020-03-19,335,65.024631,0,4,331,0,1.19403,0.05440961507227546,1838,153925
2020-03-18,203,45,0,2,201,0,0.985222,0.03297060256618483,3033,307850
2020-03-17,140,81.818182,0,1,139,0,0.714286,0.02273834659736885,4398,615700
2020-03-16,77,30.508475,0,1,76,0,1.298701,0.012506090628552867,7996,615700
2020-03-15,59,15.686275,0,1,58,0,1.694915,0.009582588923176871,10436,615700
2020-03-14,51,50,0,1,50,0,1.960784,0.008283254831898653,12073,615700
2020-03-13,34,78.947368,0,0,34,0,0,0.0055221698879324346,18109,
2020-03-12,19,171.428571,0,0,19,0,0,0.0030859184667857724,32405,
2020-03-11,7,40,0,0,7,0,0,0.0011369173298684423,87957,
2020-03-10,5,66.666667,0,0,5,0,0,0.0008120838070488875,123140,
2020-03-09,3,0,0,0,3,0,0,0.00048725028422933245,205233,
2020-03-08,3,50,0,0,3,0,0,0.00048725028422933245,205233,
2020-03-07,2,0,0,0,2,0,0,0.00032483352281955497,307850,
2020-03-06,2,100,0,0,2,0,0,0.00032483352281955497,307850,
2020-03-05,1,0,0,0,1,0,0,0.00016241676140977748,615700,
2020-03-04,1,0,0,0,1,0,0,0.00016241676140977748,615700,
2020-03-03,1,0,0,0,1,0,0,0.00016241676140977748,615700,
2020-03-02,1,0,0,0,1,0,0,0.00016241676140977748,615700,
2020-03-01,1,0,0,0,1,0,0,0.00016241676140977748,615700,
2020-02-29,1,,0,0,1,0,0,0.00016241676140977748,615700,

