"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-11-13,540,1.503759,426,2,112,78.888889,0.37037,1.3846153846153846,72,19500,13.846153846153847,0.05128205128205128
2020-11-12,532,1.526718,408,2,122,76.691729,0.37594,1.3641025641025641,73,19500,13.64102564102564,0.05128205128205128
2020-11-11,524,2.34375,390,2,132,74.427481,0.381679,1.3435897435897435,74,19500,13.435897435897436,0.05128205128205128
2020-11-10,512,4.489796,378,2,132,73.828125,0.390625,1.3128205128205128,76,19500,13.128205128205128,0.05128205128205128
2020-11-09,490,0.823045,369,2,119,75.306122,0.408163,1.2564102564102564,80,19500,12.564102564102564,0.05128205128205128
2020-11-08,486,0.621118,345,2,139,70.987654,0.411523,1.2461538461538462,80,19500,12.461538461538462,0.05128205128205128
2020-11-07,483,6.387665,331,2,150,68.530021,0.414079,1.2384615384615385,81,19500,12.384615384615385,0.05128205128205128
2020-11-06,454,5.581395,331,2,121,72.907489,0.440529,1.1641025641025642,86,19500,11.64102564102564,0.05128205128205128
2020-11-05,430,4.368932,318,2,110,73.953488,0.465116,1.1025641025641026,91,19500,11.025641025641026,0.05128205128205128
2020-11-04,412,3.778338,293,2,117,71.116505,0.485437,1.0564102564102564,95,19500,10.564102564102564,0.05128205128205128
2020-11-03,397,5.866667,293,2,102,73.803526,0.503778,1.0179487179487179,98,19500,10.179487179487179,0.05128205128205128
2020-11-02,375,2.459016,281,2,92,74.933333,0.533333,0.9615384615384616,104,19500,9.615384615384615,0.05128205128205128
2020-11-01,366,1.949861,274,2,90,74.863388,0.546448,0.9384615384615385,107,19500,9.384615384615385,0.05128205128205128
2020-10-31,359,1.126761,273,2,84,76.044568,0.557103,0.9205128205128205,109,19500,9.205128205128204,0.05128205128205128
2020-10-30,355,2.305476,273,2,80,76.901408,0.56338,0.9102564102564102,110,19500,9.102564102564102,0.05128205128205128
2020-10-29,347,2.967359,264,2,81,76.080692,0.576369,0.8897435897435897,112,19500,8.897435897435898,0.05128205128205128
2020-10-28,337,5.3125,256,2,79,75.964392,0.593472,0.8641025641025641,116,19500,8.64102564102564,0.05128205128205128
2020-10-27,320,3.225806,256,2,62,80,0.625,0.8205128205128205,122,19500,8.205128205128204,0.05128205128205128
2020-10-26,310,1.30719,250,2,58,80.645161,0.645161,0.7948717948717948,126,19500,7.948717948717949,0.05128205128205128
2020-10-25,306,3.378378,244,2,60,79.738562,0.653595,0.7846153846153846,127,19500,7.846153846153846,0.05128205128205128
2020-10-24,296,0.338983,244,2,50,82.432432,0.675676,0.7589743589743589,132,19500,7.589743589743589,0.05128205128205128
2020-10-23,295,4.982206,241,2,52,81.694915,0.677966,0.7564102564102564,132,19500,7.564102564102564,0.05128205128205128
2020-10-22,281,2.930403,233,2,46,82.918149,0.711744,0.7205128205128205,139,19500,7.205128205128205,0.05128205128205128
2020-10-21,273,0.738007,231,2,40,84.615385,0.732601,0.7,143,19500,7,0.05128205128205128
2020-10-20,271,1.119403,227,2,42,83.763838,0.738007,0.6948717948717948,144,19500,6.948717948717949,0.05128205128205128
2020-10-19,268,1.132075,222,2,44,82.835821,0.746269,0.6871794871794872,146,19500,6.871794871794871,0.05128205128205128
2020-10-18,265,1.923077,217,2,46,81.886792,0.754717,0.6794871794871795,147,19500,6.794871794871795,0.05128205128205128
2020-10-17,260,1.960784,217,2,41,83.461538,0.769231,0.6666666666666666,150,19500,6.666666666666667,0.05128205128205128
2020-10-16,255,0.790514,217,2,36,85.098039,0.784314,0.6538461538461539,153,19500,6.538461538461538,0.05128205128205128
2020-10-15,253,2.016129,217,2,34,85.770751,0.790514,0.6487179487179487,154,19500,6.487179487179487,0.05128205128205128
2020-10-14,248,2.904564,217,2,29,87.5,0.806452,0.6358974358974359,157,19500,6.358974358974359,0.05128205128205128
2020-10-13,241,2.118644,217,2,22,90.041494,0.829876,0.617948717948718,162,19500,6.17948717948718,0.05128205128205128
2020-10-12,236,0.854701,213,2,21,90.254237,0.847458,0.6051282051282051,165,19500,6.051282051282051,0.05128205128205128
2020-10-11,234,0.429185,209,2,23,89.316239,0.854701,0.6,167,19500,6,0.05128205128205128
2020-10-10,233,0,209,2,22,89.699571,0.858369,0.5974358974358974,167,19500,5.9743589743589745,0.05128205128205128
2020-10-09,233,1.746725,209,2,22,89.699571,0.858369,0.5974358974358974,167,19500,5.9743589743589745,0.05128205128205128
2020-10-08,229,0.881057,207,2,20,90.393013,0.873362,0.5871794871794872,170,19500,5.871794871794871,0.05128205128205128
2020-10-07,227,1.339286,202,2,23,88.986784,0.881057,0.5820512820512821,172,19500,5.82051282051282,0.05128205128205128
2020-10-06,224,0.44843,198,2,24,88.392857,0.892857,0.5743589743589743,174,19500,5.743589743589744,0.05128205128205128
2020-10-05,223,0.45045,193,2,28,86.547085,0.896861,0.5717948717948718,175,19500,5.717948717948718,0.05128205128205128
2020-10-04,222,0,189,2,31,85.135135,0.900901,0.5692307692307692,176,19500,5.6923076923076925,0.05128205128205128
