"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-09-02,37740,1.4298,26189,1024,10527,69.393217,2.713302,0.933395988425296,107,3949,9.33395988425296,0.2532584769866198
2020-09-01,37208,0.780065,25872,1008,10328,69.533434,2.709095,0.9202384191131006,109,4011,9.202384191131005,0.24930131328370386
2020-08-31,36920,0.599455,25872,995,10053,70.07584,2.695016,0.9131155244478519,110,4064,9.131155244478519,0.24608611777508466
2020-08-30,36700,0.813097,25139,992,10569,68.498638,2.702997,0.9076744243563425,110,4076,9.076744243563425,0.24534414958078793
2020-08-29,36404,1.392602,25139,990,10275,69.055598,2.719481,0.900353671505948,111,4084,9.00353671505948,0.24484950411792344
2020-08-28,35904,1.007146,24156,981,10767,67.279412,2.732286,0.8879875349343357,113,4122,8.879875349343356,0.24262359953503324
2020-08-27,35546,1.612258,24156,977,10413,67.957013,2.748551,0.8791333811490613,114,4138,8.791333811490613,0.24163430860930424
2020-08-26,34982,1.816171,24156,967,9859,69.052656,2.764279,0.8651843790962827,116,4181,8.651843790962825,0.2391610812949818
2020-08-25,34358,1.566749,23869,960,9529,69.471448,2.794109,0.8497514406549105,118,4212,8.497514406549104,0.23742982217495606
2020-08-24,33828,1.045463,23570,945,9313,69.676008,2.793544,0.8366433358890014,120,4279,8.366433358890013,0.23371998120347237
2020-08-23,33478,1.227625,22683,940,9855,67.754944,2.807814,0.8279870402888728,121,4301,8.279870402888728,0.23248336754631113
2020-08-22,33072,1.810122,22683,935,9454,68.58672,2.827165,0.8179457373927237,122,4324,8.179457373927237,0.23124675388914992
2020-08-21,32484,1.712747,22683,929,8872,69.828223,2.859869,0.8034031607845076,124,4352,8.034031607845076,0.22976281750055644
2020-08-20,31937,1.661627,21885,921,9131,68.525535,2.883802,0.7898746073751638,127,4390,7.898746073751637,0.22778423564909847
2020-08-19,31415,2.033194,21885,914,8616,69.664173,2.909438,0.7769643607944006,129,4424,7.769643607944005,0.22605297652907275
2020-08-18,30789,1.356289,21885,908,7996,71.080581,2.949105,0.7614819578067419,131,4453,7.614819578067419,0.22456904014047926
2020-08-17,30377,0.642746,21220,908,8249,69.855483,2.989104,0.7512922612717334,133,4453,7.512922612717333,0.22456904014047926
2020-08-16,30183,0.92961,21220,896,8067,70.304476,2.968558,0.7464942002819478,134,4513,7.464942002819478,0.22160116736329233
2020-08-15,29905,1.431333,20908,895,8102,69.91473,2.992811,0.7396186283481314,135,4518,7.396186283481313,0.22135384463186009
2020-08-14,29483,1.361433,20556,884,8043,69.721534,2.998338,0.7291816090816906,137,4574,7.291816090816906,0.21863329458610536
2020-08-13,29087,1.359027,20276,878,7933,69.708117,3.018531,0.7193876289169737,139,4605,7.1938762891697365,0.2171493581975119
2020-08-12,28697,1.679481,19998,863,7836,69.686727,3.007283,0.709742042391116,141,4685,7.097420423911161,0.21343951722602822
2020-08-11,28223,1.372077,19740,857,7626,69.942954,3.03653,0.6980189449212276,143,4718,6.980189449212276,0.21195558083743474
2020-08-10,27841,0.654375,19300,850,7691,69.322223,3.053051,0.6885712165805158,145,4757,6.885712165805158,0.210224321717409
2020-08-09,27660,0.79073,19300,845,7515,69.77585,3.054953,0.6840946751415922,146,4785,6.840946751415921,0.20898770806024777
2020-08-08,27443,1.678399,19100,841,7502,69.598805,3.064534,0.6787277718695125,147,4808,6.787277718695124,0.2079984171345188
2020-08-07,26990,1.359471,18918,835,7237,70.092627,3.093738,0.6675240521356317,150,4842,6.675240521356317,0.20651448074592532
2020-08-06,26628,1.548318,18676,828,7124,70.136698,3.109509,0.6585709692577844,152,4883,6.5857096925778436,0.2047832216258996
2020-08-05,26222,1.580538,18167,823,7232,69.281519,3.138586,0.6485296663616352,154,4913,6.485296663616352,0.20354660796873839
2020-08-04,25814,1.30288,18167,810,6837,70.37654,3.137832,0.6384388989191996,157,4992,6.384388989191995,0.20033141246011918
2020-08-03,25482,0.473149,17942,800,6740,70.410486,3.139471,0.6302277842356491,159,5054,6.30227784235649,0.19785818514579673
2020-08-02,25362,0.991518,17816,791,6755,70.246826,3.118839,0.627259911458462,159,5112,6.2725991145846205,0.19563228056290652
