"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-08-07,12708,1.452978,10412,135,2161,81.932641,1.062323,0.047120244129436065,2122,199773,0.4712024412943606,0.00500569165680978
2020-08-06,12526,2.487318,10148,134,2244,81.015488,1.069775,0.04644540273570319,2153,201263,0.4644540273570319,0.00496861245935193
2020-08-05,12222,2.749054,9798,127,2297,80.166912,1.03911,0.04531819513298454,2207,212357,0.45318195132984546,0.004709058077146978
2020-08-04,11895,2.015437,9286,123,2486,78.066414,1.034048,0.04410570537611284,2267,219263,0.4410570537611284,0.004560741287315578
2020-08-03,11660,1.145038,8825,118,2717,75.686106,1.012007,0.04323434423585336,2313,228553,0.4323434423585336,0.004375345300026326
2020-08-02,11528,2.262042,8444,114,2970,73.247745,0.988897,0.04274489882940974,2339,236573,0.4274489882940974,0.004227028510194925
2020-08-01,11273,3.726537,8109,107,3057,71.932937,0.949171,0.04179937929423456,2392,252050,0.41799379294234557,0.003967474127989974
2020-07-31,10868,1.116487,7807,106,2955,71.834744,0.97534,0.04029767179719162,2482,254427,0.40297671797191625,0.003930394930532124
2020-07-30,10748,4.177571,7461,105,3182,69.417566,0.976926,0.03985272142769742,2509,256850,0.3985272142769742,0.0038933157330742737
2020-07-29,10317,2.108076,7117,99,3101,68.983232,0.959581,0.038254608017264075,2614,272417,0.38254608017264075,0.003670840548327172
2020-07-28,10104,4.272446,6613,93,3398,65.449327,0.920428,0.03746482111141186,2669,289992,0.37464821111411867,0.0034483653635800707
2020-07-27,9690,4.249597,6260,91,3339,64.602683,0.939112,0.03592974233665686,2783,296366,0.35929742336656867,0.0033742069686643703
2020-07-26,9295,4.83871,5579,85,3631,60.021517,0.91447,0.03446511403707178,2901,317286,0.3446511403707178,0.003151731783917269
2020-07-25,8866,1.430042,5579,78,3209,62.925784,0.879765,0.032874416466130006,3042,345760,0.3287441646613001,0.0028921774017123176
2020-07-24,8741,4.29543,5522,76,3143,63.17355,0.869466,0.03241092649790688,3085,354859,0.3241092649790688,0.002818019006796617
2020-07-23,8381,2.683166,5160,70,3151,61.567832,0.835223,0.031076075389424272,3218,385276,0.31076075389424274,0.0025955438220495158
2020-07-22,8162,8.134605,4662,69,3431,57.118353,0.845381,0.03026404096509735,3304,390859,0.3026404096509735,0.0025584646245916656
2020-07-21,7548,5.522159,4286,65,3197,56.783254,0.861155,0.027987378241185346,3573,414912,0.2798737824118535,0.0024101478347602645
2020-07-20,7153,1.475387,3788,62,3303,52.956801,0.866769,0.026522749941600265,3770,434989,0.26522749941600265,0.002298910242386714
2020-07-19,7049,2.920134,3498,59,3492,49.62406,0.836998,0.02613712628803862,3826,457107,0.2613712628803862,0.002187672650013163
2020-07-18,6849,5.906912,3339,55,3455,48.751643,0.803037,0.025395542338881617,3938,490351,0.25395542338881616,0.0020393558601817623
2020-07-17,6467,6.207916,3108,54,3305,48.059378,0.835009,0.02397911699599174,4170,499431,0.2397911699599174,0.002002276662723912
2020-07-16,6089,8.635147,2951,53,3085,48.464444,0.870422,0.022577523332085,4429,508855,0.22577523332085,0.001965197465266062
2020-07-15,5605,4.903612,2811,43,2751,50.15165,0.767172,0.020782890175125048,4812,627193,0.2078289017512505,0.0015944054906875595
2020-07-14,5343,5.177165,2646,39,2658,49.52274,0.729927,0.019811415201729375,5048,691521,0.19811415201729374,0.0014460887008561588
2020-07-13,5080,4.376413,2494,37,2549,49.094488,0.728346,0.018836232308587914,5309,728900,0.18836232308587914,0.0013719303059404582
2020-07-12,4867,6.3128,2378,35,2454,48.859667,0.719129,0.018046445402735704,5541,770551,0.18046445402735703,0.0012977719110247579
2020-07-11,4578,10.499638,2287,34,2257,49.956313,0.742682,0.016974856596203833,5891,793215,0.16974856596203833,0.0012606927135669075
2020-07-10,4143,9.545214,2183,34,1926,52.691287,0.820661,0.015361911506787347,6510,793215,0.15361911506787349,0.0012606927135669075
2020-07-09,3782,5.849426,1950,33,1799,51.560021,0.872554,0.014023352478558954,7131,817252,0.14023352478558954,0.0012236135161090573
2020-07-08,3573,2.908986,1761,33,1779,49.286314,0.923594,0.013248397251689885,7548,817252,0.13248397251689883,0.0012236135161090573
2020-07-07,3472,6.830769,1187,33,2252,34.187788,0.950461,0.012873897357365598,7768,817252,0.12873897357365596,0.0012236135161090573
2020-07-06,3250,10.50663,1135,33,2082,34.923077,1.015385,0.012050739173801322,8298,817252,0.12050739173801323,0.0012236135161090573
2020-07-05,2941,7.807918,1108,32,1801,37.67426,1.088065,0.01090499197235375,9170,842791,0.1090499197235375,0.0011865343186512071
2020-07-04,2728,8.598726,1078,29,1621,39.516129,1.06305,0.01011520506650154,9886,929976,0.10115205066501541,0.0010752967262776564
2020-07-03,2512,4.535997,1057,26,1429,42.078025,1.035032,0.009314294401411976,10736,1037281,0.09314294401411977,0.0009640591339041058
2020-07-02,2403,4.342162,1040,24,1339,43.279234,0.998752,0.008910131149121408,11223,1123721,0.08910131149121409,0.0008899007389884054
2020-07-01,2303,4.019874,1006,22,1275,43.682154,0.955276,0.008539339174542906,11711,1225877,0.08539339174542906,0.000815742344072705
2020-06-30,2214,3.554724,994,20,1200,44.896116,0.903342,0.008209334317168039,12181,1348465,0.08209334317168039,0.0007415839491570045
2020-06-29,2138,2.887392,966,20,1152,45.182413,0.935454,0.007927532416488378,12614,1348465,0.07927532416488378,0.0007415839491570045
2020-06-28,2078,3.640898,944,18,1116,45.428296,0.866218,0.007705057231741276,12978,1498294,0.07705057231741276,0.000667425554241304
2020-06-27,2005,4.318418,907,16,1082,45.236908,0.798005,0.007434379090298969,13451,1685581,0.0743437909029897,0.0005932671593256036
2020-06-26,1922,5.084746,862,16,1044,44.849116,0.832466,0.007126621751398813,14032,1685581,0.07126621751398812,0.0005932671593256036
2020-06-25,1829,2.350308,823,16,990,44.997266,0.874795,0.006781785215040806,14745,1685581,0.06781785215040806,0.0005932671593256036
2020-06-24,1787,3.654292,779,16,992,43.592613,0.895355,0.006626052585717835,15092,1685581,0.06626052585717834,0.0005932671593256036
2020-06-23,1724,5.121951,732,15,977,42.459397,0.87007,0.0063924536417333784,15643,1797953,0.06392453641733378,0.0005561879618677534
2020-06-22,1640,2.756892,692,15,933,42.195122,0.914634,0.006080988383087437,16445,1797953,0.060809883830874364,0.0005561879618677534
2020-06-21,1596,6.187625,655,14,927,41.0401,0.877193,0.0059178399142728955,16898,1926379,0.05917839914272895,0.0005191087644099031
2020-06-20,1503,4.158004,618,13,872,41.117764,0.864937,0.005573003377914889,17944,2074562,0.05573003377914888,0.0004820295669520529
2020-06-19,1443,2.851033,498,13,932,34.511435,0.900901,0.005350528193167787,18690,2074562,0.053505281931677875,0.0004820295669520529
