"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-19,1207,3.162393,179,51,977,14.830157,4.225352,0.057931365490760736,1726,40853,0.5793136549076074,0.024478041756659467
2020-04-18,1170,4.744852,164,49,957,14.017094,4.188034,0.056155507559395246,1781,42520,0.5615550755939525,0.02351811855051596
2020-04-17,1117,3.33025,139,49,929,12.444047,4.38675,0.05361171106311495,1865,42520,0.5361171106311495,0.02351811855051596
2020-04-16,1081,10.985626,121,46,914,11.19334,4.255319,0.05188384929205664,1927,45293,0.5188384929205664,0.022078233741300697
2020-04-15,974,7.268722,98,45,831,10.061602,4.620123,0.04674826013918886,2139,46300,0.46748260139188863,0.02159827213822894
2020-04-14,908,6.323185,86,44,778,9.471366,4.845815,0.04358051355891528,2295,47352,0.43580513558915285,0.021118310535157187
2020-04-13,854,3.140097,44,38,772,5.152225,4.449649,0.040988720902327816,2440,54829,0.40988720902327813,0.01823854091672666
2020-04-12,828,8.947368,41,34,753,4.951691,4.10628,0.03974082073434125,2516,61279,0.39740820734341253,0.016318694504439644
2020-04-11,760,6.891702,41,34,685,5.394737,4.473684,0.03647708183345332,2741,61279,0.36477081833453323,0.016318694504439644
2020-04-10,711,7.239819,41,32,638,5.766526,4.500703,0.03412526997840173,2930,65109,0.3412526997840173,0.015358771298296136
2020-04-09,663,7.455429,37,30,596,5.580694,4.524887,0.031821454283657305,3143,69450,0.3182145428365731,0.014398848092152628
2020-04-08,617,3.005008,35,29,553,5.672609,4.700162,0.029613630909527237,3377,71845,0.2961363090952724,0.013918886489080873
2020-04-07,599,5.087719,30,26,543,5.008347,4.340568,0.02874970002399808,3478,80135,0.2874970002399808,0.01247900167986561
2020-04-06,570,2.702703,30,23,517,5.263158,4.035088,0.027357811375089993,3655,90587,0.2735781137508999,0.011039116870650349
2020-04-05,555,14.906832,23,18,514,4.144144,3.243243,0.02663786897048236,3754,115750,0.2663786897048236,0.008639308855291577
2020-04-04,483,12.325581,20,17,446,4.140787,3.519669,0.02318214542836573,4314,122559,0.2318214542836573,0.008159347252219822
2020-04-03,430,11.979167,20,12,398,4.651163,2.790698,0.020638348932085434,4845,173625,0.20638348932085432,0.005759539236861051
2020-04-02,384,8.474576,17,11,356,4.427083,2.864583,0.018430525557955362,5426,189409,0.18430525557955363,0.005279577633789297
2020-04-01,354,7.598784,17,11,326,4.80226,3.107345,0.016990640748740102,5886,189409,0.16990640748740102,0.005279577633789297
2020-03-31,329,15.438596,12,9,308,3.647416,2.735562,0.015790736741060716,6333,231500,0.15790736741060715,0.004319654427645789
2020-03-30,285,10.03861,12,7,266,4.210526,2.45614,0.013678905687544997,7311,297643,0.13678905687544995,0.00335973122150228
2020-03-29,259,7.46888,3,6,250,1.158301,2.316602,0.012431005519558435,8044,347250,0.12431005519558436,0.0028797696184305254
2020-03-28,241,10.045662,3,4,234,1.244813,1.659751,0.011567074634029277,8645,520875,0.11567074634029277,0.001919846412287017
2020-03-27,219,8.955224,3,3,213,1.369863,1.369863,0.010511159107271418,9514,694500,0.10511159107271419,0.0014398848092152627
2020-03-26,201,13.559322,3,3,195,1.492537,1.492537,0.00964722822174226,10366,694500,0.0964722822174226,0.0014398848092152627
2020-03-25,177,19.594595,1,3,173,0.564972,1.694915,0.008495320374370051,11771,694500,0.08495320374370051,0.0014398848092152627
2020-03-24,148,8.823529,1,2,145,0.675676,1.351351,0.007103431725461963,14078,1041750,0.07103431725461963,0.0009599232061435085
2020-03-23,136,18.26087,1,2,133,0.735294,1.470588,0.006527477801775858,15320,1041750,0.06527477801775858,0.0009599232061435085
2020-03-22,115,35.294118,1,1,113,0.869565,0.869565,0.005519558435325174,18117,2083500,0.05519558435325174,0.00047996160307175426
2020-03-21,85,26.865672,1,0,84,1.176471,0,0.004079673626109911,24512,,0.040796736261099115,0
2020-03-20,67,39.583333,1,0,66,1.492537,0,0.0032157427405807536,31097,,0.032157427405807536,0
2020-03-19,48,37.142857,1,0,47,2.083333,0,0.0023038156947444203,43406,,0.023038156947444204,0
2020-03-18,35,34.615385,1,0,34,2.857143,0,0.00167986561075114,59529,,0.016798656107511398,0
2020-03-17,26,44.444444,1,0,25,3.846154,0,0.001247900167986561,80135,,0.01247900167986561,0
2020-03-16,18,28.571429,1,0,17,5.555556,0,0.0008639308855291577,115750,,0.008639308855291577,0
2020-03-15,14,0,1,0,13,7.142857,0,0.0006719462443004559,148821,,0.00671946244300456,0
