"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-23,139,13.00813,9,5,125,6.47482,3.597122,0.0002571911763073268,388816,10809080,0.002571911763073268,9.251481162134057e-05
2020-04-22,123,1.652893,7,5,111,5.691057,4.065041,0.00022758643658849783,439393,10809080,0.002275864365884978,9.251481162134057e-05
2020-04-21,121,1.680672,7,5,109,5.785124,4.132231,0.0002238858441236442,446656,10809080,0.0022388584412364417,9.251481162134057e-05
2020-04-20,119,7.207207,7,5,107,5.882353,4.201681,0.00022018525165879056,454163,10809080,0.0022018525165879055,9.251481162134057e-05
2020-04-19,111,13.265306,7,5,99,6.306306,4.504505,0.00020538288179937608,486895,10809080,0.0020538288179937606,9.251481162134057e-05
2020-04-18,98,11.363636,5,5,88,5.102041,5.102041,0.00018132903077782754,551484,10809080,0.0018132903077782753,9.251481162134057e-05
2020-04-17,88,3.529412,5,4,79,5.681818,4.545455,0.00016282606845355942,614152,13511350,0.001628260684535594,7.401184929707245e-05
2020-04-16,85,14.864865,2,4,79,2.352941,4.705882,0.00015727517975627897,635828,13511350,0.0015727517975627897,7.401184929707245e-05
2020-04-15,74,17.460317,2,4,68,2.702703,5.405405,0.00013692192119958406,730343,13511350,0.0013692192119958404,7.401184929707245e-05
2020-04-14,63,1.612903,2,4,57,3.174603,6.349206,0.00011656866264288913,857863,13511350,0.0011656866264288912,7.401184929707245e-05
2020-04-13,62,51.219512,2,4,56,3.225806,6.451613,0.00011471836641046231,871700,13511350,0.001147183664104623,7.401184929707245e-05
2020-04-12,41,7.894737,2,4,35,4.878049,9.756098,7.586214552949927e-05,1318180,13511350,0.0007586214552949927,7.401184929707245e-05
2020-04-11,38,40.740741,2,3,33,5.263158,7.894737,7.031125683221883e-05,1422247,18015133,0.0007031125683221883,5.5508886972804345e-05
2020-04-10,27,17.391304,2,3,22,7.407407,11.111111,4.9957998275523913e-05,2001681,18015133,0.000499579982755239,5.5508886972804345e-05
2020-04-09,23,4.545455,2,3,18,8.695652,13.043478,4.2556813345816665e-05,2349800,18015133,0.00042556813345816664,5.5508886972804345e-05
2020-04-08,22,0,0,3,19,0,13.636364,4.0706517113389855e-05,2456609,18015133,0.0004070651711338985,5.5508886972804345e-05
2020-04-07,22,0,0,1,21,0,4.545455,4.0706517113389855e-05,2456609,54045400,0.0004070651711338985,1.8502962324268114e-05
2020-04-06,22,4.761905,0,1,21,0,4.545455,4.0706517113389855e-05,2456609,54045400,0.0004070651711338985,1.8502962324268114e-05
2020-04-05,21,0,0,1,20,0,4.761905,3.8856220880963045e-05,2573590,54045400,0.0003885622088096304,1.8502962324268114e-05
2020-04-04,21,5,0,1,20,0,4.761905,3.8856220880963045e-05,2573590,54045400,0.0003885622088096304,1.8502962324268114e-05
2020-04-03,20,0,0,1,19,0,5,3.700592464853623e-05,2702270,54045400,0.0003700592464853623,1.8502962324268114e-05
2020-04-02,20,33.333333,0,1,19,0,5,3.700592464853623e-05,2702270,54045400,0.0003700592464853623,1.8502962324268114e-05
2020-04-01,15,0,0,1,14,0,6.666667,2.7754443486402172e-05,3603027,54045400,0.0002775444348640217,1.8502962324268114e-05
2020-03-31,15,7.142857,0,1,14,0,6.666667,2.7754443486402172e-05,3603027,54045400,0.0002775444348640217,1.8502962324268114e-05
2020-03-30,14,40,0,0,14,0,0,2.5904147253975362e-05,3860386,,0.0002590414725397536,0
2020-03-29,10,25,0,0,10,0,0,1.8502962324268114e-05,5404540,,0.00018502962324268114,0
2020-03-28,8,0,0,0,8,0,0,1.4802369859414493e-05,6755675,,0.0001480236985941449,0
2020-03-27,8,,0,0,8,0,0,1.4802369859414493e-05,6755675,,0.0001480236985941449,0

