"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-12,16,0,4,0,12,25,0,0.0004960932655339203,201575,,0.004960932655339204,0
2020-04-11,16,0,4,0,12,25,0,0.0004960932655339203,201575,,0.004960932655339204,0
2020-04-10,16,0,4,0,12,25,0,0.0004960932655339203,201575,,0.004960932655339204,0
2020-04-09,16,0,4,0,12,25,0,0.0004960932655339203,201575,,0.004960932655339204,0
2020-04-08,16,6.666667,4,0,12,25,0,0.0004960932655339203,201575,,0.004960932655339204,0
2020-04-07,15,0,4,0,11,26.666667,0,0.00046508743643805035,215013,,0.004650874364380504,0
2020-04-06,15,7.142857,2,0,13,13.333333,0,0.00046508743643805035,215013,,0.004650874364380504,0
2020-04-05,14,0,2,0,12,14.285714,0,0.00043408160734218035,230371,,0.004340816073421803,0
2020-04-04,14,0,2,0,12,14.285714,0,0.00043408160734218035,230371,,0.004340816073421803,0
2020-04-03,14,0,2,0,12,14.285714,0,0.00043408160734218035,230371,,0.004340816073421803,0
2020-04-02,14,0,2,0,12,14.285714,0,0.00043408160734218035,230371,,0.004340816073421803,0
2020-04-01,14,16.666667,2,0,12,14.285714,0,0.00043408160734218035,230371,,0.004340816073421803,0
2020-03-31,12,0,2,0,10,16.666667,0,0.0003720699491504403,268767,,0.003720699491504403,0
2020-03-30,12,0,2,0,10,16.666667,0,0.0003720699491504403,268767,,0.003720699491504403,0
2020-03-29,12,0,0,0,12,0,0,0.0003720699491504403,268767,,0.003720699491504403,0
2020-03-28,12,9.090909,0,0,12,0,0,0.0003720699491504403,268767,,0.003720699491504403,0
2020-03-27,11,0,0,0,11,0,0,0.00034106412005457026,293200,,0.0034106412005457027,0
2020-03-26,11,10,0,0,11,0,0,0.00034106412005457026,293200,,0.0034106412005457027,0
2020-03-25,10,0,0,0,10,0,0,0.0003100582909587002,322520,,0.0031005829095870027,0
2020-03-24,10,0,0,0,10,0,0,0.0003100582909587002,322520,,0.0031005829095870027,0
2020-03-23,10,0,0,0,10,0,0,0.0003100582909587002,322520,,0.0031005829095870027,0
2020-03-22,10,0,0,0,10,0,0,0.0003100582909587002,322520,,0.0031005829095870027,0
2020-03-21,10,66.666667,0,0,10,0,0,0.0003100582909587002,322520,,0.0031005829095870027,0
2020-03-20,6,0,0,0,6,0,0,0.00018603497457522015,537533,,0.0018603497457522016,0
2020-03-19,6,0,0,0,6,0,0,0.00018603497457522015,537533,,0.0018603497457522016,0
2020-03-18,6,20,0,0,6,0,0,0.00018603497457522015,537533,,0.0018603497457522016,0
2020-03-17,5,400,0,0,5,0,0,0.0001550291454793501,645040,,0.0015502914547935013,0
2020-03-16,1,0,0,0,1,0,0,3.100582909587002e-05,3225200,,0.00031005829095870027,0
2020-03-15,1,0,0,0,1,0,0,3.100582909587002e-05,3225200,,0.00031005829095870027,0
2020-03-14,1,0,0,0,1,0,0,3.100582909587002e-05,3225200,,0.00031005829095870027,0
2020-03-13,1,0,0,0,1,0,0,3.100582909587002e-05,3225200,,0.00031005829095870027,0
2020-03-12,1,0,0,0,1,0,0,3.100582909587002e-05,3225200,,0.00031005829095870027,0
2020-03-11,1,0,0,0,1,0,0,3.100582909587002e-05,3225200,,0.00031005829095870027,0
2020-03-10,1,,0,0,1,0,0,3.100582909587002e-05,3225200,,0.00031005829095870027,0

