"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-19,163,3.164557,73,12,78,44.785276,7.361963,0.043397231096911605,2304,31300,0.43397231096911604,0.03194888178913738
2020-04-18,158,0,73,8,77,46.202532,5.063291,0.04206602768903089,2377,46950,0.4206602768903088,0.021299254526091587
2020-04-17,158,0,73,8,77,46.202532,5.063291,0.04206602768903089,2377,46950,0.4206602768903088,0.021299254526091587
2020-04-16,158,0,73,8,77,46.202532,5.063291,0.04206602768903089,2377,46950,0.4206602768903088,0.021299254526091587
2020-04-15,158,0.636943,73,8,77,46.202532,5.063291,0.04206602768903089,2377,46950,0.4206602768903088,0.021299254526091587
2020-04-14,157,0,50,6,101,31.847134,3.821656,0.041799787007454736,2392,62600,0.41799787007454736,0.01597444089456869
2020-04-13,157,1.290323,50,6,101,31.847134,3.821656,0.041799787007454736,2392,62600,0.41799787007454736,0.01597444089456869
2020-04-12,155,0,50,6,99,32.258065,3.870968,0.04126730564430245,2423,62600,0.4126730564430245,0.01597444089456869
2020-04-11,155,0,50,6,99,32.258065,3.870968,0.04126730564430245,2423,62600,0.4126730564430245,0.01597444089456869
2020-04-10,155,0.649351,50,6,99,32.258065,3.870968,0.04126730564430245,2423,62600,0.4126730564430245,0.01597444089456869
2020-04-09,154,0,50,6,98,32.467532,3.896104,0.041001064962726305,2439,62600,0.410010649627263,0.01597444089456869
2020-04-08,154,1.315789,50,6,98,32.467532,3.896104,0.041001064962726305,2439,62600,0.410010649627263,0.01597444089456869
2020-04-07,152,0.662252,50,4,98,32.894737,2.631579,0.04046858359957402,2471,93900,0.40468583599574015,0.010649627263045794
2020-04-06,151,1.342282,50,4,97,33.112583,2.649007,0.04020234291799787,2487,93900,0.4020234291799787,0.010649627263045794
2020-04-05,149,2.758621,50,4,95,33.557047,2.684564,0.03966986155484558,2521,93900,0.39669861554845576,0.010649627263045794
2020-04-04,145,1.398601,27,3,115,18.62069,2.068966,0.038604898828541,2590,125200,0.38604898828541,0.007987220447284345
2020-04-03,143,3.623188,27,3,113,18.881119,2.097902,0.03807241746538871,2627,125200,0.3807241746538871,0.007987220447284345
2020-04-02,138,2.222222,27,3,108,19.565217,2.173913,0.036741214057507986,2722,125200,0.36741214057507987,0.007987220447284345
2020-04-01,135,5.46875,27,3,105,20,2.222222,0.035942492012779555,2782,125200,0.35942492012779553,0.007987220447284345
2020-03-31,128,37.634409,27,3,98,21.09375,2.34375,0.03407880724174654,2934,125200,0.3407880724174654,0.007987220447284345
2020-03-30,93,0,0,1,92,0,1.075269,0.02476038338658147,4039,375600,0.2476038338658147,0.0026624068157614484
2020-03-29,93,0,0,1,92,0,1.075269,0.02476038338658147,4039,375600,0.2476038338658147,0.0026624068157614484
2020-03-28,93,14.814815,0,1,92,0,1.075269,0.02476038338658147,4039,375600,0.2476038338658147,0.0026624068157614484
2020-03-27,81,22.727273,0,1,80,0,1.234568,0.02156549520766773,4637,375600,0.21565495207667731,0.0026624068157614484
2020-03-26,66,0,0,1,65,0,1.515152,0.01757188498402556,5691,375600,0.17571884984025557,0.0026624068157614484
2020-03-25,66,15.789474,0,1,65,0,1.515152,0.01757188498402556,5691,375600,0.17571884984025557,0.0026624068157614484
2020-03-24,57,,0,1,56,0,1.754386,0.015175718849840255,6589,375600,0.15175718849840256,0.0026624068157614484

