"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-23,7,0,6,1,0,85.714286,14.285714,0.00015467220540468877,646529,4525700,0.0015467220540468878,0.00022096029343526968
2020-04-22,7,0,6,1,0,85.714286,14.285714,0.00015467220540468877,646529,4525700,0.0015467220540468878,0.00022096029343526968
2020-04-21,7,0,6,1,0,85.714286,14.285714,0.00015467220540468877,646529,4525700,0.0015467220540468878,0.00022096029343526968
2020-04-20,7,0,6,1,0,85.714286,14.285714,0.00015467220540468877,646529,4525700,0.0015467220540468878,0.00022096029343526968
2020-04-19,7,0,6,1,0,85.714286,14.285714,0.00015467220540468877,646529,4525700,0.0015467220540468878,0.00022096029343526968
2020-04-18,7,0,2,1,4,28.571429,14.285714,0.00015467220540468877,646529,4525700,0.0015467220540468878,0.00022096029343526968
2020-04-17,7,0,2,1,4,28.571429,14.285714,0.00015467220540468877,646529,4525700,0.0015467220540468878,0.00022096029343526968
2020-04-16,7,0,2,1,4,28.571429,14.285714,0.00015467220540468877,646529,4525700,0.0015467220540468878,0.00022096029343526968
2020-04-15,7,0,2,1,4,28.571429,14.285714,0.00015467220540468877,646529,4525700,0.0015467220540468878,0.00022096029343526968
2020-04-14,7,0,2,1,4,28.571429,14.285714,0.00015467220540468877,646529,4525700,0.0015467220540468878,0.00022096029343526968
2020-04-13,7,0,2,1,4,28.571429,14.285714,0.00015467220540468877,646529,4525700,0.0015467220540468878,0.00022096029343526968
2020-04-12,7,0,2,1,4,28.571429,14.285714,0.00015467220540468877,646529,4525700,0.0015467220540468878,0.00022096029343526968
2020-04-11,7,0,2,1,4,28.571429,14.285714,0.00015467220540468877,646529,4525700,0.0015467220540468878,0.00022096029343526968
2020-04-10,7,0,2,1,4,28.571429,14.285714,0.00015467220540468877,646529,4525700,0.0015467220540468878,0.00022096029343526968
2020-04-09,7,16.666667,2,1,4,28.571429,14.285714,0.00015467220540468877,646529,4525700,0.0015467220540468878,0.00022096029343526968
2020-04-08,6,0,2,1,3,33.333333,16.666667,0.0001325761760611618,754283,4525700,0.0013257617606116181,0.00022096029343526968
2020-04-07,6,0,2,1,3,33.333333,16.666667,0.0001325761760611618,754283,4525700,0.0013257617606116181,0.00022096029343526968
2020-04-06,6,0,2,1,3,33.333333,16.666667,0.0001325761760611618,754283,4525700,0.0013257617606116181,0.00022096029343526968
2020-04-05,6,0,2,1,3,33.333333,16.666667,0.0001325761760611618,754283,4525700,0.0013257617606116181,0.00022096029343526968
2020-04-04,6,0,2,1,3,33.333333,16.666667,0.0001325761760611618,754283,4525700,0.0013257617606116181,0.00022096029343526968
2020-04-03,6,0,2,1,3,33.333333,16.666667,0.0001325761760611618,754283,4525700,0.0013257617606116181,0.00022096029343526968
2020-04-02,6,0,2,1,3,33.333333,16.666667,0.0001325761760611618,754283,4525700,0.0013257617606116181,0.00022096029343526968
2020-04-01,6,0,2,1,3,33.333333,16.666667,0.0001325761760611618,754283,4525700,0.0013257617606116181,0.00022096029343526968
2020-03-31,6,20,2,1,3,33.333333,16.666667,0.0001325761760611618,754283,4525700,0.0013257617606116181,0.00022096029343526968
2020-03-30,5,0,2,1,2,40,20,0.00011048014671763484,905140,4525700,0.0011048014671763485,0.00022096029343526968
2020-03-29,5,0,2,0,3,40,0,0.00011048014671763484,905140,,0.0011048014671763485,0
2020-03-28,5,66.666667,0,0,5,0,0,0.00011048014671763484,905140,,0.0011048014671763485,0
2020-03-27,3,0,0,0,3,0,0,6.62880880305809e-05,1508567,,0.0006628808803058091,0
2020-03-26,3,50,0,0,3,0,0,6.62880880305809e-05,1508567,,0.0006628808803058091,0
2020-03-25,2,0,0,0,2,0,0,4.4192058687053935e-05,2262850,,0.00044192058687053936,0
2020-03-24,2,0,0,0,2,0,0,4.4192058687053935e-05,2262850,,0.00044192058687053936,0
2020-03-23,2,0,0,0,2,0,0,4.4192058687053935e-05,2262850,,0.00044192058687053936,0
2020-03-22,2,0,0,0,2,0,0,4.4192058687053935e-05,2262850,,0.00044192058687053936,0
2020-03-21,2,0,0,0,2,0,0,4.4192058687053935e-05,2262850,,0.00044192058687053936,0
2020-03-20,2,0,0,0,2,0,0,4.4192058687053935e-05,2262850,,0.00044192058687053936,0
2020-03-19,2,100,0,0,2,0,0,4.4192058687053935e-05,2262850,,0.00044192058687053936,0
2020-03-18,1,0,0,0,1,0,0,2.2096029343526967e-05,4525700,,0.00022096029343526968,0
2020-03-17,1,0,0,0,1,0,0,2.2096029343526967e-05,4525700,,0.00022096029343526968,0
2020-03-16,1,0,0,0,1,0,0,2.2096029343526967e-05,4525700,,0.00022096029343526968,0
2020-03-15,1,0,0,0,1,0,0,2.2096029343526967e-05,4525700,,0.00022096029343526968,0
2020-03-14,1,,0,0,1,0,0,2.2096029343526967e-05,4525700,,0.00022096029343526968,0

