"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-03-15,26748,0.802713,23376,354,3018,87.39345,1.323463,6.073569482288828,16,1244,60.735694822888284,0.8038147138964578
2021-03-14,26535,1.020292,23060,351,3124,86.904089,1.322781,6.025204359673024,17,1255,60.252043596730246,0.7970027247956404
2021-03-13,26267,1.147522,22773,350,3144,86.698138,1.33247,5.964350590372389,17,1258,59.64350590372389,0.7947320617620346
2021-03-12,25969,1.283151,22435,346,3188,86.391467,1.332358,5.896684831970935,17,1273,58.96684831970936,0.7856494096276113
2021-03-11,25640,1.116063,22176,341,3123,86.48986,1.329953,5.821980018165304,17,1291,58.21980018165304,0.7742960944595823
2021-03-10,25357,2.052562,21838,337,3182,86.122175,1.329022,5.757720254314259,17,1307,57.5772025431426,0.765213442325159
2021-03-09,24847,1.008171,21477,335,3035,86.436994,1.348251,5.641916439600363,18,1315,56.41916439600364,0.7606721162579474
2021-03-08,24599,0.823838,21087,334,3178,85.722997,1.357779,5.585603996366939,18,1319,55.856039963669396,0.7584014532243415
2021-03-07,24398,0.751569,20742,334,3322,85.015165,1.368965,5.5399636693914625,18,1319,55.39963669391462,0.7584014532243415
2021-03-06,24216,1.445268,20484,329,3403,84.588702,1.358606,5.498637602179836,18,1339,54.98637602179837,0.7470481380563124
2021-03-05,23871,1.199763,20291,328,3252,85.002723,1.374052,5.420299727520436,18,1343,54.20299727520436,0.7447774750227066
2021-03-04,23588,1.558598,20135,325,3128,85.361201,1.377819,5.356039963669391,19,1355,53.560399636693916,0.7379654859218893
2021-03-03,23226,1.013352,19905,321,3000,85.701369,1.382072,5.273841961852861,19,1372,52.73841961852861,0.728882833787466
2021-03-02,22993,1.482985,19743,319,2931,85.865263,1.387379,5.220935513169845,19,1381,52.20935513169846,0.7243415077202543
2021-03-01,22657,0.7784,19663,316,2678,86.785541,1.394712,5.14464123524069,19,1394,51.4464123524069,0.7175295186194369
2021-02-28,22482,1.183672,19447,315,2720,86.500311,1.401121,5.104904632152588,20,1398,51.049046321525886,0.7152588555858311
2021-02-27,22219,1.078155,19255,313,2651,86.660066,1.408704,5.045186194368756,20,1407,50.45186194368756,0.7107175295186194
2021-02-26,21982,1.187627,19087,313,2582,86.830134,1.423892,4.9913714804722975,20,1407,49.91371480472298,0.7107175295186194
2021-02-25,21724,0.891696,18905,311,2508,87.023568,1.431596,4.932788374205268,20,1416,49.327883742052684,0.7061762034514079
2021-02-24,21532,1.060734,18720,308,2504,86.940368,1.430429,4.889191643960037,20,1430,48.891916439600365,0.6993642143505904
2021-02-23,21306,1.048138,18500,306,2500,86.830001,1.436215,4.837874659400545,21,1439,48.37874659400545,0.6948228882833788
2021-02-22,21085,0.923799,18309,305,2471,86.834242,1.446526,4.787693006357856,21,1444,47.87693006357857,0.692552225249773
2021-02-21,20892,0.626144,18067,304,2521,86.478078,1.455102,4.743869209809264,21,1449,47.438692098092645,0.6902815622161672
2021-02-20,20762,0.967758,17933,303,2526,86.374145,1.459397,4.714350590372389,21,1453,47.14350590372389,0.6880108991825613
2021-02-19,20563,0.754569,17827,301,2435,86.694548,1.463794,4.669164396003633,21,1463,46.69164396003633,0.6834695731153497
2021-02-18,20409,0.805097,17679,301,2429,86.623548,1.47484,4.634196185286103,22,1463,46.34196185286104,0.6834695731153497
2021-02-17,20246,0.992667,17523,298,2425,86.55043,1.471896,4.597184377838329,22,1478,45.97184377838329,0.6766575840145322
2021-02-16,20047,0.511406,17434,297,2316,86.965631,1.481518,4.551998183469573,22,1483,45.519981834695734,0.6743869209809265
2021-02-15,19945,0.788317,17310,295,2340,86.788669,1.479067,4.528837420526794,22,1493,45.28837420526794,0.6698455949137149
2021-02-14,19789,0.702254,17126,293,2370,86.543029,1.480621,4.493415077202543,22,1503,44.93415077202543,0.6653042688465032
2021-02-13,19651,0.789865,17017,290,2344,86.596102,1.475752,4.462079927338783,22,1519,44.62079927338783,0.6584922797456858
2021-02-12,19497,0.84829,16811,288,2398,86.223522,1.47715,4.427111716621253,23,1529,44.271117166212534,0.6539509536784741
2021-02-11,19333,0.787196,16646,286,2401,86.101485,1.479336,4.389872842870118,23,1540,43.89872842870118,0.6494096276112625
2021-02-10,19182,0.878254,16490,286,2406,85.96601,1.490981,4.355585831062671,23,1540,43.555858310626704,0.6494096276112625
2021-02-09,19015,1.073726,16325,284,2406,85.853274,1.493558,4.3176657584014535,23,1551,43.176657584014535,0.644868301544051
2021-02-08,18813,0.733562,16179,282,2352,85.999043,1.498963,4.271798365122616,23,1562,42.71798365122616,0.6403269754768393
2021-02-07,18676,0.538329,16053,282,2341,85.955237,1.509959,4.240690281562216,24,1562,42.40690281562216,0.6403269754768393
2021-02-06,18576,0.726602,15896,279,2401,85.572782,1.501938,4.217983651226158,24,1578,42.17983651226158,0.6335149863760219
2021-02-05,18442,0.310035,15701,277,2464,85.137187,1.502006,4.18755676657584,24,1590,41.8755676657584,0.6289736603088102
2021-02-04,18385,0.431552,15567,273,2545,84.672287,1.484906,4.174613987284287,24,1613,41.746139872842875,0.6198910081743869
2021-02-03,18306,0.759577,15423,273,2610,84.251065,1.491314,4.156675749318801,24,1613,41.566757493188014,0.6198910081743869
2021-02-02,18168,0.78216,15233,270,2665,83.845222,1.486129,4.125340599455041,24,1631,41.25340599455041,0.6130790190735695
2021-02-01,18027,0.692621,15101,269,2657,83.768791,1.492206,4.093324250681199,24,1637,40.93324250681199,0.6108083560399638
2021-01-31,17903,1.02703,14960,267,2676,83.561414,1.49137,4.065168029064487,25,1649,40.65168029064487,0.6062670299727521
2021-01-30,17721,0.773386,14775,265,2681,83.375656,1.495401,4.023841961852861,25,1662,40.23841961852861,0.6017257039055405
2021-01-29,17585,1.063218,14626,264,2695,83.173159,1.501279,3.992960944595822,25,1668,39.92960944595822,0.5994550408719347
2021-01-28,17400,1.209865,14452,261,2687,83.057471,1.5,3.9509536784741144,25,1687,39.509536784741144,0.5926430517711172
2021-01-27,17192,1.135361,14252,258,2682,82.899023,1.500698,3.9037238873751137,26,1707,39.037238873751136,0.5858310626702997
2021-01-26,16999,0.818457,14104,255,2640,82.969586,1.500088,3.8599000908265215,26,1727,38.59900090826522,0.5790190735694823
2021-01-25,16861,1.218634,13976,253,2632,82.889508,1.500504,3.828564940962761,26,1741,38.28564940962762,0.5744777475022707
2021-01-24,16658,0.701245,13801,251,2606,82.849082,1.506784,3.782470481380563,26,1755,37.82470481380563,0.5699364214350591
2021-01-23,16542,0.724594,13646,250,2646,82.493048,1.511305,3.7561307901907357,27,1762,37.56130790190736,0.5676657584014533
2021-01-22,16423,0.878378,13435,248,2740,81.806004,1.510077,3.7291099000908265,27,1776,37.29109900090827,0.5631244323342416
2021-01-21,16280,0.936202,13234,245,2801,81.289926,1.504914,3.6966394187102636,27,1798,36.96639418710264,0.5563124432334242
2021-01-20,16129,1.173002,13054,244,2831,80.934962,1.512803,3.6623524069028157,27,1805,36.62352406902816,0.5540417801998184
2021-01-19,15942,1.270487,12865,242,2835,80.698783,1.518003,3.619891008174387,28,1820,36.19891008174387,0.5495004541326067
2021-01-18,15742,0.987939,12717,241,2784,80.78389,1.530936,3.5744777475022707,28,1827,35.74477747502271,0.5472297910990009
2021-01-17,15588,0.912799,12596,239,2753,80.805748,1.533231,3.5395095367847413,28,1843,35.39509536784741,0.5426884650317894
2021-01-16,15447,1.145888,12460,238,2749,80.662912,1.540752,3.507493188010899,29,1850,35.07493188010899,0.5404178019981835
2021-01-15,15272,1.279926,12393,236,2643,81.148507,1.545312,3.4677565849227974,29,1866,34.677565849227975,0.5358764759309719
2021-01-14,15079,0.808932,12250,235,2594,81.238809,1.558459,3.4239327883742052,29,1874,34.23932788374206,0.5336058128973661
2021-01-13,14958,1.279707,12123,234,2601,81.046931,1.56438,3.396457765667575,29,1882,33.96457765667575,0.5313351498637603
2021-01-12,14769,1.651869,12016,234,2519,81.359605,1.5844,3.353542234332425,30,1882,33.53542234332425,0.5313351498637603
2021-01-11,14529,0.923868,11936,233,2360,82.152936,1.603689,3.2990463215258856,30,1890,32.990463215258856,0.5290644868301544
2021-01-10,14396,1.294681,11841,233,2322,82.252014,1.618505,3.268846503178928,31,1890,32.688465031789285,0.5290644868301544
2021-01-09,14212,1.754135,11759,232,2221,82.739938,1.632423,3.2270663033605813,31,1898,32.270663033605814,0.5267938237965486
2021-01-08,13967,1.386469,11690,230,2047,83.697286,1.646739,3.171435059037239,32,1915,31.71435059037239,0.522252497729337
2021-01-07,13776,1.204819,11613,228,1935,84.29878,1.655052,3.128065395095368,32,1932,31.28065395095368,0.5177111716621253
2021-01-06,13612,1.67314,11540,227,1845,84.778137,1.667646,3.0908265213442325,32,1940,30.908265213442327,0.5154405086285195
