"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-06-16,564,1.621622,73,6,485,12.943262,1.06383,0.0030275864660443295,33030,3104783,0.030275864660443293,0.00032208366660046057
2020-06-15,555,1.462523,69,6,480,12.432432,1.081081,0.0029792739160542604,33565,3104783,0.029792739160542602,0.00032208366660046057
2020-06-14,547,3.402647,69,6,472,12.61426,1.096892,0.002936329427174199,34056,3104783,0.029363294271741988,0.00032208366660046057
2020-06-13,529,9.97921,66,5,458,12.476371,0.94518,0.0028397043271940607,35215,3725740,0.028397043271940606,0.0002684030555003838
2020-06-12,481,0,65,4,412,13.513514,0.831601,0.002582037393913692,38729,4657175,0.02582037393913692,0.00021472244440030704
2020-06-11,481,5.714286,55,4,422,11.434511,0.831601,0.002582037393913692,38729,4657175,0.02582037393913692,0.00021472244440030704
2020-06-10,455,0,55,4,396,12.087912,0.879121,0.002442467805053493,40942,4657175,0.024424678050534925,0.00021472244440030704
2020-06-09,455,2.708804,55,4,396,12.087912,0.879121,0.002442467805053493,40942,4657175,0.024424678050534925,0.00021472244440030704
2020-06-08,443,1.141553,55,4,384,12.41535,0.902935,0.0023780510717334004,42051,4657175,0.023780510717334006,0.00021472244440030704
2020-06-07,438,7.090465,55,4,379,12.557078,0.913242,0.0023512107661833623,42531,4657175,0.02351210766183362,0.00021472244440030704
2020-06-06,409,0,55,4,350,13.447433,0.977995,0.0021955369939931396,45547,4657175,0.021955369939931395,0.00021472244440030704
2020-06-05,409,4.071247,55,4,350,13.447433,0.977995,0.0021955369939931396,45547,4657175,0.021955369939931395,0.00021472244440030704
2020-06-04,393,6.504065,51,4,338,12.977099,1.017812,0.0021096480162330167,47401,4657175,0.021096480162330167,0.00021472244440030704
2020-06-03,369,3.072626,51,4,314,13.821138,1.084011,0.0019808145495928326,50484,4657175,0.019808145495928325,0.00021472244440030704
2020-06-02,358,6.547619,42,4,312,11.731844,1.117318,0.001921765877382748,52035,4657175,0.01921765877382748,0.00021472244440030704
2020-06-01,336,18.309859,42,4,290,12.5,1.190476,0.0018036685329625793,55443,4657175,0.018036685329625792,0.00021472244440030704
2020-05-31,284,1.792115,42,4,238,14.788732,1.408451,0.00152452935524218,65594,4657175,0.0152452935524218,0.00021472244440030704
2020-05-30,279,2.197802,42,4,233,15.053763,1.433692,0.0014976890496921416,66770,4657175,0.014976890496921417,0.00021472244440030704
2020-05-29,273,34.482759,42,4,227,15.384615,1.465201,0.0014654806830320956,68237,4657175,0.014654806830320955,0.00021472244440030704
2020-05-28,203,100.990099,37,4,162,18.226601,1.970443,0.0010897164053315584,91767,4657175,0.010897164053315582,0.00021472244440030704
2020-05-27,101,0,37,4,60,36.633663,3.960396,0.0005421741721107753,184443,4657175,0.005421741721107753,0.00021472244440030704
2020-05-26,101,0,37,4,60,36.633663,3.960396,0.0005421741721107753,184443,4657175,0.005421741721107753,0.00021472244440030704
2020-05-25,101,21.686747,33,4,64,32.673267,3.960396,0.0005421741721107753,184443,4657175,0.005421741721107753,0.00021472244440030704
2020-05-24,83,1.219512,33,4,46,39.759036,4.819277,0.00044554907213063713,224442,4657175,0.004455490721306371,0.00021472244440030704
2020-05-23,82,0,28,3,51,34.146341,3.658537,0.00044018101102062944,227179,6209567,0.0044018101102062945,0.00016104183330023028
2020-05-22,82,13.888889,28,3,51,34.146341,3.658537,0.00044018101102062944,227179,6209567,0.0044018101102062945,0.00016104183330023028
2020-05-21,72,1.408451,27,3,42,37.5,4.166667,0.0003865003999205527,258732,6209567,0.003865003999205527,0.00016104183330023028
2020-05-20,71,1.428571,27,3,41,38.028169,4.225352,0.000381132338810545,262376,6209567,0.00381132338810545,0.00016104183330023028
2020-05-19,70,0,27,3,40,38.571429,4.285714,0.0003757642777005373,266124,6209567,0.003757642777005373,0.00016104183330023028
2020-05-18,70,0,27,3,40,38.571429,4.285714,0.0003757642777005373,266124,6209567,0.003757642777005373,0.00016104183330023028
2020-05-17,70,7.692308,27,3,40,38.571429,4.285714,0.0003757642777005373,266124,6209567,0.003757642777005373,0.00016104183330023028
2020-05-16,65,3.174603,24,3,38,36.923077,4.615385,0.00034892397215049894,286595,6209567,0.0034892397215049893,0.00016104183330023028
2020-05-15,63,0,24,3,36,38.095238,4.761905,0.0003381878499304836,295694,6209567,0.003381878499304836,0.00016104183330023028
2020-05-14,63,0,24,3,36,38.095238,4.761905,0.0003381878499304836,295694,6209567,0.003381878499304836,0.00016104183330023028
2020-05-13,63,10.526316,24,3,36,38.095238,4.761905,0.0003381878499304836,295694,6209567,0.003381878499304836,0.00016104183330023028
2020-05-12,57,0,24,3,30,42.105263,5.263158,0.00030597948327043756,326819,6209567,0.0030597948327043753,0.00016104183330023028
2020-05-11,57,1.785714,24,3,30,42.105263,5.263158,0.00030597948327043756,326819,6209567,0.0030597948327043753,0.00016104183330023028
2020-05-10,56,0,14,3,39,25,5.357143,0.0003006114221604299,332655,6209567,0.0030061142216042985,0.00016104183330023028
2020-05-09,56,30.232558,14,3,39,25,5.357143,0.0003006114221604299,332655,6209567,0.0030061142216042985,0.00016104183330023028
2020-05-08,43,0,14,3,26,32.55814,6.976744,0.0002308266277303301,433226,6209567,0.0023082662773033008,0.00016104183330023028
2020-05-07,43,0,14,3,26,32.55814,6.976744,0.0002308266277303301,433226,6209567,0.0023082662773033008,0.00016104183330023028
2020-05-06,43,4.878049,9,3,31,20.930233,6.976744,0.0002308266277303301,433226,6209567,0.0023082662773033008,0.00016104183330023028
2020-05-05,41,0,9,3,29,21.95122,7.317073,0.00022009050551031472,454359,6209567,0.0022009050551031473,0.00016104183330023028
2020-05-04,41,5.128205,9,3,29,21.95122,7.317073,0.00022009050551031472,454359,6209567,0.0022009050551031473,0.00016104183330023028
