"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-08,31522,6.43571,20314,3160,8048,64.44388,10.024745,0.024708505943539315,4047,40372,0.24708505943539316,0.024769646209499473
2020-05-07,29616,7.172324,17781,2961,8874,60.038493,9.997974,0.02321448867533343,4308,43085,0.2321448867533343,0.02320978557795188
2020-05-06,27634,6.182517,17781,2704,7149,64.344648,9.785047,0.02166089884029457,4617,47180,0.2166089884029457,0.021195292199521067
2020-05-05,26025,4.497089,16810,2507,6708,64.591739,9.633045,0.020399684892475435,4902,50888,0.20399684892475436,0.01965110855924531
2020-05-04,24905,6.109667,13447,2271,9187,53.993174,9.118651,0.01952177338125267,5122,56176,0.1952177338125267,0.017801223589168767
2020-05-03,23471,6.261318,13447,2154,7870,57.291977,9.177283,0.01839773310706209,5435,59227,0.18397733107062092,0.016884119599766413
2020-05-02,22088,6.504653,12377,2061,7650,56.034951,9.330858,0.017313669160614695,5776,61900,0.17313669160614695,0.01615513950562608
2020-05-01,20739,7.880774,12377,1972,6390,59.67983,9.508655,0.016256256099329416,6151,64693,0.16256256099329416,0.015457513394029418
2020-04-30,19224,8.006068,11423,1859,5942,59.420516,9.670204,0.015068724010487908,6636,68626,0.15068724010487908,0.014571763387170734
2020-04-29,17799,6.25,11423,1732,4644,64.177763,9.730884,0.013951738382369655,7168,73658,0.13951738382369655,0.013576274441409205
2020-04-28,16752,7.875588,11423,1569,3760,68.188873,9.366046,0.013131047889289088,7616,81310,0.13131047889289088,0.012298599652754644
2020-04-27,15529,5.805001,9086,1434,5009,58.509885,9.234336,0.012172399873016371,8215,88965,0.12172399873016371,0.011240402741905773
2020-04-26,14677,6.032365,8354,1351,4972,56.918989,9.204878,0.011504560044836194,8692,94430,0.11504560044836196,0.010589807604124616
2020-04-25,13842,7.535736,7149,1305,5388,51.647161,9.427828,0.010850045659237079,9217,97759,0.10850045659237079,0.01022923680487241
2020-04-24,12872,10.650735,7149,1221,4502,55.539155,9.485705,0.010089711582553076,9911,104484,0.10089711582553076,0.009570803171455334
2020-04-23,11633,22.439743,2627,1069,7937,22.582309,9.189375,0.009118521973262891,10967,119341,0.09118521973262891,0.008379351834795866
2020-04-22,9501,8.310534,2627,857,6017,27.649721,9.020103,0.007447354703685269,13428,148863,0.07447354703685269,0.006717590759981344
2020-04-21,8772,6.185692,2627,712,5433,29.94756,8.116735,0.006875928371826879,14543,179179,0.0687592837182688,0.005581008892773299
2020-04-20,8261,10.190743,2627,686,4948,31.800024,8.304079,0.0064753812448314916,15443,185970,0.06475381244831492,0.005377208006239443
2020-04-19,7497,9.047273,2627,650,4220,35.040683,8.670135,0.0058765201782473905,17017,196270,0.05876520178247391,0.0050950221633464104
2020-04-18,6875,9.178974,2125,546,4204,30.909091,7.941818,0.005388965749693319,18556,233655,0.05388965749693319,0.004279818617210985
2020-04-17,6297,7.696254,2125,486,3686,33.746228,7.717961,0.004935900701937284,20260,262501,0.04935900701937284,0.0038095088790559314
2020-04-16,5847,8.297833,2125,449,3273,36.343424,7.679152,0.0045831683983209946,21819,284133,0.04583168398320994,0.003519484540526982
2020-04-15,5399,7.6785,2125,406,2868,39.359141,7.519911,0.004232003793831888,23629,314225,0.04232003793831888,0.003182429228182527
2020-04-14,5014,7.573482,1964,332,2718,39.170323,6.62146,0.003930221711849062,25444,384264,0.03930221711849062,0.002602380551124628
2020-04-13,4661,10.476416,1843,296,2522,39.540871,6.350569,0.0036535228159011723,27371,430998,0.03653522815901172,0.002320194708231596
2020-04-12,4219,9.755463,1772,273,2174,42.000474,6.470728,0.003307061308793616,30238,467310,0.033070613087936164,0.0021399093086054925
2020-04-11,3844,11.711712,633,233,2978,16.467222,6.061394,0.003013117722446708,33188,547534,0.03013117722446708,0.0018263694831687903
2020-04-10,3441,8.17353,633,194,2614,18.395815,5.637896,0.0026972263483192307,37075,657606,0.026972263483192305,0.0015206681533680056
2020-04-09,3181,14.219031,633,174,2374,19.899403,5.469978,0.0024934254617853743,40105,733193,0.02493425461785374,0.0013638982406496546
2020-04-08,2785,14.186142,633,141,2011,22.728905,5.062837,0.002183021034603039,45808,904791,0.02183021034603039,0.0011052278846643753
2020-04-07,2439,13.812413,633,125,1681,25.95326,5.125051,0.0019118090856002916,52306,1020604,0.019118090856002915,0.0009798119544896942
2020-04-06,2143,13.386243,633,94,1416,29.538031,4.386374,0.0016797896147771319,59531,1357186,0.01679789614777132,0.0007368185897762502
2020-04-05,1890,11.966825,633,79,1178,33.492063,4.179894,0.0014814756751884179,67500,1614880,0.014814756751884178,0.0006192411552374868
2020-04-04,1688,11.788079,633,60,995,37.5,3.554502,0.0013231380633428832,75578,2126258,0.013231380633428833,0.0004703097381550533
2020-04-03,1510,9.5791,633,50,827,41.92053,3.311258,0.0011836128410235508,84487,2551510,0.011836128410235508,0.00039192478179587775
2020-04-02,1378,13.415638,35,37,1306,2.539913,2.685051,0.0010801446986294391,92580,3447986,0.010801446986294391,0.0002900243385289495
2020-04-01,1215,11.060329,35,29,1151,2.880658,2.386831,0.0009523772197639829,105000,4399155,0.00952377219763983,0.00022731637344160907
2020-03-31,1094,10.171198,35,28,1031,3.199269,2.559415,0.0008575314225693804,116614,4556268,0.008575314225693804,0.00021947787780569154
2020-03-30,993,17.099057,35,20,938,3.524673,2.014099,0.0007783626166466132,128475,6378775,0.007783626166466132,0.00015676991271835108
2020-03-29,848,18.270572,4,16,828,0.471698,1.886792,0.0006647044299258086,150443,7973469,0.006647044299258087,0.00012541593017468088
2020-03-28,717,22.564103,4,12,701,0.55788,1.67364,0.0005620201370952887,177930,10631292,0.0056202013709528865,9.406194763101066e-05
2020-03-27,585,23.157895,4,8,573,0.683761,1.367521,0.00045855199470117697,218078,15946938,0.00458551994701177,6.270796508734044e-05
2020-03-26,475,17.283951,4,6,465,0.842105,1.263158,0.00037232854270608385,268580,21262583,0.0037232854270608383,4.703097381550533e-05
2020-03-25,405,10.354223,4,5,396,0.987654,1.234568,0.000317459073254661,315001,25515100,0.0031745907325466094,3.919247817958777e-05
2020-03-24,367,16.139241,4,4,359,1.089918,1.089918,0.00028767278983817424,347617,31893875,0.0028767278983817426,3.135398254367022e-05
2020-03-23,316,25.896414,4,3,309,1.265823,0.949367,0.00024769646209499475,403720,42525167,0.002476964620949947,2.3515486907752664e-05
2020-03-22,251,23.64532,4,2,245,1.593625,0.796813,0.00019674624046153063,508269,63787750,0.0019674624046153062,1.567699127183511e-05
2020-03-21,203,23.780488,4,2,197,1.970443,0.985222,0.00015912146140912637,628451,63787750,0.0015912146140912636,1.567699127183511e-05
2020-03-20,164,38.983051,4,1,159,2.439024,0.609756,0.0001285513284290479,777899,127575500,0.001285513284290479,7.838495635917555e-06
2020-03-19,118,26.88172,4,1,113,3.389831,0.847458,9.249424850382715e-05,1081148,127575500,0.0009249424850382715,7.838495635917555e-06
2020-03-18,93,13.414634,4,0,89,4.301075,0,7.289800941403325e-05,1371780,,0.0007289800941403326,0
2020-03-17,82,54.716981,4,0,78,4.878049,0,6.427566421452395e-05,1555799,,0.0006427566421452395,0
2020-03-16,53,29.268293,4,0,49,7.54717,0,4.154402687036304e-05,2407085,,0.0004154402687036304,0
2020-03-15,41,57.692308,4,0,37,9.756098,0,3.2137832107261974e-05,3111598,,0.00032137832107261976,0
2020-03-14,26,116.666667,4,0,22,15.384615,0,2.0380088653385642e-05,4906750,,0.0002038008865338564,0
2020-03-13,12,0,4,0,8,33.333333,0,9.406194763101066e-06,10631292,,9.406194763101066e-05,0
2020-03-12,12,50,4,0,8,33.333333,0,9.406194763101066e-06,10631292,,9.406194763101066e-05,0
2020-03-11,8,14.285714,4,0,4,50,0,6.270796508734044e-06,15946938,,6.270796508734044e-05,0
2020-03-10,7,0,4,0,3,57.142857,0,5.486946945142288e-06,18225071,,5.4869469451422884e-05,0
2020-03-09,7,0,1,0,6,14.285714,0,5.486946945142288e-06,18225071,,5.4869469451422884e-05,0
2020-03-08,7,16.666667,1,0,6,14.285714,0,5.486946945142288e-06,18225071,,5.4869469451422884e-05,0
2020-03-07,6,0,1,0,5,16.666667,0,4.703097381550533e-06,21262583,,4.703097381550533e-05,0
2020-03-06,6,20,1,0,5,16.666667,0,4.703097381550533e-06,21262583,,4.703097381550533e-05,0
2020-03-05,5,0,1,0,4,20,0,3.919247817958778e-06,25515100,,3.919247817958777e-05,0
2020-03-04,5,0,1,0,4,20,0,3.919247817958778e-06,25515100,,3.919247817958777e-05,0
2020-03-03,5,0,1,0,4,20,0,3.919247817958778e-06,25515100,,3.919247817958777e-05,0
2020-03-02,5,0,0,0,5,0,0,3.919247817958778e-06,25515100,,3.919247817958777e-05,0
2020-03-01,5,25,0,0,5,0,0,3.919247817958778e-06,25515100,,3.919247817958777e-05,0
2020-02-29,4,300,0,0,4,0,0,3.135398254367022e-06,31893875,,3.135398254367022e-05,0
2020-02-28,1,,0,0,1,0,0,7.838495635917555e-07,127575500,,7.838495635917555e-06,0

