"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-11-28,63176,2.125733,51314,354,11508,81.223882,0.560339,0.19773519709043563,506,90254,1.9773519709043563,0.011079881564203845
2020-11-27,61861,1.825454,50204,350,11307,81.15614,0.565785,0.193619365379439,516,91285,1.93619365379439,0.010954685162348434
2020-11-26,60752,1.563101,49056,348,11348,80.747959,0.572821,0.19014829513799775,526,91810,1.9014829513799774,0.010892086961420728
2020-11-25,59817,1.648342,46501,345,12971,77.73877,0.576759,0.18722182924462752,534,92608,1.8722182924462751,0.010798189660029172
2020-11-24,58847,3.861699,44153,341,14353,75.030163,0.579469,0.1841858164996338,543,93694,1.8418581649963381,0.01067299325817376
2020-11-23,56659,3.439525,42480,337,13842,74.97485,0.594786,0.17733757331814284,564,94807,1.7733757331814284,0.01054779685631835
2020-11-22,54775,2.041767,41597,335,12843,75.941579,0.611593,0.17144082279075298,583,95373,1.71440822790753,0.010485198655390644
2020-11-21,53679,1.977659,40493,332,12854,75.435459,0.618491,0.16801044137991475,595,96234,1.6801044137991474,0.010391301353999086
2020-11-20,52638,1.853715,39088,329,13221,74.258141,0.625024,0.16475220502162768,607,97112,1.6475220502162768,0.010297404052607529
2020-11-19,51680,2.560032,38132,326,13222,73.78483,0.630805,0.1617537511971906,618,98006,1.617537511971906,0.01020350675121597
2020-11-18,50390,1.327167,37254,322,12814,73.931336,0.639016,0.1577161672373536,634,99223,1.577161672373536,0.01007831034936056
2020-11-17,49730,2.493817,36624,318,12788,73.645687,0.639453,0.15565042660673933,642,100471,1.5565042660673933,0.009953113947505149
2020-11-16,48520,2.32617,35606,313,12601,73.384171,0.645095,0.15186323545061314,658,102076,1.5186323545061315,0.009796618445185886
2020-11-15,47417,2.614209,34785,309,12323,73.359765,0.651665,0.1484109446694502,674,103397,1.484109446694502,0.009671422043330475
2020-11-14,46209,2.47034,33772,306,12131,73.08533,0.662209,0.1446300133334168,691,104411,1.446300133334168,0.009577524741938917
2020-11-13,45095,2.977781,32969,304,11822,73.110101,0.674132,0.1411432935417436,708,105098,1.4114329354174362,0.009514926541011211
2020-11-12,43791,2.14359,32069,303,11419,73.231943,0.691923,0.13706189084125722,730,105445,1.3706189084125722,0.009483627440547359
2020-11-11,42872,1.954816,31073,302,11497,72.478541,0.704422,0.13418550350862915,745,105794,1.3418550350862917,0.009452328340083506
2020-11-10,42050,2.110196,30304,300,11446,72.066587,0.713436,0.13161271745050046,760,106499,1.3161271745050047,0.0093897301391558
2020-11-09,41181,2.417369,29579,294,11308,71.826813,0.713921,0.12889282562019166,776,108673,1.2889282562019169,0.009201935536372685
2020-11-08,40209,2.164799,28234,286,11689,70.21811,0.711284,0.1258505530551052,795,111713,1.258505530551052,0.008951542732661863
2020-11-07,39357,3.058472,27409,282,11666,69.641995,0.716518,0.12318386969558495,812,113297,1.2318386969558495,0.008826346330806452
2020-11-06,38189,4.816929,26380,279,11530,69.077483,0.730577,0.11952813476140696,837,114515,1.1952813476140696,0.008732449029414896
