"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-12,21,5,2,0,19,9.52381,0,6.915629322268326e-05,1446000,,0.0006915629322268327,0
2020-04-11,20,0,2,0,18,10,0,6.586313640255549e-05,1518300,,0.0006586313640255549,0
2020-04-10,20,17.647059,2,0,18,10,0,6.586313640255549e-05,1518300,,0.0006586313640255549,0
2020-04-09,17,0,1,0,16,5.882353,0,5.5983665942172164e-05,1786235,,0.0005598366594217216,0
2020-04-08,17,70,1,0,16,5.882353,0,5.5983665942172164e-05,1786235,,0.0005598366594217216,0
2020-04-07,10,0,1,0,9,10,0,3.293156820127774e-05,3036600,,0.00032931568201277747,0
2020-04-06,10,0,1,0,9,10,0,3.293156820127774e-05,3036600,,0.00032931568201277747,0
2020-04-05,10,0,1,0,9,10,0,3.293156820127774e-05,3036600,,0.00032931568201277747,0
2020-04-04,10,0,1,0,9,10,0,3.293156820127774e-05,3036600,,0.00032931568201277747,0
2020-04-03,10,0,0,0,10,0,0,3.293156820127774e-05,3036600,,0.00032931568201277747,0
2020-04-02,10,0,0,0,10,0,0,3.293156820127774e-05,3036600,,0.00032931568201277747,0
2020-04-01,10,25,0,0,10,0,0,3.293156820127774e-05,3036600,,0.00032931568201277747,0
2020-03-31,8,0,0,0,8,0,0,2.6345254561022197e-05,3795750,,0.00026345254561022194,0
2020-03-30,8,0,0,0,8,0,0,2.6345254561022197e-05,3795750,,0.00026345254561022194,0
2020-03-29,8,0,0,0,8,0,0,2.6345254561022197e-05,3795750,,0.00026345254561022194,0
2020-03-28,8,14.285714,0,0,8,0,0,2.6345254561022197e-05,3795750,,0.00026345254561022194,0
2020-03-27,7,0,0,0,7,0,0,2.305209774089442e-05,4338000,,0.0002305209774089442,0
2020-03-26,7,40,0,0,7,0,0,2.305209774089442e-05,4338000,,0.0002305209774089442,0
2020-03-25,5,66.666667,0,0,5,0,0,1.646578410063887e-05,6073200,,0.00016465784100638874,0
2020-03-24,3,200,0,0,3,0,0,9.879470460383324e-06,10122000,,9.879470460383324e-05,0
2020-03-23,1,0,0,0,1,0,0,3.2931568201277746e-06,30366000,,3.293156820127774e-05,0
2020-03-22,1,,0,0,1,0,0,3.2931568201277746e-06,30366000,,3.293156820127774e-05,0

