"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-03-15,41424,0.543689,38514,465,2445,92.975087,1.122538,1.660613349368611,60,5365,16.60613349368611,0.18641010222489476
2021-03-14,41200,0.426569,38470,458,2272,93.373786,1.11165,1.6516335939065945,61,5447,16.516335939065947,0.18360392864301464
2021-03-13,41025,0.526832,38264,458,2303,93.269957,1.116392,1.644618159951894,61,5447,16.44618159951894,0.18360392864301464
2021-03-12,40810,0.44055,38217,456,2137,93.646165,1.117373,1.6359991982361195,61,5470,16.359991982361194,0.18280216476247746
2021-03-11,40631,0.444983,38104,450,2077,93.780611,1.107529,1.6288234115053117,61,5543,16.28823411505312,0.1803968731208659
2021-03-10,40451,0.282619,38043,448,1960,94.047119,1.107513,1.621607536580477,62,5568,16.21607536580477,0.17959510924032873
2021-03-09,40337,0.373255,37893,444,2000,93.941047,1.100726,1.617037482461415,62,5618,16.17037482461415,0.17799158147925437
2021-03-08,40187,0.392206,37578,439,2170,93.507851,1.092393,1.6110242533573862,62,5682,16.110242533573864,0.1759871717779114
2021-03-07,40030,0.38368,37520,438,2072,93.729703,1.094179,1.6047304068951693,62,5695,16.047304068951693,0.17558628983764282
2021-03-06,39877,0.506603,37366,437,2074,93.703137,1.09587,1.5985969132090598,63,5708,15.985969132090599,0.17518540789737422
2021-03-05,39676,0.532104,37259,437,1980,93.908156,1.101422,1.5905391862096612,63,5708,15.905391862096613,0.17518540789737422
2021-03-04,39466,0.430058,37043,436,1987,93.860538,1.104748,1.5821206654640207,63,5721,15.821206654640209,0.17478452595710564
2021-03-03,39297,0.293502,36980,434,1883,94.103876,1.10441,1.5753457606734818,63,5748,15.753457606734816,0.17398276207656846
2021-03-02,39182,0.381728,36498,430,2254,93.149916,1.097443,1.5707356183603929,64,5801,15.70735618360393,0.1723792343154941
2021-03-01,39033,0.483975,36335,428,2270,93.0879,1.096508,1.5647624774503908,64,5828,15.647624774503909,0.1715774704349569
2021-02-28,38845,0.525335,36261,424,2160,93.347921,1.091518,1.5572258969733415,64,5883,15.572258969733413,0.16997394267388255
2021-02-27,38642,0.567354,36220,420,2002,93.732208,1.0869,1.549087993585889,65,5939,15.490879935858889,0.1683704149128082
2021-02-26,38424,0.570591,35994,418,2012,93.675828,1.087862,1.5403487672880336,65,5968,15.403487672880336,0.167568651032271
2021-02-25,38206,0.605646,35788,416,2002,93.671151,1.088834,1.5316095409901784,65,5996,15.316095409901784,0.16676688715173382
2021-02-24,37976,0.211104,35750,413,1813,94.138403,1.087529,1.522389256364001,66,6040,15.223892563640009,0.16556424133092804
2021-02-23,37896,0.408033,35419,411,2066,93.46369,1.084547,1.519182200841852,66,6069,15.191822008418521,0.16476247745039085
2021-02-22,37742,0.69098,35273,406,2063,93.458216,1.075725,1.5130086189617158,66,6144,15.130086189617158,0.1627580677490479
2021-02-21,37483,0.504089,35090,402,1991,93.615772,1.072486,1.5026257767087592,67,6205,15.026257767087593,0.16115453998797355
2021-02-20,37295,0.816371,35035,402,1858,93.940206,1.077892,1.4950891962317097,67,6205,14.950891962317097,0.16115453998797355
2021-02-19,36993,0.853326,34887,399,1707,94.307031,1.078582,1.4829825616355983,67,6252,14.829825616355983,0.15995189416716776
2021-02-18,36680,0.658617,34576,394,1710,94.263904,1.074155,1.4704349569051913,68,6331,14.704349569051914,0.15794748446582482
2021-02-17,36440,0.203487,34440,394,1606,94.511526,1.081229,1.4608137903387453,68,6331,14.608137903387453,0.15794748446582482
2021-02-16,36366,0.389234,34363,392,1611,94.492108,1.07793,1.4578472639807576,69,6364,14.578472639807577,0.15714572058528764
2021-02-15,36225,0.759346,34261,389,1575,94.57833,1.073844,1.4521948286229704,69,6413,14.521948286229705,0.15594307476448185
2021-02-14,35952,0.432997,34141,388,1423,94.962728,1.079217,1.441250751653638,69,6429,14.41250751653638,0.15554219282421328
2021-02-13,35797,0.683467,34099,386,1312,95.256586,1.078303,1.4350370815794748,70,6462,14.350370815794749,0.1547404289436761
2021-02-12,35554,0.568551,34002,384,1168,95.634809,1.080047,1.4252956504309482,70,6496,14.25295650430948,0.1539386650631389
2021-02-11,35353,0.314965,33950,382,1021,96.031454,1.080531,1.4172379234315493,71,6530,14.172379234315494,0.15313690118260173
2021-02-10,35242,0.116474,33778,378,1086,95.845866,1.072584,1.412788133894568,71,6599,14.12788133894568,0.15153337342152737
