"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-01,728,1.251739,478,33,217,65.659341,4.532967,0.0031230293384583046,32020,706385,0.031230293384583045,0.0014156589034220336
2020-04-30,719,0.841515,452,32,235,62.86509,4.450626,0.003084420459274067,32421,728459,0.030844204592740673,0.0013727601487728812
2020-04-29,713,0.564175,435,32,246,61.009818,4.488079,0.0030586812064845757,32694,728459,0.030586812064845755,0.0013727601487728812
2020-04-28,709,1.141227,403,31,275,56.840621,4.372355,0.0030415217046249146,32878,751958,0.030415217046249145,0.0013298613941237286
2020-04-27,701,0.718391,385,29,287,54.921541,4.136947,0.0030072027009055927,33253,803817,0.030072027009055927,0.0012440638848254235
2020-04-26,696,1.754386,350,29,317,50.287356,4.166667,0.0029857533235810164,33492,803817,0.029857533235810165,0.0012440638848254235
2020-04-25,684,0.440529,325,27,332,47.51462,3.947368,0.0029342748180020335,34080,863359,0.029342748180020334,0.0011582663755271183
2020-04-24,681,1.490313,289,24,368,42.437592,3.524229,0.0029214051916072875,34230,971279,0.029214051916072875,0.0010295701115796607
2020-04-23,671,1.359517,256,24,391,38.152012,3.576751,0.002878506436958135,34740,971279,0.02878506436958135,0.0010295701115796607
2020-04-22,662,0.761035,193,22,447,29.154079,3.323263,0.002839897557773898,35213,1059577,0.028398975577738978,0.0009437726022813557
2020-04-21,657,1.388889,127,20,510,19.330289,3.04414,0.0028184481804493216,35481,1165535,0.028184481804493216,0.0008579750929830507
2020-04-20,648,0,117,20,511,18.055556,3.08642,0.002779839301265084,35973,1165535,0.027798393012650843,0.0008579750929830507
2020-04-19,648,1.408451,117,20,511,18.055556,3.08642,0.002779839301265084,35973,1165535,0.027798393012650843,0.0008579750929830507
2020-04-18,639,1.913876,113,19,507,17.683881,2.973396,0.002741230422080847,36480,1226879,0.02741230422080847,0.0008150763383338981
2020-04-17,627,7.363014,110,18,499,17.54386,2.870813,0.0026897519165018638,37178,1295039,0.02689751916501864,0.0007721775836847456
2020-04-16,584,0,90,14,480,15.410959,2.39726,0.0025052872715105082,39916,1665050,0.02505287271510508,0.0006005825650881355
2020-04-15,584,2.45614,90,14,480,15.410959,2.39726,0.0025052872715105082,39916,1665050,0.02505287271510508,0.0006005825650881355
2020-04-14,570,7.750473,90,14,466,15.789474,2.45614,0.0024452290150016945,40896,1665050,0.024452290150016945,0.0006005825650881355
2020-04-13,529,0,75,12,442,14.177694,2.268431,0.0022693441209401693,44066,1942558,0.02269344120940169,0.0005147850557898304
2020-04-12,529,7.739308,75,12,442,14.177694,2.268431,0.0022693441209401693,44066,1942558,0.02269344120940169,0.0005147850557898304
2020-04-11,491,12.100457,41,11,439,8.350305,2.240326,0.0021063288532733896,47476,2119155,0.021063288532733895,0.00047188630114067785
2020-04-10,438,6.829268,41,11,386,9.360731,2.511416,0.001878965453632881,53221,2119155,0.01878965453632881,0.00047188630114067785
2020-04-09,410,19.883041,40,11,359,9.756098,2.682927,0.001758848940615254,56855,2119155,0.017588489406152538,0.00047188630114067785
2020-04-08,342,23.021583,28,11,303,8.187135,3.216374,0.0014671374090010167,68160,2119155,0.014671374090010167,0.00047188630114067785
2020-04-07,278,9.881423,26,11,241,9.352518,3.956835,0.0011925853792464404,83851,2119155,0.011925853792464405,0.00047188630114067785
2020-04-06,253,37.5,26,10,217,10.27668,3.952569,0.001085338492623559,92137,2331070,0.01085338492623559,0.00042898754649152535
2020-04-05,184,27.777778,13,10,161,7.065217,5.434783,0.0007893370855444066,126689,2331070,0.007893370855444067,0.00042898754649152535
2020-04-04,144,20,0,8,136,0,5.555556,0.0006177420669477965,161880,2913838,0.006177420669477965,0.0003431900371932203
2020-04-03,120,22.44898,0,5,115,0,4.166667,0.0005147850557898305,194256,4662140,0.005147850557898304,0.00021449377324576267
2020-04-02,98,32.432432,0,5,93,0,5.102041,0.00042040779556169484,237864,4662140,0.004204077955616948,0.00021449377324576267
2020-04-01,74,174.074074,0,5,69,0,6.756757,0.00031745078440372876,315009,4662140,0.0031745078440372876,0.00021449377324576267
2020-03-31,27,0,0,3,24,0,11.111111,0.00011582663755271185,863359,7770233,0.0011582663755271183,0.0001286962639474576
2020-03-30,27,50,0,3,24,0,11.111111,0.00011582663755271185,863359,7770233,0.0011582663755271183,0.0001286962639474576
2020-03-29,18,80,0,1,17,0,5.555556,7.721775836847456e-05,1295039,23310700,0.0007721775836847456,4.2898754649152536e-05
2020-03-28,10,0,0,1,9,0,10,4.2898754649152536e-05,2331070,23310700,0.00042898754649152535,4.2898754649152536e-05
2020-03-27,10,0,0,1,9,0,10,4.2898754649152536e-05,2331070,23310700,0.00042898754649152535,4.2898754649152536e-05
2020-03-26,10,42.857143,0,1,9,0,10,4.2898754649152536e-05,2331070,23310700,0.00042898754649152535,4.2898754649152536e-05
2020-03-25,7,133.333333,0,1,6,0,14.285714,3.0029128254406776e-05,3330100,23310700,0.00030029128254406773,4.2898754649152536e-05
2020-03-24,3,0,0,0,3,0,0,1.286962639474576e-05,7770233,,0.0001286962639474576,0
2020-03-23,3,50,0,0,3,0,0,1.286962639474576e-05,7770233,,0.0001286962639474576,0
2020-03-22,2,100,0,0,2,0,0,8.579750929830506e-06,11655350,,8.579750929830507e-05,0
2020-03-21,1,0,0,0,1,0,0,4.289875464915253e-06,23310700,,4.2898754649152536e-05,0
2020-03-20,1,,0,0,1,0,0,4.289875464915253e-06,23310700,,4.2898754649152536e-05,0

