"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-12,323,1.572327,85,10,228,26.315789,3.095975,0.0001607256239438386,622178,20096360,0.0016072562394383858,4.97602550909717e-05
2020-04-11,318,4.262295,70,10,238,22.012579,3.144654,0.00015823761118929,631961,20096360,0.0015823761118929,4.97602550909717e-05
2020-04-10,305,5.902778,58,7,240,19.016393,2.295082,0.00015176877802746368,658897,28709086,0.0015176877802746368,3.483217856368019e-05
2020-04-09,288,4.347826,51,7,230,17.708333,2.430556,0.00014330953466199848,697790,28709086,0.0014330953466199848,3.483217856368019e-05
2020-04-08,276,8.661417,44,6,226,15.942029,2.173913,0.0001373383040510819,728129,33493933,0.0013733830405108188,2.985615305458302e-05
2020-04-07,254,6.722689,44,6,204,17.322835,2.362205,0.0001263910479310681,791195,33493933,0.001263910479310681,2.985615305458302e-05
2020-04-06,238,2.586207,35,5,198,14.705882,2.10084,0.00011842940711651265,844385,40192720,0.0011842940711651263,2.488012754548585e-05
2020-04-05,232,8.411215,33,5,194,14.224138,2.155172,0.00011544379181105434,866222,40192720,0.0011544379181105434,2.488012754548585e-05
2020-04-04,214,1.904762,25,4,185,11.682243,1.869159,0.00010648694589467943,939082,50240900,0.0010648694589467944,1.9904102036388678e-05
2020-04-03,210,14.130435,25,4,181,11.904762,1.904762,0.00010449653569104057,956970,50240900,0.0010449653569104057,1.9904102036388678e-05
2020-04-02,184,5.747126,20,2,162,10.869565,1.086957,9.155886936738793e-05,1092193,100481800,0.0009155886936738792,9.952051018194339e-06
2020-04-01,174,28.888889,9,2,163,5.172414,1.149425,8.658284385829076e-05,1154963,100481800,0.0008658284385829075,9.952051018194339e-06
2020-03-31,135,3.053435,8,2,125,5.925926,1.481481,6.71763443728118e-05,1488619,100481800,0.0006717634437281179,9.952051018194339e-06
2020-03-30,131,18.018018,8,2,121,6.10687,1.526718,6.518593416917292e-05,1534073,100481800,0.0006518593416917292,9.952051018194339e-06
2020-03-29,111,24.719101,3,1,107,2.702703,0.900901,5.523388315097859e-05,1810483,200963600,0.0005523388315097858,4.9760255090971695e-06
2020-03-28,89,27.142857,3,1,85,3.370787,1.123596,4.428662703096481e-05,2258018,200963600,0.0004428662703096481,4.9760255090971695e-06
2020-03-27,70,7.692308,3,1,66,4.285714,1.428571,3.483217856368019e-05,2870909,200963600,0.0003483217856368019,4.9760255090971695e-06
2020-03-26,65,27.45098,2,1,62,3.076923,1.538462,3.23441658091316e-05,3091748,200963600,0.00032344165809131603,4.9760255090971695e-06
2020-03-25,51,15.909091,2,1,48,3.921569,1.960784,2.5377730096395566e-05,3940463,200963600,0.00025377730096395564,4.9760255090971695e-06
2020-03-24,44,10,2,1,41,4.545455,2.272727,2.1894512240027546e-05,4567355,200963600,0.00021894512240027547,4.9760255090971695e-06
2020-03-23,40,33.333333,2,1,37,5,2.5,1.9904102036388678e-05,5024090,200963600,0.0001990410203638868,4.9760255090971695e-06
2020-03-22,30,36.363636,2,0,28,6.666667,0,1.492807652729151e-05,6698787,,0.00014928076527291509,0
2020-03-21,22,83.333333,1,0,21,4.545455,0,1.0947256120013773e-05,9134709,,0.00010947256120013774,0
2020-03-20,12,50,1,0,11,8.333333,0,5.9712306109166035e-06,16746967,,5.971230610916604e-05,0
2020-03-19,8,0,1,0,7,12.5,0,3.980820407277736e-06,25120450,,3.9808204072777356e-05,0
2020-03-18,8,166.666667,1,0,7,12.5,0,3.980820407277736e-06,25120450,,3.9808204072777356e-05,0
2020-03-17,3,50,0,0,3,0,0,1.4928076527291509e-06,66987867,,1.492807652729151e-05,0
2020-03-16,2,0,0,0,2,0,0,9.95205101819434e-07,100481800,,9.952051018194339e-06,0
2020-03-15,2,0,0,0,2,0,0,9.95205101819434e-07,100481800,,9.952051018194339e-06,0
2020-03-14,2,0,0,0,2,0,0,9.95205101819434e-07,100481800,,9.952051018194339e-06,0
2020-03-13,2,0,0,0,2,0,0,9.95205101819434e-07,100481800,,9.952051018194339e-06,0
2020-03-12,2,0,0,0,2,0,0,9.95205101819434e-07,100481800,,9.952051018194339e-06,0
2020-03-11,2,0,0,0,2,0,0,9.95205101819434e-07,100481800,,9.952051018194339e-06,0
2020-03-10,2,0,0,0,2,0,0,9.95205101819434e-07,100481800,,9.952051018194339e-06,0
2020-03-09,2,100,0,0,2,0,0,9.95205101819434e-07,100481800,,9.952051018194339e-06,0
2020-03-08,1,0,0,0,1,0,0,4.97602550909717e-07,200963600,,4.9760255090971695e-06,0
2020-03-07,1,0,0,0,1,0,0,4.97602550909717e-07,200963600,,4.9760255090971695e-06,0
2020-03-06,1,0,0,0,1,0,0,4.97602550909717e-07,200963600,,4.9760255090971695e-06,0
2020-03-05,1,0,0,0,1,0,0,4.97602550909717e-07,200963600,,4.9760255090971695e-06,0
2020-03-04,1,0,0,0,1,0,0,4.97602550909717e-07,200963600,,4.9760255090971695e-06,0
2020-03-03,1,0,0,0,1,0,0,4.97602550909717e-07,200963600,,4.9760255090971695e-06,0
2020-03-02,1,0,0,0,1,0,0,4.97602550909717e-07,200963600,,4.9760255090971695e-06,0
2020-03-01,1,0,0,0,1,0,0,4.97602550909717e-07,200963600,,4.9760255090971695e-06,0
2020-02-29,1,0,0,0,1,0,0,4.97602550909717e-07,200963600,,4.9760255090971695e-06,0
2020-02-28,1,,0,0,1,0,0,4.97602550909717e-07,200963600,,4.9760255090971695e-06,0

