"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-19,32655,3.374592,250,3684,28721,0.76558,11.28158,0.1909973036362892,524,4641,1.9099730363628922,0.2154751390586708
2020-04-18,31589,3.743965,250,3601,27738,0.791415,11.399538,0.18476232811412463,541,4748,1.8476232811412463,0.21062051459019368
2020-04-17,30449,4.227425,250,3459,26740,0.821045,11.359979,0.17809453065139702,561,4943,1.7809453065139704,0.2023150124874979
2020-04-16,29214,3.768693,250,3315,25649,0.855754,11.347299,0.1708710834001088,585,5157,1.7087108340010881,0.19389253148194724
2020-04-15,28153,2.676976,250,3134,24769,0.888005,11.132029,0.16466535260365794,607,5455,1.6466535260365796,0.1833059407735815
2020-04-14,27419,3.26918,250,2945,24224,0.911777,10.740727,0.1603722268688842,624,5805,1.6037222686888422,0.17225143445379626
2020-04-13,26551,3.767538,250,2823,23478,0.941584,10.632368,0.15529534248498283,644,6056,1.5529534248498285,0.1651157213796492
2020-04-12,25587,4.808913,250,2737,22600,0.977059,10.696838,0.1496569593673781,668,6247,1.496569593673781,0.1600856285568898
2020-04-11,24413,5.69771,250,2643,21520,1.024045,10.826199,0.1427902977697972,700,6469,1.4279029776979724,0.15458762012271088
2020-04-10,23097,6.134546,250,2511,20336,1.082392,10.871542,0.13509308596194677,740,6809,1.3509308596194678,0.14686701253428947
2020-04-09,21762,5.902964,250,2396,19116,1.148791,11.010017,0.1272847441963842,786,7136,1.272847441963842,0.1401407256201344
2020-04-08,20549,4.948927,250,2248,18051,1.216604,10.939705,0.12018997373823631,832,7605,1.2018997373823632,0.13148428680887403
2020-04-07,19580,4.132319,250,2101,17229,1.276813,10.730337,0.11452234589491785,873,8138,1.1452234589491785,0.12288633744904108
2020-04-06,18803,5.333035,250,1867,16686,1.329575,9.929267,0.10997771551900615,909,9158,1.0997771551900615,0.10919980581502127
2020-04-05,17851,7.36152,250,1766,15835,1.400482,9.893003,0.10440951974311433,958,9681,1.0440951974311434,0.10329237122085033
2020-04-04,16627,5.749539,250,1651,14726,1.503579,9.929633,0.09725041088839628,1028,10356,0.9725041088839629,0.09656608430669529
