"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-01-11,55903,0.773335,17998,478,37427,32.195052,0.855053,1.0393017159642306,96,11253,10.393017159642307,0.08886575322091878
2021-01-10,55474,1.010579,17998,472,37004,32.444028,0.850849,1.0313261075684619,97,11396,10.31326107568462,0.08775028351521687
2021-01-09,54919,0.813202,17998,472,36449,32.7719,0.859448,1.0210080127907193,98,11396,10.210080127907194,0.08775028351521687
2021-01-08,54476,1.271565,17998,472,36006,33.038402,0.866437,1.0127721281302868,99,11396,10.12772128130287,0.08775028351521687
2021-01-07,53792,1.557574,17998,467,35327,33.458507,0.868159,1.000055773485285,100,11518,10.000557734852851,0.08682072542713194
2021-01-06,52967,1.508241,17998,465,34504,33.979648,0.877905,0.9847180650318839,102,11568,9.847180650318839,0.08644890219189798
2021-01-05,52180,1.824568,17998,452,33730,34.492143,0.866232,0.9700868207254272,103,11900,9.700868207254272,0.08403205116287718
2021-01-04,51245,1.043063,17998,449,32798,35.121475,0.876183,0.9527040844782391,105,11980,9.527040844782391,0.08347431631002622
2021-01-03,50716,0.895237,17998,436,32282,35.487814,0.859689,0.9428693599063005,106,12337,9.428693599063006,0.08105746528100541
2021-01-02,50266,0.929663,17998,436,31832,35.805515,0.867386,0.9345033371135362,107,12337,9.345033371135363,0.08105746528100541
2021-01-01,49803,0.476123,17998,436,31369,36.138385,0.875449,0.9258956292178698,108,12337,9.258956292178699,0.08105746528100541
2020-12-31,49567,1.136503,17998,436,31133,36.310448,0.879617,0.9215081150421089,109,12337,9.21508115042109,0.08105746528100541
2020-12-30,49010,1.516219,17998,436,30576,36.723118,0.889614,0.9111528379408429,110,12337,9.11152837940843,0.08105746528100541
2020-12-29,48278,1.456341,17998,433,29847,37.27992,0.896889,0.8975441075312797,111,12422,8.975441075312798,0.08049973042815446
2020-12-28,47585,1.117746,17998,429,29158,37.822843,0.901545,0.8846604324304226,113,12538,8.846604324304227,0.07975608395768652
2020-12-27,47059,0.81623,17998,421,28640,38.245607,0.894622,0.8748814813437692,114,12776,8.748814813437692,0.07826879101675065
2020-12-26,46678,0.92977,17998,421,28259,38.557779,0.901924,0.8677982487125621,115,12776,8.677982487125622,0.07826879101675065
