"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-06-16,2475988,1.27398878,799553,145781,1530654,32.2922809,5.8877911,0.42161091366866976,237,4028,4.216109136686697,0.24823569664122905
2020-06-15,2444841,1.04343952,788067,144111,1512663,32.233875,5.8944938,0.4163072065715279,240,4075,4.163072065715279,0.24539202281960035
2020-06-14,2419594,1.1172405,766783,143212,1509599,31.69056462,5.91884424,0.4120081507047818,243,4101,4.120081507047818,0.2438612067922685
2020-06-13,2392860,1.3609767,756996,142568,1493296,31.635616,5.9580586,0.4074558886720021,245,4119,4.074558886720021,0.24276460443231107
2020-06-12,2360731,1.44318405,743088,141272,1476371,31.47702978,5.9842481,0.4019849667429537,249,4157,4.019849667429536,0.24055777732283157
2020-06-11,2327146,1.32484702,728147,139826,1459173,31.2892702,6.00847562,0.396266117323828,252,4200,3.9626611732382795,0.23809553040901416
2020-06-10,2296718,1.25577872,716779,138261,1441678,31.208838,6.01993802,0.39108484145289873,256,4248,3.9108484145289872,0.235430650450422
2020-06-09,2268234,1.1075213,703166,136486,1428582,31.00059341,6.0172804,0.38623458964839147,259,4303,3.862345896483914,0.23240818276575675
2020-06-08,2243388,1.03608251,691955,134791,1416642,30.8441964,6.0083677,0.38200381600933836,262,4357,3.8200381600933833,0.22952193897673842
2020-06-07,2220383,1.091923,674744,133889,1411750,30.38863115,6.02999573,0.37808652761014266,264,4386,3.7808652761014265,0.22798601455331982
2020-06-06,2196400,1.35049395,665327,133190,1397883,30.291705,6.064014,0.37400270549851866,267,4409,3.7400270549851866,0.22679575826510517
2020-06-05,2167133,1.71095773,651429,132023,1383681,30.05948412,6.09205803,0.369019124556147,271,4448,3.69019124556147,0.22480859218735624
2020-06-04,2130678,1.3206005,640198,130099,1360381,30.04667998,6.10599068,0.3628115719113881,276,4514,3.6281157191138806,0.2215324074970487
2020-06-03,2102907,1.24396445,631214,128072,1343621,30.01625845,6.09023604,0.35808272965387605,279,4585,3.5808272965387604,0.21808083454109578
2020-06-02,2077069,1.30136472,611750,125842,1339477,29.45256031,6.05863358,0.3536830383842209,283,4667,3.5368303838422084,0.21428359344993891
2020-06-01,2050386,1.27153344,602327,124218,1323841,29.37627354,6.0582739,0.3491394606247886,286,4728,3.491394606247886,0.21151824836830718
2020-05-31,2024642,1.28319737,584290,123161,1317191,28.85892913,6.08310012,0.3447557756628719,290,4768,3.4475577566287186,0.20971839014707272
2020-05-30,1998991,1.5026419,551585,122160,1325246,27.59317075,6.11108304,0.3403879267288241,294,4807,3.403879267288241,0.2080138886527911
2020-05-29,1969398,1.5443585,536414,120691,1312293,27.2374604,6.1283194,0.33534883454897635,298,4866,3.3534883454897635,0.2055124773689752
2020-05-28,1939446,1.471018,525412,119023,1295011,27.090829,6.1369587,0.33024861189595706,303,4934,3.3024861189595702,0.20267220914473769
2020-05-27,1911330,1.274589,513626,117242,1280462,26.8727012,6.1340533,0.3254610230834473,307,5009,3.254610230834473,0.19963952466789894
2020-05-26,1887275,1.3256315,502376,115128,1269771,26.61912,6.100224,0.3213649408212151,311,5101,3.2136494082121505,0.19603980822543005
2020-05-25,1862584,1.29747374,493060,113790,1255734,26.4718262,6.1092547,0.3171605605619436,315,5161,3.1716056056194355,0.19376146357073593
2020-05-24,1838727,1.43732488,477140,112920,1248667,25.94947483,6.1412053,0.313098193713884,319,5201,3.130981937138839,0.19228002870557606
2020-05-23,1812673,1.5372249,467981,111977,1232715,25.81717717,6.17745175,0.3086617219924041,324,5245,3.0866172199240407,0.19067428953563842
2020-05-22,1785230,1.6598314,453569,110562,1221099,25.4067543,6.1931516,0.3039887315321073,329,5312,3.039887315321073,0.18826482938138417
2020-05-21,1756082,1.7681094,398567,108686,1248829,22.6963775,6.1891187,0.2990254138942131,334,5403,2.990254138942131,0.18507037902846474
2020-05-20,1725572,1.6066787,391345,106862,1227365,22.6791464,6.192845,0.29383017507398007,340,5496,2.9383017507398006,0.1819644742077158
2020-05-19,1698286,1.51997269,383961,104783,1209542,22.6087361,6.1699266,0.289183918553204,346,5605,2.89183918553204,0.17842435571959242
2020-05-18,1672859,1.58135361,374582,102780,1195497,22.39172578,6.14397268,0.2848542123099374,351,5714,2.8485421230993735,0.17501364993233356
2020-05-17,1646817,1.4024276,360096,101766,1184955,21.8661819,6.1795573,0.2804197839468922,357,5771,2.8041978394689218,0.17328701205500932
2020-05-16,1624041,1.8357564,351760,100709,1171572,21.6595517,6.20113655,0.27654148963782543,362,5831,2.765414896378254,0.17148715383377489
2020-05-15,1594765,1.8955363,331536,99070,1164159,20.7890191,6.2122005,0.2715563761766277,368,5928,2.715563761766277,0.16869626677170935
2020-05-14,1565098,2.0663722,324122,97048,1143928,20.7093741,6.2007619,0.2665046832864326,375,6051,2.6650468328643258,0.16525320780923436
2020-05-13,1533412,1.63682122,318454,94812,1120146,20.7676737,6.1830741,0.2611091953395987,383,6194,2.6110919533959867,0.161445749925904
2020-05-12,1508717,1.7146413,302942,92633,1113142,20.07944499,6.1398526,0.25690413396084893,389,6340,2.5690413396084892,0.157735351568222
2020-05-11,1483284,1.49684312,299713,90375,1093196,20.2060428,6.0928993,0.2525734060383649,396,6498,2.525734060383649,0.15389043211358872
2020-05-10,1461409,1.6325506,280761,88966,1091682,19.21166491,6.08768661,0.24884853389177047,402,6601,2.4884853389177044,0.15149118875150797
2020-05-09,1437934,2.1101846,275777,87936,1074221,19.1786967,6.1154406,0.24485121395388224,408,6678,2.4485121395388223,0.14973730609505434
2020-05-08,1408218,2.251954,255663,85988,1066567,18.1550726,6.1061569,0.23979117735007877,417,6830,2.3979117735007875,0.14642025423605273
2020-05-07,1377204,2.4341045,247835,84097,1045272,17.9955185,6.1063575,0.2345101174755882,426,6983,2.345101174755882,0.14320026190269952
2020-05-06,1344478,2.141163,241372,81403,1021703,17.9528412,6.0546175,0.2289375384644133,437,7214,2.2893753846441327,0.13861292221679072
2020-05-05,1316294,2.1041478,238901,78637,998756,18.1495167,5.9741213,0.2241383706207736,446,7468,2.2413837062077357,0.13390298102479972
2020-05-04,1289168,2.0473299,231469,76041,981658,17.9549136,5.8984554,0.2195193588791269,456,7723,2.195193588791269,0.12948251561105836
