"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-01-28,50112,0.095877,34009,1076,15027,67.86598,2.14719,0.11895176604633494,841,39152,1.1895176604633493,0.02554120774781617
2021-01-27,50064,0.095969,34003,1076,14985,67.919064,2.149249,0.11883782757311048,841,39152,1.1883782757311048,0.02554120774781617
2021-01-26,50016,0.150177,33986,1076,14954,67.950256,2.151312,0.11872388909988602,842,39152,1.1872388909988603,0.02554120774781617
2021-01-25,49941,0.130323,33948,1074,14919,67.976212,2.150538,0.1185458602354728,844,39225,1.185458602354728,0.025493733383972646
2021-01-24,49876,0.03209,33943,1073,14860,68.054776,2.151335,0.11839156855298134,845,39262,1.1839156855298134,0.025469996202050885
2021-01-23,49860,0.02608,33909,1073,14878,68.008424,2.152026,0.11835358906190653,845,39262,1.1835358906190654,0.025469996202050885
2021-01-22,49847,0.074282,33895,1073,14879,67.998074,2.152587,0.11832273072540823,845,39262,1.1832273072540824,0.025469996202050885
2021-01-21,49810,0.279841,33884,1073,14853,68.026501,2.154186,0.11823490315229772,846,39262,1.1823490315229772,0.025469996202050885
2021-01-20,49671,0.020137,33863,1072,14736,68.174589,2.158201,0.11790495632358522,848,39299,1.1790495632358522,0.025446259020129123
2021-01-19,49661,0.028199,33819,1072,14770,68.099716,2.158636,0.11788121914166345,848,39299,1.1788121914166345,0.025446259020129123
2021-01-18,49647,0.145234,33793,1072,14782,68.06655,2.159244,0.117847987086973,849,39299,1.17847987086973,0.025446259020129123
2021-01-17,49575,0.03834,33780,1071,14724,68.139183,2.160363,0.1176770793771363,850,39335,1.176770793771363,0.025422521838207358
2021-01-16,49556,0.068656,33763,1071,14722,68.131003,2.161191,0.11763197873148495,850,39335,1.1763197873148497,0.025422521838207358
2021-01-15,49522,0.133452,33743,1071,14708,68.137393,2.162675,0.11755127231295097,851,39335,1.1755127231295097,0.025422521838207358
2021-01-14,49456,0.273717,33730,1071,14655,68.202038,2.165561,0.11739460691226733,852,39335,1.1739460691226733,0.025422521838207358
2021-01-13,49321,0.203165,33717,1069,14535,68.362361,2.167434,0.11707415495632355,854,39409,1.1707415495632354,0.025375047474363834
2021-01-12,49221,0.181145,33707,1069,14445,68.480933,2.171837,0.11683678313710592,856,39409,1.1683678313710593,0.025375047474363834
2021-01-11,49132,0.259157,33664,1069,14399,68.517463,2.175771,0.11662552221800224,857,39409,1.1662552221800224,0.025375047474363834
2021-01-10,49005,0.044914,33658,1067,14280,68.682787,2.177329,0.11632406000759586,860,39483,1.1632406000759585,0.02532757311052031
2021-01-09,48983,0.089908,33644,1067,14272,68.685054,2.178307,0.11627183820736799,860,39483,1.1627183820736797,0.02532757311052031
2021-01-08,48939,0.141191,33619,1067,14253,68.695723,2.180265,0.11616739460691222,861,39483,1.1616739460691223,0.02532757311052031
2021-01-07,48870,0.182448,33615,1066,14189,68.78453,2.181297,0.11600360805165207,862,39520,1.1600360805165206,0.02530383592859855
2021-01-06,48781,0.112876,33602,1066,14113,68.883377,2.185277,0.11579234713254838,864,39520,1.1579234713254838,0.02530383592859855
2021-01-05,48726,0.253071,33593,1066,14067,68.942659,2.187744,0.11566179263197869,865,39520,1.1566179263197869,0.02530383592859855
2021-01-04,48603,0.16487,33577,1066,13960,69.084213,2.19328,0.11536982529434102,867,39520,1.15369825294341,0.02530383592859855
2021-01-03,48523,0.084567,33553,1059,13911,69.148651,2.18247,0.11517992783896691,868,39781,1.1517992783896691,0.025137675655146213
2021-01-02,48482,0.088771,33459,1059,13964,69.013242,2.184316,0.11508260539308769,869,39781,1.150826053930877,0.025137675655146213
2021-01-01,48439,0.072308,33449,1059,13931,69.053862,2.186255,0.11498053551082411,870,39781,1.1498053551082412,0.025137675655146213
2020-12-31,48404,0.196651,33441,1059,13904,69.087266,2.187836,0.11489745537409794,870,39781,1.1489745537409795,0.025137675655146213
2020-12-30,48309,0.188726,33440,1059,13810,69.221056,2.192138,0.11467195214584121,872,39781,1.146719521458412,0.025137675655146213
2020-12-29,48218,0.278679,33427,1058,13733,69.324734,2.194201,0.11445594379035316,874,39819,1.1445594379035318,0.02511393847322445
2020-12-28,48084,0.344331,33421,1058,13605,69.505449,2.200316,0.11413786555260155,876,39819,1.1413786555260155,0.02511393847322445
2020-12-27,47919,0.060555,33398,1053,13468,69.69678,2.197458,0.11374620205089248,879,40008,1.1374620205089248,0.02499525256361564
2020-12-26,47890,0.056411,33395,1052,13443,69.732721,2.196701,0.11367736422331937,880,40046,1.1367736422331938,0.024971515381693878
2020-12-25,47863,0.048077,33377,1052,13434,69.73445,2.19794,0.11361327383213062,880,40046,1.136132738321306,0.024971515381693878
2020-12-24,47840,0.240964,33374,1052,13414,69.761706,2.198997,0.11355867831371055,881,40046,1.1355867831371056,0.024971515381693878
2020-12-23,47725,0.170011,33312,1051,13362,69.799895,2.2022,0.11328570072161029,883,40084,1.1328570072161028,0.024947778199772116
2020-12-22,47644,0.191365,33308,1050,13286,69.910167,2.203845,0.11309342954804402,884,40122,1.1309342954804402,0.02492404101785035
2020-12-21,47553,0.390559,33285,1050,13218,69.995584,2.208063,0.11287742119255598,886,40122,1.1287742119255597,0.02492404101785035
2020-12-20,47368,0.073944,33278,1046,13044,70.25418,2.208242,0.11243828332700338,889,40275,1.1243828332700339,0.024829092290163304
2020-12-19,47333,0.101512,33272,1046,13015,70.293453,2.209875,0.11235520319027721,890,40275,1.123552031902772,0.024829092290163304
2020-12-18,47285,0.205561,33266,1046,12973,70.35212,2.212118,0.11224126471705276,891,40275,1.1224126471705276,0.024829092290163304
2020-12-17,47188,0.438466,33261,1044,12883,70.486141,2.212427,0.11201101405241166,893,40352,1.1201101405241165,0.02478161792631978
2020-12-16,46982,0.249653,33256,1041,12685,70.784556,2.215742,0.11152202810482335,897,40469,1.1152202810482337,0.02471040638055449
2020-12-15,46865,0.306066,33250,1040,12575,70.948469,2.21914,0.11124430307633874,899,40508,1.1124430307633875,0.02468666919863273
2020-12-14,46722,0.300545,33232,1039,12451,71.127092,2.223792,0.11090486137485754,902,40547,1.1090486137485753,0.024662932016710968
2020-12-13,46582,0.030064,33216,1034,12332,71.306513,2.219742,0.11057254082795287,904,40743,1.1057254082795287,0.024544246107102156
2020-12-12,46568,0.01933,33212,1034,12322,71.319361,2.220409,0.1105393087732624,905,40743,1.105393087732624,0.024544246107102156
2020-12-11,46559,0.286477,33203,1034,12322,71.313817,2.220838,0.11051794530953281,905,40743,1.105179453095328,0.024544246107102156
2020-12-10,46426,0.3003,33197,1033,12196,71.505191,2.225046,0.11020224078997337,907,40782,1.1020224078997338,0.024520508925180394
2020-12-09,46287,0.188312,33194,1032,12061,71.71344,2.229568,0.10987229396126089,910,40822,1.0987229396126088,0.024496771743258632
2020-12-08,46200,0.537506,33181,1028,11991,71.820346,2.225108,0.10966578047854154,912,40981,1.0966578047854154,0.024401823015571582
2020-12-07,45953,0.04572,33168,1021,11764,72.178095,2.221835,0.10907947208507403,917,41262,1.0907947208507403,0.024235662742119246
2020-12-06,45932,0.01742,33154,1021,11757,72.180615,2.222851,0.10902962400303833,917,41262,1.0902962400303833,0.024235662742119246
2020-12-05,45924,0.019601,33150,1021,11753,72.184479,2.223238,0.1090106342575009,917,41262,1.090106342575009,0.024235662742119246
2020-12-04,45915,0.501248,33142,1021,11752,72.181204,2.223674,0.10898927079377133,918,41262,1.0898927079377132,0.024235662742119246
2020-12-03,45686,0.426449,33126,1020,11540,72.507989,2.232631,0.10844568932776297,922,41302,1.0844568932776297,0.024211925560197484
2020-12-02,45492,0.401677,33098,1019,11375,72.755649,2.239954,0.10798518799848078,926,41342,1.0798518799848078,0.024188188378275723
2020-12-01,45310,0.470087,33079,1018,11213,73.005959,2.246745,0.1075531712875047,930,41383,1.075531712875047,0.02416445119635396
2020-11-30,45098,0.68091,33074,1017,11007,73.338064,2.255089,0.10704994303076334,934,41424,1.0704994303076336,0.0241407140144322
