"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-12,599,9.70696,109,4,486,18.196995,0.66778,0.012040201005025125,8306,1243750,0.12040201005025125,0.0008040201005025126
2020-04-11,546,12.809917,109,3,434,19.96337,0.549451,0.010974874371859296,9112,1658333,0.10974874371859296,0.0006030150753768845
2020-04-10,484,5.908096,109,3,372,22.520661,0.619835,0.009728643216080402,10279,1658333,0.09728643216080402,0.0006030150753768845
2020-04-09,457,9.069212,109,3,345,23.851204,0.656455,0.009185929648241206,10886,1658333,0.09185929648241206,0.0006030150753768845
2020-04-08,419,12.938005,72,2,345,17.183771,0.477327,0.008422110552763819,11874,2487500,0.08422110552763819,0.0004020100502512563
2020-04-07,371,12.084592,67,2,302,18.059299,0.539084,0.007457286432160804,13410,2487500,0.07457286432160803,0.0004020100502512563
2020-04-06,331,11.073826,61,2,268,18.429003,0.60423,0.006653266331658292,15030,2487500,0.06653266331658292,0.0004020100502512563
2020-04-05,298,7.581227,61,2,235,20.469799,0.671141,0.0059899497487437186,16695,2487500,0.059899497487437184,0.0004020100502512563
2020-04-04,277,9.920635,61,2,214,22.021661,0.722022,0.0055678391959799,17960,2487500,0.055678391959799,0.0004020100502512563
2020-04-03,252,9.090909,57,1,194,22.619048,0.396825,0.005065326633165829,19742,4975000,0.050653266331658293,0.00020100502512562814
2020-04-02,231,10,57,1,173,24.675325,0.4329,0.00464321608040201,21537,4975000,0.0464321608040201,0.00020100502512562814
2020-04-01,210,9.375,34,1,175,16.190476,0.47619,0.004221105527638191,23690,4975000,0.04221105527638191,0.00020100502512562814
2020-03-31,192,7.26257,34,1,157,17.708333,0.520833,0.0038592964824120603,25911,4975000,0.038592964824120606,0.00020100502512562814
2020-03-30,179,7.185629,29,0,150,16.201117,0,0.003597989949748744,27793,,0.035979899497487436,0
2020-03-29,167,9.868421,23,0,144,13.772455,0,0.00335678391959799,29790,,0.0335678391959799,0
2020-03-28,152,16.030534,23,0,129,15.131579,0,0.003055276381909548,32730,,0.03055276381909548,0
2020-03-27,131,20.183486,23,0,108,17.557252,0,0.0026331658291457284,37977,,0.026331658291457286,0
2020-03-26,109,10.10101,23,0,86,21.100917,0,0.002190954773869347,45642,,0.02190954773869347,0
2020-03-25,99,17.857143,17,0,82,17.171717,0,0.0019899497487437185,50253,,0.019899497487437186,0
2020-03-24,84,27.272727,17,0,67,20.238095,0,0.0016884422110552764,59226,,0.016884422110552764,0
2020-03-23,66,20,17,0,49,25.757576,0,0.0013266331658291458,75379,,0.013266331658291457,0
2020-03-22,55,5.769231,17,0,38,30.909091,0,0.0011055276381909548,90455,,0.011055276381909548,0
2020-03-21,52,8.333333,12,0,40,23.076923,0,0.0010452261306532664,95673,,0.010452261306532663,0
2020-03-20,48,0,12,0,36,25,0,0.0009648241206030151,103646,,0.009648241206030151,0
2020-03-19,48,23.076923,12,0,36,25,0,0.0009648241206030151,103646,,0.009648241206030151,0
2020-03-18,39,62.5,12,0,27,30.769231,0,0.0007839195979899498,127564,,0.007839195979899497,0
2020-03-17,24,9.090909,9,0,15,37.5,0,0.00048241206030150754,207292,,0.004824120603015076,0
2020-03-16,22,0,9,0,13,40.909091,0,0.0004422110552763819,226136,,0.004422110552763819,0
2020-03-15,22,15.789474,9,0,13,40.909091,0,0.0004422110552763819,226136,,0.004422110552763819,0
2020-03-14,19,0,9,0,10,47.368421,0,0.0003819095477386935,261842,,0.003819095477386935,0
2020-03-13,19,5.555556,9,0,10,47.368421,0,0.0003819095477386935,261842,,0.003819095477386935,0
2020-03-12,18,0,9,0,9,50,0,0.00036180904522613067,276389,,0.0036180904522613066,0
2020-03-11,18,0,9,0,9,50,0,0.00036180904522613067,276389,,0.0036180904522613066,0
2020-03-10,18,12.5,9,0,9,50,0,0.00036180904522613067,276389,,0.0036180904522613066,0
2020-03-09,16,0,2,0,14,12.5,0,0.00032160804020100504,310938,,0.0032160804020100503,0
2020-03-08,16,0,2,0,14,12.5,0,0.00032160804020100504,310938,,0.0032160804020100503,0
2020-03-07,16,0,2,0,14,12.5,0,0.00032160804020100504,310938,,0.0032160804020100503,0
2020-03-06,16,0,2,0,14,12.5,0,0.00032160804020100504,310938,,0.0032160804020100503,0
2020-03-05,16,6.666667,2,0,14,12.5,0,0.00032160804020100504,310938,,0.0032160804020100503,0
2020-03-04,15,25,2,0,13,13.333333,0,0.00030150753768844223,331667,,0.003015075376884422,0
2020-03-03,12,100,2,0,10,16.666667,0,0.00024120603015075377,414583,,0.002412060301507538,0
2020-03-02,6,0,1,0,5,16.666667,0,0.00012060301507537688,829167,,0.001206030150753769,0
2020-03-01,6,0,1,0,5,16.666667,0,0.00012060301507537688,829167,,0.001206030150753769,0
2020-02-29,6,50,1,0,5,16.666667,0,0.00012060301507537688,829167,,0.001206030150753769,0
2020-02-28,4,0,0,0,4,0,0,8.040201005025126e-05,1243750,,0.0008040201005025126,0
2020-02-27,4,0,0,0,4,0,0,8.040201005025126e-05,1243750,,0.0008040201005025126,0
2020-02-26,4,100,0,0,4,0,0,8.040201005025126e-05,1243750,,0.0008040201005025126,0
2020-02-25,2,0,0,0,2,0,0,4.020100502512563e-05,2487500,,0.0004020100502512563,0
2020-02-24,2,,0,0,2,0,0,4.020100502512563e-05,2487500,,0.0004020100502512563,0

