"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-09-02,94084,0.568668,67487,2030,24567,71.730581,2.157646,2.2156179351921628,45,2092,22.15617935192163,0.478051996985682
2020-09-01,93552,0.613022,66974,2018,24560,71.590132,2.157089,2.203089675960814,45,2104,22.03089675960814,0.4752260738507913
2020-08-31,92982,0.996035,66173,2002,24807,71.167538,2.153105,2.189666541070083,46,2121,21.89666541070083,0.4714581763376037
2020-08-30,92065,0.797048,65747,1995,24323,71.413675,2.166947,2.168071778447626,46,2129,21.680717784476265,0.46980972117558406
2020-08-29,91337,0.786767,65119,1983,24235,71.295313,2.171081,2.1509278447626223,46,2141,21.509278447626226,0.46698379804069334
2020-08-28,90624,0.713476,64602,1966,24056,71.285752,2.169403,2.13413715146948,47,2160,21.341371514694803,0.46298040693293147
2020-08-27,89982,1.010305,63996,1948,24038,71.120891,2.164877,2.119018462697815,47,2180,21.190184626978148,0.4587415222305954
2020-08-26,89082,0.793157,63595,1932,23555,71.389282,2.168788,2.097824039186134,48,2198,20.978240391861345,0.4549736247174077
2020-08-25,88381,1.024176,62759,1919,23703,71.009606,2.171281,2.081315938206481,48,2213,20.81315938206481,0.4519122079879428
2020-08-24,87485,0.673188,62185,1906,23394,71.080757,2.178659,2.06021571213263,49,2228,20.6021571213263,0.4488507912584778
2020-08-23,86900,1.661207,61420,1892,23588,70.678941,2.177215,2.0464393368500375,49,2244,20.464393368500378,0.4455538809344386
2020-08-22,85480,1.289222,60528,1878,23074,70.809546,2.197005,2.0129992464204975,50,2261,20.129992464204975,0.4422569706103994
2020-08-21,84392,0.640391,59722,1859,22811,70.767371,2.202815,1.9873775433308214,50,2284,19.873775433308214,0.4377825923134891
2020-08-20,83855,0.120591,59174,1844,22837,70.56705,2.199034,1.9747315373021854,51,2303,19.747315373021856,0.43425018839487567
2020-08-19,83754,1.164392,58274,1827,23653,69.577572,2.181388,1.9723530519969856,51,2324,19.72353051996986,0.43024679728711385
2020-08-18,82790,0.299238,57191,1809,23790,69.079599,2.185047,1.9496514694800302,51,2347,19.496514694800304,0.4260079125847777
2020-08-17,82543,0.735904,55845,1788,24910,67.655646,2.166144,1.9438347776940468,51,2375,19.438347776940468,0.42106254709871893
2020-08-16,81940,1.580611,55001,1767,25172,67.123505,2.156456,1.9296345139412208,52,2403,19.29634513941221,0.41611718161266015
2020-08-15,80665,1.59064,53857,1746,25062,66.766256,2.164508,1.8996090806330068,53,2432,18.99609080633007,0.4111718161266014
2020-08-14,79402,1.218673,52886,1734,24782,66.605375,2.183824,1.869866239638282,53,2449,18.69866239638282,0.40834589299171065
2020-08-13,78446,1.381547,52210,1722,24514,66.555337,2.195141,1.8473530519969856,54,2466,18.47353051996986,0.40551996985681993
2020-08-12,77377,1.194026,51597,1703,24077,66.682606,2.200912,1.8221787867370007,55,2493,18.221787867370008,0.4010455915599096
