"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-01-11,1035184,0.877429,969863,38280,27041,93.6899141,3.697893,3.184152812168376,31,849,31.841528121683762,1.1774657418372525
2021-01-10,1026180,0,968335,38049,19796,94.363075,3.707829,3.1564571446148166,32,854,31.564571446148168,1.1703603451192692
2021-01-09,1026180,0,966447,38049,21684,94.179091,3.707829,3.1564571446148166,32,854,31.564571446148168,1.1703603451192692
2021-01-08,1026180,0.4072335,964354,38049,23777,93.975131,3.707829,3.1564571446148166,32,854,31.564571446148168,1.1703603451192692
2021-01-07,1022018,0,962566,37925,21527,94.1828813,3.7107957,3.143655126805186,32,857,31.43655126805186,1.1665461927684901
2021-01-06,1022018,0.249442,962566,37925,21527,94.1828813,3.7107957,3.143655126805186,32,857,31.43655126805186,1.1665461927684901
2021-01-05,1019475,0,960703,37830,20942,94.235072,3.710733,3.135833038556774,32,859,31.35833038556774,1.163624059919103
2021-01-04,1019475,0.13515385,958682,37830,22963,94.036833,3.710733,3.135833038556774,32,859,31.35833038556774,1.163624059919103
2021-01-03,1018099,0.29178328,958682,37773,21644,94.16392708,3.71015,3.131600559819135,32,861,31.316005598191353,1.1618707802094708
2021-01-02,1015137,0,951318,37680,26139,93.7132623,3.7118143,3.122489657187678,32,863,31.22489657187678,1.1590101659463865
2021-01-01,1015137,0,951318,37680,26139,93.7132623,3.7118143,3.122489657187678,32,863,31.22489657187678,1.1590101659463865
2020-12-31,1015137,0.459279,951318,37680,26139,93.7132623,3.7118143,3.122489657187678,32,863,31.22489657187678,1.1590101659463865
2020-12-30,1010496,0.1573979,951318,37574,21604,94.143668,3.718372,3.108214269236093,32,865,31.08214269236093,1.1557496808723335
2020-12-29,1008908,0.12414939,949391,37525,21992,94.1008496,3.7193679,3.103329693483644,32,866,31.033296934836436,1.1542424755079128
2020-12-28,1007657,0.2099357,947427,37474,22756,94.02276767,3.718924,3.099481705910398,32,868,30.994817059103983,1.1526737515571892
