"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-19,55,0,2,0,53,3.636364,0,0.019692087361260293,5078,,0.19692087361260294,0
2020-04-18,55,0,2,0,53,3.636364,0,0.019692087361260293,5078,,0.19692087361260294,0
2020-04-17,55,0,0,0,55,0,0,0.019692087361260293,5078,,0.19692087361260294,0
2020-04-16,55,0,0,0,55,0,0,0.019692087361260293,5078,,0.19692087361260294,0
2020-04-15,55,0,0,0,55,0,0,0.019692087361260293,5078,,0.19692087361260294,0
2020-04-14,55,0,0,0,55,0,0,0.019692087361260293,5078,,0.19692087361260294,0
2020-04-13,55,3.773585,0,0,55,0,0,0.019692087361260293,5078,,0.19692087361260294,0
2020-04-12,53,3.921569,0,0,53,0,0,0.018976011457214465,5270,,0.18976011457214464,0
2020-04-11,51,0,0,0,51,0,0,0.018259935553168637,5476,,0.18259935553168635,0
2020-04-10,51,0,0,0,51,0,0,0.018259935553168637,5476,,0.18259935553168635,0
2020-04-09,51,0,0,0,51,0,0,0.018259935553168637,5476,,0.18259935553168635,0
2020-04-08,51,8.510638,0,0,51,0,0,0.018259935553168637,5476,,0.18259935553168635,0
2020-04-07,47,11.904762,0,0,47,0,0,0.016827783745076978,5943,,0.16827783745076977,0
2020-04-06,42,2.439024,0,0,42,0,0,0.015037593984962405,6650,,0.15037593984962405,0
2020-04-05,41,2.5,0,0,41,0,0,0.014679556032939491,6812,,0.14679556032939492,0
2020-04-04,40,2.564103,0,0,40,0,0,0.014321518080916577,6983,,0.14321518080916576,0
2020-04-03,39,5.405405,0,0,39,0,0,0.013963480128893663,7162,,0.13963480128893663,0
2020-04-02,37,0,0,0,37,0,0,0.013247404224847834,7549,,0.13247404224847834,0
2020-04-01,37,2.777778,0,0,37,0,0,0.013247404224847834,7549,,0.13247404224847834,0
2020-03-31,36,0,0,0,36,0,0,0.01288936627282492,7758,,0.12889366272824918,0
2020-03-30,36,20,0,0,36,0,0,0.01288936627282492,7758,,0.12889366272824918,0
2020-03-29,30,0,0,0,30,0,0,0.010741138560687433,9310,,0.10741138560687433,0
2020-03-28,30,0,0,0,30,0,0,0.010741138560687433,9310,,0.10741138560687433,0
2020-03-27,30,0,0,0,30,0,0,0.010741138560687433,9310,,0.10741138560687433,0
2020-03-26,30,20,0,0,30,0,0,0.010741138560687433,9310,,0.10741138560687433,0
2020-03-25,25,0,0,0,25,0,0,0.00895094880057286,11172,,0.08950948800572861,0
2020-03-24,25,,0,0,25,0,0,0.00895094880057286,11172,,0.08950948800572861,0

