"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-12,2,0,0,0,2,0,0,2.2789166030469116e-05,4388050,,0.00022789166030469114,0
2020-04-11,2,0,0,0,2,0,0,2.2789166030469116e-05,4388050,,0.00022789166030469114,0
2020-04-10,2,0,0,0,2,0,0,2.2789166030469116e-05,4388050,,0.00022789166030469114,0
2020-04-09,2,0,0,0,2,0,0,2.2789166030469116e-05,4388050,,0.00022789166030469114,0
2020-04-08,2,0,0,0,2,0,0,2.2789166030469116e-05,4388050,,0.00022789166030469114,0
2020-04-07,2,0,0,0,2,0,0,2.2789166030469116e-05,4388050,,0.00022789166030469114,0
2020-04-06,2,100,0,0,2,0,0,2.2789166030469116e-05,4388050,,0.00022789166030469114,0
2020-04-05,1,0,0,0,1,0,0,1.1394583015234558e-05,8776100,,0.00011394583015234557,0
2020-04-04,1,0,0,0,1,0,0,1.1394583015234558e-05,8776100,,0.00011394583015234557,0
2020-04-03,1,0,0,0,1,0,0,1.1394583015234558e-05,8776100,,0.00011394583015234557,0
2020-04-02,1,0,0,0,1,0,0,1.1394583015234558e-05,8776100,,0.00011394583015234557,0
2020-04-01,1,0,0,0,1,0,0,1.1394583015234558e-05,8776100,,0.00011394583015234557,0
2020-03-31,1,0,0,0,1,0,0,1.1394583015234558e-05,8776100,,0.00011394583015234557,0
2020-03-30,1,0,0,0,1,0,0,1.1394583015234558e-05,8776100,,0.00011394583015234557,0
2020-03-29,1,0,0,0,1,0,0,1.1394583015234558e-05,8776100,,0.00011394583015234557,0
2020-03-28,1,0,0,0,1,0,0,1.1394583015234558e-05,8776100,,0.00011394583015234557,0
2020-03-27,1,0,0,0,1,0,0,1.1394583015234558e-05,8776100,,0.00011394583015234557,0
2020-03-26,1,0,0,0,1,0,0,1.1394583015234558e-05,8776100,,0.00011394583015234557,0
2020-03-25,1,0,0,0,1,0,0,1.1394583015234558e-05,8776100,,0.00011394583015234557,0
2020-03-24,1,0,0,0,1,0,0,1.1394583015234558e-05,8776100,,0.00011394583015234557,0
2020-03-23,1,0,0,0,1,0,0,1.1394583015234558e-05,8776100,,0.00011394583015234557,0
2020-03-22,1,0,0,0,1,0,0,1.1394583015234558e-05,8776100,,0.00011394583015234557,0
2020-03-21,1,0,0,0,1,0,0,1.1394583015234558e-05,8776100,,0.00011394583015234557,0
2020-03-20,1,,0,0,1,0,0,1.1394583015234558e-05,8776100,,0.00011394583015234557,0

