"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-07-11,54222,2.471936,14037,1372,38813,25.888016,2.530338,0.050151410606696846,1994,78802,0.5015141060669684,0.01269000320024862
2020-07-10,52914,2.241373,13230,1360,38324,25.002835,2.570208,0.048941605636877224,2043,79498,0.4894160563687722,0.012579011918613792
2020-07-09,51754,2.770111,12813,1314,37627,24.757507,2.538934,0.04786868991440722,2089,82281,0.4786868991440722,0.01215354533901362
2020-07-08,50359,5.192906,12588,1314,36457,24.996525,2.609265,0.04657841626540235,2147,82281,0.4657841626540235,0.01215354533901362
2020-07-07,47873,3.323765,12386,1309,34178,25.872621,2.734318,0.044279046880867506,2258,82595,0.44279046880867506,0.012107298971665775
2020-07-06,46333,4.69788,12185,1303,32845,26.29875,2.81225,0.04285465876655389,2333,82975,0.4285465876655388,0.01205180333084836
2020-07-05,44254,5.794884,11942,1297,31015,26.985131,2.930809,0.0409317348122305,2443,83359,0.40931734812230497,0.011996307690030947
2020-07-04,41830,3.703887,11453,1290,29087,27.379871,3.083911,0.038689710923206985,2585,83811,0.3868971092320698,0.011931562775743965
2020-07-03,40336,3.945368,11073,1280,27983,27.451904,3.173344,0.037307869466853376,2680,84466,0.3730786946685338,0.011839070041048274
2020-07-02,38805,0.763418,10673,1274,26858,27.504188,3.283082,0.03589180569866237,2786,84864,0.35891805698662366,0.01178357440023086
2020-07-01,38511,2.657674,10438,1270,26803,27.103944,3.297759,0.035619877058657046,2807,85131,0.3561987705865704,0.011746577306352585
2020-06-30,37514,2.952961,10233,1266,26015,27.277816,3.37474,0.03469772449374102,2882,85400,0.34697724493741017,0.01170958021247431
2020-06-29,36438,2.772529,9956,1255,25227,27.323124,3.444207,0.033702502668415395,2967,86149,0.33702502668415396,0.011607838204309051
2020-06-28,35455,1.873402,9686,1244,24525,27.319137,3.508673,0.03279329908635677,3049,86910,0.32793299086356764,0.011506096196143793
2020-06-27,34803,2.142459,9430,1236,24137,27.095365,3.551418,0.03219024645614087,3107,87473,0.3219024645614087,0.01143210200838724
2020-06-26,34073,3.036076,9182,1224,23667,26.948023,3.592287,0.03151504949286234,3173,88331,0.31515049492862335,0.011321110726752412
2020-06-25,33069,2.396656,8910,1212,22947,26.943663,3.665064,0.030586422436517612,3269,89205,0.3058642243651761,0.011210119445117586
2020-06-24,32295,1.476826,8656,1204,22435,26.802911,3.728131,0.029870528669972973,3348,89798,0.29870528669972973,0.011136125257361034
2020-06-23,31825,3.725311,8442,1186,22197,26.526316,3.72663,0.02943581281690323,3397,91161,0.2943581281690323,0.010969638334908792
2020-06-22,30682,2.096366,8143,1177,21362,26.539991,3.836125,0.0283786208593315,3524,91858,0.283786208593315,0.010886394873682672
2020-06-21,30052,2.217687,7893,1169,20990,26.264475,3.889924,0.027795916630748655,3598,92486,0.2779591663074865,0.01081240068592612
2020-06-20,29400,3.306511,7650,1150,20600,26.020408,3.911565,0.02719286400053276,3677,94014,0.27192864000532757,0.01063666449000431
2020-06-19,28459,2.374186,7378,1130,19951,25.925015,3.970624,0.02632250736704632,3799,95678,0.26322507367046316,0.01045167902061293
2020-06-18,27799,2.059623,7090,1116,19593,25.504515,4.014533,0.025712055318054768,3889,96879,0.25712055318054766,0.010322189192038965
2020-06-17,27238,1.706434,6820,1108,19310,25.038549,4.067846,0.025193171076411947,3969,97578,0.25193171076411947,0.010248195004282413
2020-06-16,26781,1.366389,6552,1103,19126,24.465106,4.118592,0.024770479278852647,4037,98020,0.24770479278852645,0.010201948636934568
2020-06-15,26420,1.889703,6252,1098,19070,23.663891,4.155942,0.024436580506601205,4092,98467,0.24436580506601205,0.010155702269586724
2020-06-14,25930,2.118778,5954,1088,18888,22.96182,4.195912,0.023983366106592328,4170,99372,0.23983366106592327,0.010063209534891034
2020-06-13,25392,2.440796,5706,1074,18612,22.471645,4.229679,0.023485755193929515,4258,100667,0.23485755193929517,0.009933719706317068
2020-06-12,24787,2.531541,5454,1052,18281,22.00347,4.24416,0.022926174149020595,4362,102772,0.22926174149020592,0.00973023568998655
2020-06-11,24175,1.866678,5165,1036,17974,21.365047,4.285419,0.022360118612682972,4472,104360,0.22360118612682972,0.009582247314473448
2020-06-10,23732,3.218511,4895,1027,17810,20.626159,4.32749,0.021950375797981068,4556,105274,0.21950375797981067,0.009499003853247328
2020-06-09,22992,2.304886,4736,1017,17239,20.598469,4.423278,0.021265929561232966,4702,106309,0.21265929561232963,0.009406511118551637
2020-06-08,22474,2.644439,4637,1011,16826,20.632731,4.498532,0.020786817195509292,4811,106940,0.2078681719550929,0.009351015477734223
2020-06-07,21895,2.60075,4530,1003,16362,20.689655,4.580955,0.02025128426162125,4938,107793,0.2025128426162125,0.009277021289977672
2020-06-06,21340,3.46165,4441,994,15905,20.810684,4.657919,0.019737949584060173,5066,108769,0.19737949584060172,0.00919377782875155
2020-06-05,20626,1.197135,4330,987,15309,20.992922,4.785223,0.01907755145833295,5242,109541,0.19077551458332948,0.009129032914464569
2020-06-04,20382,3.210452,4248,984,15150,20.841919,4.827789,0.018851869185675465,5305,109875,0.18851869185675466,0.009101285094055861
2020-06-03,19748,3.953256,4153,974,14621,21.029978,4.932145,0.018265465247704792,5475,111003,0.18265465247704793,0.009008792359360172
2020-06-02,18997,1.926172,4063,966,13968,21.387588,5.085013,0.017570844810140162,5691,111922,0.17570844810140163,0.00893479817160362
2020-06-01,18638,3.052084,3979,960,13699,21.348857,5.150767,0.017238795892582637,5801,112621,0.17238795892582637,0.008879302530786207
2020-05-31,18086,5.004645,3909,957,13220,21.613403,5.291386,0.01672823599706243,5978,112975,0.1672823599706243,0.0088515547103775
2020-05-30,17224,3.546952,3808,950,12466,22.108686,5.51556,0.015930948623985586,6277,113807,0.15930948623985586,0.008786809796090516
2020-05-29,16634,6.71029,3720,942,11972,22.363833,5.6631,0.015385241489281018,6500,114773,0.15385241489281015,0.008712815608333965
