"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-20,9593,3.294928,1133,380,8080,11.810695,3.961222,0.025319495985515125,3950,99705,0.2531949598551512,0.010029613754295577
2020-04-19,9287,6.234271,1040,360,7887,11.198449,3.876386,0.02451184814109027,4080,105244,0.2451184814109027,0.009501739346174758
2020-04-18,8742,4.332259,981,347,7414,11.221688,3.969343,0.02307339037896104,4334,109187,0.23073390378961037,0.009158620980896225
2020-04-17,8379,5.822177,866,332,7181,10.335362,3.962287,0.02211529832822175,4522,114120,0.22115298328221747,0.00876271517480561
2020-04-16,7918,4.431548,774,314,6830,9.775196,3.965648,0.02089854781750326,4785,120662,0.20898547817503257,0.008287628207496872
2020-04-15,7582,5.276312,668,286,6628,8.81034,3.772092,0.02001171881186028,4997,132475,0.2001171881186028,0.007548604036127724
2020-04-14,7202,3.865013,618,263,6321,8.58095,3.651763,0.019008757436430726,5261,144060,0.19008757436430723,0.006941548466788781
2020-04-13,6934,3.895715,487,245,6202,7.023363,3.533314,0.018301405729548827,5464,154644,0.18301405729548825,0.006466461499480043
2020-04-12,6674,5.003147,439,232,6003,6.577764,3.476176,0.01761516899899176,5677,163309,0.1761516899899176,0.00612334313420151
2020-04-11,6356,6.733837,375,208,5773,5.899937,3.272498,0.016775848690079656,5961,182153,0.16775848690079656,0.0054898938444565264
2020-04-10,5955,6.816143,318,181,5456,5.34005,3.039463,0.01571746050179741,6362,209325,0.15717460501797412,0.00477726339349342
2020-04-09,5575,7.108549,284,174,5117,5.09417,3.121076,0.014714499126367854,6796,217746,0.14714499126367853,0.004592507350651133
2020-04-08,5205,7.363861,222,159,4824,4.26513,3.054755,0.013737931471344337,7279,238288,0.13737931471344336,0.004196601544560518
2020-04-07,4848,9.85724,191,129,4528,3.939769,2.660891,0.012795675652848674,7815,293704,0.12795675652848673,0.003404789932379288
2020-04-06,4413,7.581667,162,107,4144,3.670972,2.424654,0.011647548815185892,8585,354092,0.1164754881518589,0.002824128083446386
2020-04-05,4102,13.096223,134,94,3874,3.266699,2.291565,0.010826704110558015,9236,403062,0.10826704110558015,0.0024810097181678535
2020-04-04,3627,7.212533,116,79,3432,3.198235,2.178109,0.009573002391271068,10446,479592,0.09573002391271068,0.0020851039120772384
2020-04-03,3383,14.833673,56,71,3256,1.655336,2.098729,0.00892899561336367,11199,533631,0.08928995613363667,0.0018739541488289105
2020-04-02,2946,15.348473,56,57,2833,1.900883,1.934827,0.007775590031619677,12861,664698,0.07775590031619677,0.0015044420631443365
2020-04-01,2554,10.514929,47,43,2464,1.840251,1.683634,0.00674095619170287,14835,881112,0.0674095619170287,0.0011349299774597627
2020-03-31,2311,12.457421,7,33,2271,0.302899,1.427953,0.006099588785836074,16395,1148115,0.060995887858360735,0.0008709927733993527
2020-03-30,2055,10.365199,7,31,2017,0.340633,1.508516,0.005423909543441424,18437,1222187,0.05423909543441424,0.0008182053325872708
2020-03-29,1862,13.675214,7,22,1833,0.37594,1.181525,0.0049145107396048335,20348,1722173,0.049145107396048326,0.0005806618489329018
2020-03-28,1638,17.926566,7,18,1613,0.42735,1.098901,0.004323291402509515,23131,2104878,0.043232914025095145,0.0004750869673087379
2020-03-27,1389,13.759214,7,16,1366,0.50396,1.151908,0.003666087764399094,27277,2367988,0.03666087764399094,0.0004222995264966559
2020-03-26,1221,16.175071,7,16,1198,0.573301,1.310401,0.0032226732615776056,31030,2367988,0.03222673261577605,0.0004222995264966559
2020-03-25,1051,16.648169,7,14,1030,0.666032,1.332065,0.0027739800146749085,36049,2706271,0.027739800146749084,0.0003695120856845739
2020-03-24,901,20.293725,1,10,890,0.110988,1.109878,0.0023780742085842935,42051,3788780,0.023780742085842934,0.0002639372040604099
2020-03-23,749,18.138801,13,8,728,1.735648,1.068091,0.0019768896584124707,50585,4735975,0.019768896584124705,0.00021114976324832795
2020-03-22,634,18.283582,13,7,614,2.050473,1.104101,0.0016733618737429991,59760,5412543,0.01673361873742999,0.00018475604284228696
2020-03-21,536,26.117647,1,5,530,0.186567,0.932836,0.0014147034137637973,70686,7577560,0.014147034137637972,0.00013196860203020495
2020-03-20,425,19.71831,1,5,419,0.235294,1.176471,0.0011217331172567423,89148,7577560,0.011217331172567423,0.00013196860203020495
2020-03-19,355,41.434263,1,5,349,0.28169,1.408451,0.0009369770744144554,106726,7577560,0.009369770744144553,0.00013196860203020495
